english,italian
the store / the shop,il negozio
a bakery,un panificio / una panetteria
the butcher,il macellaio
a pharmacy,una farmacia
the supermarket,il supermercato
the pastry shop,la pasticceria
the office,l'ufficio
the post office,l'ufficio postale / la posta
a laundry,una lavanderia
the barber,il barbiere
the hair dresser,il parrucchiere
a beauty salon,un salone di bellezza
a book shop,una libreria
the department store,il grande magazzino
a market,un mercato
the police station,la stazione di polizia
a restaurant,un ristorante
the cafe / the coffee house,il caffè / il bar
an agency,un'agenzia
a travel agency,un'agenzia viaggi
the deli,la salumeria
an ice cream parlor,una gelateria
