gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3
('ha_avere_AUX', 'detto_dire_VERB', 'che_che_SCONJ')	5567	ha detto che	ha	detto	che	avere	dire	che	AUX	VERB	SCONJ
"('un_uno_DET', ""po'_poco_PRON"", 'di_di_ADP')"	1958	un po' di	un	po'	di	uno	poco	di	DET	PRON	ADP
('mi_mi_PRON', 'ha_avere_AUX', 'detto_dire_VERB')	1839	mi ha detto	mi	ha	detto	mi	avere	dire	PRON	AUX	VERB
('detto_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	1763	detto che non	detto	che	non	dire	che	non	VERB	SCONJ	ADV
('io_io_PRON', 'non_non_ADV', 'sono_essere_AUX')	1292	io non sono	io	non	sono	io	non	essere	PRON	ADV	AUX
('hanno_avere_AUX', 'detto_dire_VERB', 'che_che_SCONJ')	1278	hanno detto che	hanno	detto	che	avere	dire	che	AUX	VERB	SCONJ
('io_io_PRON', 'penso_pensare_VERB', 'che_che_SCONJ')	1177	io penso che	io	penso	che	io	pensare	che	PRON	VERB	SCONJ
('non_non_ADV', 'riesco_riuscire_VERB', 'a_a_ADP')	1111	non riesco a	non	riesco	a	non	riuscire	a	ADV	VERB	ADP
('detto_dire_VERB', 'che_che_SCONJ', 'era_essere_AUX')	1034	detto che era	detto	che	era	dire	che	essere	VERB	SCONJ	AUX
('mi_mi_PRON', 'disse_dire_VERB', 'che_che_SCONJ')	988	mi disse che	mi	disse	che	mi	dire	che	PRON	VERB	SCONJ
('qual_qual_PRON', 'è_essere_AUX', 'il_il_DET')	950	qual è il	qual	è	il	qual	essere	il	PRON	AUX	DET
('ho_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	949	ho bisogno di	ho	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP
('a_a_ADP', 'me_me_PRON', 'piace_piacere_VERB')	937	a me piace	a	me	piace	a	me	piacere	ADP	PRON	VERB
('disse_dire_VERB', 'che_che_SCONJ', 'era_essere_AUX')	900	disse che era	disse	che	era	dire	che	essere	VERB	SCONJ	AUX
('in_in_ADP', 'grado_grado_NOUN', 'di_di_ADP')	893	in grado di	in	grado	di	in	grado	di	ADP	NOUN	ADP
('che_che_SCONJ', 'non_non_ADV', 'era_essere_AUX')	863	che non era	che	non	era	che	non	essere	SCONJ	ADV	AUX
('disse_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	819	disse che non	disse	che	non	dire	che	non	VERB	SCONJ	ADV
('ha_avere_AUX', 'detto_dire_VERB', 'di_di_ADP')	745	ha detto di	ha	detto	di	avere	dire	di	AUX	VERB	ADP
"('non_non_ADV', ""c'_ci_PRON"", 'è_essere_VERB')"	739	non c'è	non	c'	è	non	ci	essere	ADV	PRON	VERB
('non_non_ADV', 'penso_pensare_VERB', 'che_che_SCONJ')	731	non penso che	non	penso	che	non	pensare	che	ADV	VERB	SCONJ
('ha_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	713	ha bisogno di	ha	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP
('non_non_ADV', 'ho_avere_AUX', 'mai_mai_ADV')	711	non ho mai	non	ho	mai	non	avere	mai	ADV	AUX	ADV
('è_essere_AUX', 'il_il_DET', 'mio_mio_DET')	673	è il mio	è	il	mio	essere	il	mio	AUX	DET	DET
('io_io_PRON', 'non_non_ADV', 'ho_avere_VERB')	639	io non ho	io	non	ho	io	non	avere	PRON	ADV	VERB
('io_io_PRON', 'non_non_ADV', 'ho_avere_AUX')	629	io non ho	io	non	ho	io	non	avere	PRON	ADV	AUX
"(""c'_ci_PRON"", 'è_essere_VERB', 'un_uno_DET')"	626	c'è un	c'	è	un	ci	essere	uno	PRON	VERB	DET
('a_a_ADP', 'me_me_PRON', 'non_non_ADV')	617	a me non	a	me	non	a	me	non	ADP	PRON	ADV
('bisogno_bisogno_NOUN', 'di_di_ADP', 'un_uno_DET')	611	bisogno di un	bisogno	di	un	bisogno	di	uno	NOUN	ADP	DET
('tutto_tutto_DET', 'quello_quello_PRON', 'che_che_PRON')	592	tutto quello che	tutto	quello	che	tutto	quello	che	DET	PRON	PRON
('è_essere_AUX', 'il_il_DET', 'suo_suo_DET')	579	è il suo	è	il	suo	essere	il	suo	AUX	DET	DET
('dice_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	575	dice che non	dice	che	non	dire	che	non	VERB	SCONJ	ADV
"('non_non_ADV', ""l'_lo_PRON"", 'ho_avere_AUX')"	558	non l'ho	non	l'	ho	non	lo	avere	ADV	PRON	AUX
('qual_qual_PRON', 'è_essere_AUX', 'la_il_DET')	558	qual è la	qual	è	la	qual	essere	il	PRON	AUX	DET
('non_non_ADV', 'è_essere_AUX', 'un_uno_DET')	556	non è un	non	è	un	non	essere	uno	ADV	AUX	DET
('è_essere_AUX', 'il_il_DET', 'tuo_tuo_DET')	533	è il tuo	è	il	tuo	essere	il	tuo	AUX	DET	DET
('non_non_ADV', 'mi_mi_PRON', 'piace_piacere_VERB')	508	non mi piace	non	mi	piace	non	mi	piacere	ADV	PRON	VERB
