gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2
('non_non_ADV', 'è_essere_AUX')	8259	non è	non	è	non	essere	ADV	AUX
('io_io_PRON', 'non_non_ADV')	8053	io non	io	non	io	non	PRON	ADV
('ha_avere_AUX', 'detto_dire_VERB')	7833	ha detto	ha	detto	avere	dire	AUX	VERB
('detto_dire_VERB', 'che_che_SCONJ')	7706	detto che	detto	che	dire	che	VERB	SCONJ
('il_il_DET', 'suo_suo_DET')	7351	il suo	il	suo	il	suo	DET	DET
('è_essere_AUX', 'un_uno_DET')	6468	è un	è	un	essere	uno	AUX	DET
('la_il_DET', 'sua_suo_DET')	5960	la sua	la	sua	il	suo	DET	DET
('che_che_SCONJ', 'non_non_ADV')	5517	che non	che	non	che	non	SCONJ	ADV
('mi_mi_PRON', 'ha_avere_AUX')	5123	mi ha	mi	ha	mi	avere	PRON	AUX
('io_io_PRON', 'sono_essere_AUX')	5085	io sono	io	sono	io	essere	PRON	AUX
('a_a_ADP', 'casa_casa_NOUN')	4871	a casa	a	casa	a	casa	ADP	NOUN
('il_il_DET', 'mio_mio_DET')	4856	il mio	il	mio	il	mio	DET	DET
('è_essere_AUX', 'il_il_DET')	4774	è il	è	il	essere	il	AUX	DET
('non_non_ADV', 'sono_essere_AUX')	4639	non sono	non	sono	non	essere	ADV	AUX
('penso_pensare_VERB', 'che_che_SCONJ')	4393	penso che	penso	che	pensare	che	VERB	SCONJ
('non_non_ADV', 'mi_mi_PRON')	4094	non mi	non	mi	non	mi	ADV	PRON
('la_il_DET', 'mia_mio_DET')	3969	la mia	la	mia	il	mio	DET	DET
('si_si_PRON', 'è_essere_AUX')	3841	si è	si	è	si	essere	PRON	AUX
('è_essere_AUX', 'la_il_DET')	3679	è la	è	la	essere	il	AUX	DET
('è_essere_AUX', 'una_uno_DET')	3612	è una	è	una	essere	uno	AUX	DET
('disse_dire_VERB', 'che_che_SCONJ')	3599	disse che	disse	che	dire	che	VERB	SCONJ
('bisogno_bisogno_NOUN', 'di_di_ADP')	3280	bisogno di	bisogno	di	bisogno	di	NOUN	ADP
"(""c'_ci_PRON"", 'è_essere_VERB')"	3238	c'è	c'	è	ci	essere	PRON	VERB
('quello_quello_PRON', 'che_che_PRON')	3141	quello che	quello	che	quello	che	PRON	PRON
('non_non_ADV', 'lo_lo_PRON')	3091	non lo	non	lo	non	lo	ADV	PRON
('è_essere_AUX', 'molto_molto_ADV')	3028	è molto	è	molto	essere	molto	AUX	ADV
('a_a_ADP', 'me_me_PRON')	2801	a me	a	me	a	me	ADP	PRON
('per_per_ADP', 'favore_favore_NOUN')	2797	per favore	per	favore	per	favore	ADP	NOUN
('con_con_ADP', 'lei_lei_PRON')	2734	con lei	con	lei	con	lei	ADP	PRON
"(""l'_lo_PRON"", 'ha_avere_AUX')"	2665	l'ha	l'	ha	lo	avere	PRON	AUX
('per_per_ADP', 'piacere_piacere_NOUN')	2593	per piacere	per	piacere	per	piacere	ADP	NOUN
('che_che_SCONJ', 'era_essere_AUX')	2548	che era	che	era	che	essere	SCONJ	AUX
('è_essere_AUX', 'stato_essere_AUX')	2543	è stato	è	stato	essere	essere	AUX	AUX
('lei_lei_PRON', 'è_essere_AUX')	2531	lei è	lei	è	lei	essere	PRON	AUX
('perché_perché_PRON', 'non_non_ADV')	2460	perché non	perché	non	perché	non	PRON	ADV
"(""l'_lo_PRON"", 'ho_avere_AUX')"	2447	l'ho	l'	ho	lo	avere	PRON	AUX
('il_il_DET', 'tuo_tuo_DET')	2415	il tuo	il	tuo	il	tuo	DET	DET
('i_il_DET', 'suoi_suo_DET')	2302	i suoi	i	suoi	il	suo	DET	DET
('con_con_ADP', 'lui_lui_PRON')	2281	con lui	con	lui	con	lui	ADP	PRON
('di_di_ADP', 'essere_essere_AUX')	2202	di essere	di	essere	di	essere	ADP	AUX
('non_non_ADV', 'ha_avere_AUX')	2195	non ha	non	ha	non	avere	ADV	AUX
('non_non_ADV', 'era_essere_AUX')	2178	non era	non	era	non	essere	ADV	AUX
"('un_uno_DET', ""po'_poco_PRON"")"	2169	un po'	un	po'	uno	poco	DET	PRON
('ha_avere_AUX', 'fatto_fare_VERB')	2167	ha fatto	ha	fatto	avere	fare	AUX	VERB
"(""po'_poco_PRON"", 'di_di_ADP')"	2095	po' di	po'	di	poco	di	PRON	ADP
('io_io_PRON', 'ho_avere_AUX')	2084	io ho	io	ho	io	avere	PRON	AUX
('andare_andare_VERB', 'a_a_ADP')	2011	a	andare	a	andare	a	VERB	ADP
('non_non_ADV', 'ho_avere_AUX')	1993	non ho	non	ho	non	avere	ADV	AUX
('dice_dire_VERB', 'che_che_SCONJ')	1955	dice che	dice	che	dire	che	VERB	SCONJ
('questo_questo_PRON', 'è_essere_AUX')	1926	questo è	questo	è	questo	essere	PRON	AUX
('parlare_parlare_VERB', 'con_con_ADP')	1912	parlare con	parlare	con	parlare	con	VERB	ADP
"('un_uno_DET', ""po'_poco_ADV"")"	1898	un po'	un	po'	uno	poco	DET	ADV
('il_il_DET', 'vostro_vostro_DET')	1861	il vostro	il	vostro	il	vostro	DET	DET
('mi_mi_PRON', 'piace_piacere_VERB')	1848	mi piace	mi	piace	mi	piacere	PRON	VERB
('lui_lui_PRON', 'è_essere_AUX')	1848	lui è	lui	è	lui	essere	PRON	AUX
('la_il_DET', 'tua_tuo_DET')	1838	la tua	la	tua	il	tuo	DET	DET
('non_non_ADV', 'ho_avere_VERB')	1834	non ho	non	ho	non	avere	ADV	VERB
('che_che_DET', 'cosa_cosa_PRON')	1803	che cosa	che	cosa	che	cosa	DET	PRON
('non_non_ADV', 'si_si_PRON')	1794	non si	non	si	non	si	ADV	PRON
('ha_avere_VERB', 'un_uno_DET')	1737	ha un	ha	un	avere	uno	VERB	DET
('di_di_ADP', 'non_non_ADV')	1694	di non	di	non	di	non	ADP	ADV
('mi_mi_PRON', 'sono_essere_AUX')	1686	mi sono	mi	sono	mi	essere	PRON	AUX
('non_non_ADV', 'posso_potere_AUX')	1668	non posso	non	posso	non	potere	ADV	AUX
('piace_piacere_VERB', 'il_il_DET')	1668	piace il	piace	il	piacere	il	VERB	DET
('qual_qual_PRON', 'è_essere_AUX')	1654	qual è	qual	è	qual	essere	PRON	AUX
('io_io_PRON', 'ho_avere_VERB')	1641	io ho	io	ho	io	avere	PRON	VERB
('so_sapere_VERB', 'che_che_SCONJ')	1630	so che	so	che	sapere	che	VERB	SCONJ
('di_di_ADP', 'lei_lei_PRON')	1618	di lei	di	lei	di	lei	ADP	PRON
('a_a_ADP', 'scuola_scuola_NOUN')	1608	a scuola	a	scuola	a	scuola	ADP	NOUN
('riesco_riuscire_VERB', 'a_a_ADP')	1574	riesco a	riesco	a	riuscire	a	VERB	ADP
('a_a_ADP', 'lei_lei_PRON')	1554	a lei	a	lei	a	lei	ADP	PRON
('ho_avere_AUX', 'detto_dire_VERB')	1511	ho detto	ho	detto	avere	dire	AUX	VERB
('con_con_ADP', 'me_me_PRON')	1508	con me	con	me	con	me	ADP	PRON
('il_il_DET', 'francese_francese_NOUN')	1506	il francese	il	francese	il	francese	DET	NOUN
('di_di_ADP', 'me_me_PRON')	1490	di me	di	me	di	me	ADP	PRON
('non_non_ADV', 'ha_avere_VERB')	1483	non ha	non	ha	non	avere	ADV	VERB
('lei_lei_PRON', 'non_non_ADV')	1470	lei non	lei	non	lei	non	PRON	ADV
('non_non_ADV', 'la_la_PRON')	1452	non la	non	la	non	la	ADV	PRON
('hanno_avere_AUX', 'detto_dire_VERB')	1445	hanno detto	hanno	detto	avere	dire	AUX	VERB
('per_per_ADP', 'la_il_DET')	1435	per la	per	la	per	il	ADP	DET
('per_per_ADP', 'me_me_PRON')	1430	per me	per	me	per	me	ADP	PRON
('le_il_DET', 'sue_suo_DET')	1425	le sue	le	sue	il	suo	DET	DET
('è_essere_AUX', 'ancora_ancora_ADV')	1422	è ancora	è	ancora	essere	ancora	AUX	ADV
('per_per_ADP', 'il_il_DET')	1415	per il	per	il	per	il	ADP	DET
('i_il_DET', 'miei_mio_DET')	1411	i miei	i	miei	il	mio	DET	DET
('perché_perché_ADV', 'non_non_ADV')	1376	perché non	perché	non	perché	non	ADV	ADV
('non_non_ADV', 'voglio_volere_AUX')	1376	non voglio	non	voglio	non	volere	ADV	AUX
('da_da_ADP', 'sola_solo_ADJ')	1357	da sola	da	sola	da	solo	ADP	ADJ
('io_io_PRON', 'penso_pensare_VERB')	1346	io penso	io	penso	io	pensare	PRON	VERB
('la_il_DET', 'vostra_vostro_DET')	1345	la vostra	la	vostra	il	vostro	DET	DET
('non_non_ADV', 'riesco_riuscire_VERB')	1328	non riesco	non	riesco	non	riuscire	ADV	VERB
('non_non_ADV', 'ci_ci_PRON')	1323	non ci	non	ci	non	ci	ADV	PRON
('è_essere_AUX', 'in_in_ADP')	1322	è in	è	in	essere	in	AUX	ADP
('da_da_ADP', 'solo_solo_ADJ')	1306	da solo	da	solo	da	solo	ADP	ADJ
"(""dov'_dove_ADV"", 'è_essere_AUX')"	1294	dov'è	dov'	è	dove	essere	ADV	AUX
('ha_avere_AUX', 'mai_mai_ADV')	1290	ha mai	ha	mai	avere	mai	AUX	ADV
('di_di_ADP', 'lui_lui_PRON')	1281	di lui	di	lui	di	lui	ADP	PRON
('per_per_ADP', 'lei_lei_PRON')	1277	per lei	per	lei	per	lei	ADP	PRON
('ci_ci_PRON', 'sono_essere_VERB')	1265	ci sono	ci	sono	ci	essere	PRON	VERB
('a_a_ADP', 'loro_loro_PRON')	1260	a loro	a	loro	a	loro	ADP	PRON
('non_non_ADV', 'le_le_PRON')	1260	non le	non	le	non	le	ADV	PRON
('detto_dire_VERB', 'di_di_ADP')	1252	detto di	detto	di	dire	di	VERB	ADP
('noi_noi_PRON', 'siamo_essere_AUX')	1245	noi siamo	noi	siamo	noi	essere	PRON	AUX
('è_essere_AUX', 'andato_andare_VERB')	1238	è andato	è	andato	essere	andare	AUX	VERB
