gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2
('il_il_DET', 'suo_suo_DET')	83	il suo	il	suo	il	suo	DET	DET
('ha_avere_AUX', 'detto_dire_VERB')	70	ha detto	ha	detto	avere	dire	AUX	VERB
('non_non_ADV', 'è_essere_AUX')	70	non è	non	è	non	essere	ADV	AUX
('detto_dire_VERB', 'che_che_SCONJ')	66	detto che	detto	che	dire	che	VERB	SCONJ
('io_io_PRON', 'non_non_ADV')	62	io non	io	non	io	non	PRON	ADV
('la_il_DET', 'sua_suo_DET')	56	la sua	la	sua	il	suo	DET	DET
('io_io_PRON', 'sono_essere_AUX')	54	io sono	io	sono	io	essere	PRON	AUX
('a_a_ADP', 'casa_casa_NOUN')	54	a casa	a	casa	a	casa	ADP	NOUN
('è_essere_AUX', 'un_uno_DET')	52	è un	è	un	essere	uno	AUX	DET
('è_essere_AUX', 'il_il_DET')	49	è il	è	il	essere	il	AUX	DET
('il_il_DET', 'mio_mio_DET')	44	il mio	il	mio	il	mio	DET	DET
('che_che_SCONJ', 'non_non_ADV')	44	che non	che	non	che	non	SCONJ	ADV
('la_il_DET', 'mia_mio_DET')	40	la mia	la	mia	il	mio	DET	DET
('non_non_ADV', 'mi_mi_PRON')	37	non mi	non	mi	non	mi	ADV	PRON
('si_si_PRON', 'è_essere_AUX')	36	si è	si	è	si	essere	PRON	AUX
('mi_mi_PRON', 'ha_avere_AUX')	35	mi ha	mi	ha	mi	avere	PRON	AUX
('non_non_ADV', 'sono_essere_AUX')	32	non sono	non	sono	non	essere	ADV	AUX
('disse_dire_VERB', 'che_che_SCONJ')	32	disse che	disse	che	dire	che	VERB	SCONJ
('è_essere_AUX', 'una_uno_DET')	32	è una	è	una	essere	uno	AUX	DET
"(""c'_ci_PRON"", 'è_essere_VERB')"	31	c'è	c'	è	ci	essere	PRON	VERB
('è_essere_AUX', 'la_il_DET')	30	è la	è	la	essere	il	AUX	DET
('penso_pensare_VERB', 'che_che_SCONJ')	30	penso che	penso	che	pensare	che	VERB	SCONJ
"(""l'_lo_PRON"", 'ho_avere_AUX')"	30	l'ho	l'	ho	lo	avere	PRON	AUX
('con_con_ADP', 'lei_lei_PRON')	29	con lei	con	lei	con	lei	ADP	PRON
('quello_quello_PRON', 'che_che_PRON')	29	quello che	quello	che	quello	che	PRON	PRON
('per_per_ADP', 'favore_favore_NOUN')	29	per favore	per	favore	per	favore	ADP	NOUN
('bisogno_bisogno_NOUN', 'di_di_ADP')	28	bisogno di	bisogno	di	bisogno	di	NOUN	ADP
('di_di_ADP', 'non_non_ADV')	25	di non	di	non	di	non	ADP	ADV
('è_essere_AUX', 'molto_molto_ADV')	25	è molto	è	molto	essere	molto	AUX	ADV
('la_il_DET', 'tua_tuo_DET')	24	la tua	la	tua	il	tuo	DET	DET
('i_il_DET', 'suoi_suo_DET')	24	i suoi	i	suoi	il	suo	DET	DET
('non_non_ADV', 'lo_lo_PRON')	23	non lo	non	lo	non	lo	ADV	PRON
('non_non_ADV', 'ho_avere_AUX')	23	non ho	non	ho	non	avere	ADV	AUX
('a_a_ADP', 'me_me_PRON')	23	a me	a	me	a	me	ADP	PRON
"(""l'_lo_PRON"", 'ha_avere_AUX')"	22	l'ha	l'	ha	lo	avere	PRON	AUX
('per_per_ADP', 'il_il_DET')	22	per il	per	il	per	il	ADP	DET
('questo_questo_PRON', 'è_essere_AUX')	22	questo è	questo	è	questo	essere	PRON	AUX
('non_non_ADV', 'ho_avere_VERB')	22	non ho	non	ho	non	avere	ADV	VERB
