english,italian
how much is it,quante
this one (masculine),questo
that one (masculine),quello
that one over there,quello laggiù
these ones (masculine),questi
those ones (masculine),quelli
those ones over there (masculine),quelli laggiù
large,grande
larger,più grande
the largest,il più grande
small (masculine), piccolo
smaller,più piccolo
the smallest,il più piccolo
like this,così
like this one,come questo
like this one but bigger,come questo ma più grande
better,meglio
more expensive,più caro
less expensive,meno caro
too expensive,troppo caro
cheap, poco caro
something,qualcosa
I would like something more or less like this,vorrei qualcosa più meno così
I would like something less expensive,vorrei qualcosa di meno caro
I'm looking for,cerco
no not like that,no non così
Thank you sir,grazie signore
