code	occupation	gender	conversations	school-region	age-range
BO002	0-Students	F	BOA3001	toscana	21-25
BO003	0-Students	F	BOA3001	emilia-romagna	21-25
BO005	0-Students	F	BOA1025	estero	21-25
BO007	0-Students	F	BOA3002	toscana	21-25
BO008	0-Students	M	BOA3002	puglia	21-25
BO009	0-Students	F	BOA3002	emilia-romagna	21-25
BO010	0-Students	F	BOA3002	emilia-romagna	21-25
BO013	2-Professionals	M	BOD1001	emilia-romagna	51-55
BO014	0-Students	F	BOD2001	emilia-romagna	21-25
BO016	0-Students	F	BOA3003	emilia-romagna	21-25
BO017	0-Students	F	BOA3003	emilia-romagna	21-25
BO018	0-Students	F	BOA3003	toscana	21-25
BO019	0-Students	F	BOA3003	lombardia	21-25
BO020	0-Students	F	BOA1001	campania	21-25
BO021	0-Students	F	BOA3004;BOA3006;BOD2005;BOA3007	campania	21-25
BO026	2-Professionals	F	BOA1001;BOA1002;BOA1003;BOA1004;BOA1005;BOA1006;BOA1007;BOA1008;BOA1009;BOA1010;BOA1011;BOA1012;BOA1013;BOA1014;BOA1015	basilicata	56-60
BO027	0-Students	F	BOA1004	marche	26-30
BO028	0-Students	F	BOA1002	molise	21-25
BO029	0-Students	F	BOA1002	sicilia	21-25
BO030	0-Students	F	BOA1002	sicilia	21-25
BO031	0-Students	F	BOA1002	sicilia	21-25
BO032	0-Students	F	BOA1002;BOA1003	emilia-romagna	21-25
BO033	0-Students	F	BOA1005	lazio	21-25
BO034	0-Students	F	BOA1006	veneto	21-25
BO035	0-Students	F	BOA1007	emilia-romagna	21-25
BO036	0-Students	M	BOA1008	calabria	26-30
BO037	0-Students	F	BOA1009	trentino-alto-adige	21-25
BO038	0-Students	F	BOA1010	campania	21-25
BO039	0-Students	F	BOA1010	marche	21-25
BO040	0-Students	F	BOA1011	basilicata	21-25
BO041	0-Students	F	BOA1011	puglia	26-30
BO042	0-Students	F	BOA1012	veneto	21-25
BO043	0-Students	F	BOA1013	abruzzo	21-25
BO044	0-Students	F	BOA1014	sicilia	26-30
BO045	0-Students	F	BOA1015	sardegna	26-30
BO046	0-Students	F	BOA3004	trentino-alto-adige	21-25
BO047	0-Students	M	BOA3004	puglia	21-25
BO048	0-Students	F	BOA3004;BOA3006;BOA3007	piemonte	21-25
BO049	0-Students	F	BOD2006;BOD2007;BOD2008;BOD2010;BOD2011	emilia-romagna	21-25
BO051	0-Students	M	BOD2006	emilia-romagna	26-30
BO052	0-Students	M	BOD2007	emilia-romagna	21-25
BO053	0-Students	M	BOD2008	emilia-romagna	21-25
BO054	0-Students	F	BOD2009	emilia-romagna	21-25
BO056	0-Students	M	BOD2009	emilia-romagna	21-25
BO057	0-Students	F	BOD2003	calabria	21-25
BO070	0-Students	F	BOD2003	N/A	N/A
BO071	0-Students	M	BOA3006;BOA3007	lombardia	21-25
BO072	0-Students	M	BOD2005;BOA3006;BOA3007	calabria	21-25
BO073	0-Students	F	BOD2005	basilicata	21-25
BO074	0-Students	M	BOD2010	emilia-romagna	21-25
BO075	0-Students	M	BOD2011	emilia-romagna	21-25
BO082	2-Professionals	M	BOA1016;BOA1017;BOA1018	emilia-romagna	41-45
BO083	0-Students	F	BOA1016	emilia-romagna	21-25
BO084	0-Students	F	BOA1017	veneto	21-25
BO085	0-Students	F	BOA1018	lombardia	21-25
BO086	0-Students	F	BOA3015	estero	21-25
BO087	2-Professionals	M	BOC1001;BOC1002;BOC1003;BOC1004	emilia-romagna	41-45
BO088	0-Students	F	BOC1001	emilia-romagna	21-25
BO089	0-Students	F	BOC1002	marche	21-25
BO090	0-Students	M	BOC1003	sicilia	21-25
BO091	0-Students	M	BOC1004	emilia-romagna	21-25
BO092	2-Professionals	M	BOC1006;BOD1003	emilia-romagna	61-65
BO093	2-Professionals	F	BOD1004	emilia-romagna	41-45
BO094	2-Professionals	F	BOD1005	toscana	66-70
BO095	0-Students	F	BOA3010;BOA3011;BOA3012;BOA3013	sicilia	21-25
BO096	0-Students	F	BOA3010	sicilia	21-25
BO097	0-Students	F	BOA3011;BOA3012;BOA3013	lombardia	21-25
BO098	0-Students	M	BOD2013	emilia-romagna	21-25
BO099	2-Professionals	F	BOD1006	emilia-romagna	66-70
