term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
alto,true,alto,adjective,tall,"height,size",n/a,n/a,masculine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Il muro è alto.,The wall is tall.
alta,false,alto,adjective,tall,"height,size",n/a,n/a,feminine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,La torre è alta.,The tower is tall.
alti,false,alto,adjective,tall,"height,size",n/a,n/a,masculine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Gli alberi sono alti.,The trees are tall.
alte,false,alto,adjective,tall,"height,size",n/a,n/a,feminine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Le montagne sono alte.,The mountains are tall.
altro,true,altro,adjective,other,"quantity,comparison",n/a,n/a,masculine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Ho un altro libro.,I have another book.
altra,false,altro,adjective,other,"quantity,comparison",n/a,n/a,feminine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Vorrei un'altra tazza.,I would like another cup.
altri,false,altro,adjective,other,"quantity,comparison",n/a,n/a,masculine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Ci sono altri problemi.,There are other problems.
altre,false,altro,adjective,other,"quantity,comparison",n/a,n/a,feminine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Abbiamo altre idee.,We have other ideas.
basso,true,basso,adjective,low,"height,size",n/a,n/a,masculine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Il tavolo è basso.,The table is low.
bassa,false,basso,adjective,low,"height,size",n/a,n/a,feminine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,La sedia è bassa.,The chair is low.
bassi,false,basso,adjective,low,"height,size",n/a,n/a,masculine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,I prezzi sono bassi.,The prices are low.
basse,false,basso,adjective,low,"height,size",n/a,n/a,feminine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Le case sono basse.,The houses are low.
bello,true,bello,adjective,beautiful,"appearance,evaluation",n/a,n/a,masculine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,special forms before nouns,Il panorama è bello.,The view is beautiful.
bella,false,bello,adjective,beautiful,"appearance,evaluation",n/a,n/a,feminine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,La sciarpa è bella.,The scarf is beautiful.
belli,false,bello,adjective,beautiful,"appearance,evaluation",n/a,n/a,masculine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,I quadri sono belli.,The paintings are beautiful.
belle,false,bello,adjective,beautiful,"appearance,evaluation",n/a,n/a,feminine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Le foto sono belle.,The photos are beautiful.
buono,true,buono,adjective,good,"evaluation,quality",n/a,n/a,masculine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,has apocopated forms before nouns,Il pane è buono.,The bread is good.
buona,false,buono,adjective,good,"evaluation,quality",n/a,n/a,feminine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,La zuppa è buona.,The soup is good.
buoni,false,buono,adjective,good,"evaluation,quality",n/a,n/a,masculine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,I biscotti sono buoni.,The cookies are good.
buone,false,buono,adjective,good,"evaluation,quality",n/a,n/a,feminine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Le fragole sono buone.,The strawberries are good.
corto,true,corto,adjective,short,"length,size",n/a,n/a,masculine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Il film è corto.,The movie is short.
corta,false,corto,adjective,short,"length,size",n/a,n/a,feminine,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,La storia è corta.,The story is short.
corti,false,corto,adjective,short,"length,size",n/a,n/a,masculine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,I pantaloni sono corti.,The pants are short.
corte,false,corto,adjective,short,"length,size",n/a,n/a,feminine,plural,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,n/a,Le gonne sono corte.,The skirts are short.
grande,true,grande,adjective,big,size,n/a,n/a,n/a,singular,n/a,n/a,false,false,false,n/a,n/a,n/a,n/a,invariable by gender,Il tavolo è grande.,The table is big.
