term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
conoscere,true,conoscere,to know (be acquainted with),"knowledge,relationships",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio conoscere nuove persone.","I want to meet new people."
conoscendo,false,conoscere,knowing,"knowledge,relationships",non-finite,gerund,n/a,n/a,n/a,false,,"Sto conoscendo meglio la città.","I am getting to know the city better."
conosciuto,false,conoscere,known (masculine singular),"knowledge,relationships",non-finite,participle,n/a,masculine,singular,false,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,"È un autore conosciuto.","He/She is a well-known author."
conosciuta,false,conoscere,known (feminine singular),"knowledge,relationships",non-finite,participle,n/a,feminine,singular,false,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,"È una canzone conosciuta.","It is a well-known song."
conosciuti,false,conoscere,known (masculine plural),"knowledge,relationships",non-finite,participle,n/a,masculine,plural,false,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,"Sono attori conosciuti.","They are well-known actors."
conosciute,false,conoscere,known (feminine plural),"knowledge,relationships",non-finite,participle,n/a,feminine,plural,false,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,"Sono artiste conosciute.","They are well-known artists."
conosco,false,conoscere,I know (am acquainted with),"knowledge,relationships",indicative,present,1s,n/a,singular,false,,"Io conosco Marco.","I know Marco."
conosci,false,conoscere,you know (singular),"knowledge,relationships",indicative,present,2s,n/a,singular,false,,"Tu conosci questa strada.","You know this road."
conosce,false,conoscere,he/she/it knows,"knowledge,relationships",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei conosce la verità.","She knows the truth."
conosciamo,false,conoscere,we know,"knowledge,relationships",indicative,present,1p,n/a,plural,false,,"Noi conosciamo la risposta.","We know the answer."
conoscete,false,conoscere,you (plural) know,"knowledge,relationships",indicative,present,2p,n/a,plural,false,,"Voi conoscete la città?","Do you (plural) know the city?"
conoscono,false,conoscere,they know,"knowledge,relationships",indicative,present,3p,n/a,plural,false,,"Loro conoscono il professore.","They know the professor."
conoscevo,false,conoscere,I knew / I used to know,"knowledge,relationships",indicative,imperfect,1s,n/a,singular,false,,"Io conoscevo già quella canzone.","I already knew that song."
conoscevi,false,conoscere,you knew,"knowledge,relationships",indicative,imperfect,2s,n/a,singular,false,,"Tu conoscevi i dettagli.","You knew the details."
conosceva,false,conoscere,he/she/it knew,"knowledge,relationships",indicative,imperfect,3s,n/a,singular,false,also 'you knew (formal)',"Lui conosceva la storia.","He knew the story."
