term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
dovere,true,dovere,to have to / must,"obligation,necessity",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Il dovere è importante.","Duty is important."
dovendo,false,dovere,having to,"obligation,necessity",non-finite,gerund,n/a,n/a,n/a,false,,"Dovendo scegliere, ho deciso subito.","Having to choose, I decided immediately."
dovuto,false,dovere,had to / due (masculine singular),"obligation,necessity",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Il pagamento è dovuto.","The payment is due."
dovuta,false,dovere,had to / due (feminine singular),"obligation,necessity",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La tassa è dovuta.","The tax is due."
dovuti,false,dovere,had to / due (masculine plural),"obligation,necessity",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I pagamenti sono dovuti.","The payments are due."
dovute,false,dovere,had to / due (feminine plural),"obligation,necessity",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le tasse sono dovute.","The taxes are due."
devo,false,dovere,I must / I have to,"obligation,necessity",indicative,present,1s,n/a,singular,false,,"Io devo studiare.","I must study."
devi,false,dovere,you must / you have to,"obligation,necessity",indicative,present,2s,n/a,singular,false,,"Tu devi andare.","You must go."
deve,false,dovere,he/she/it must / has to,"obligation,necessity",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui deve lavorare.","He must work."
dobbiamo,false,dovere,we must / we have to,"obligation,necessity",indicative,present,1p,n/a,plural,false,,"Noi dobbiamo partire ora.","We must leave now."
dovete,false,dovere,you (plural) must / you (plural) have to,"obligation,necessity",indicative,present,2p,n/a,plural,false,,"Voi dovete ascoltare.","You (plural) must listen."
devono,false,dovere,they must / they have to,"obligation,necessity",indicative,present,3p,n/a,plural,false,,"Loro devono parlare.","They must speak."
dovevo,false,dovere,I had to,"obligation,necessity",indicative,imperfect,1s,n/a,singular,false,,"Io dovevo finire il lavoro.","I had to finish the work."
dovevi,false,dovere,you had to,"obligation,necessity",indicative,imperfect,2s,n/a,singular,false,,"Tu dovevi chiamare.","You had to call."
doveva,false,dovere,he/she/it had to,"obligation,necessity",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei doveva restare a casa.","She had to stay home."
dovevamo,false,dovere,we had to,"obligation,necessity",indicative,imperfect,1p,n/a,plural,false,,"Noi dovevamo preparare tutto.","We had to prepare everything."
dovevate,false,dovere,you (plural) had to,"obligation,necessity",indicative,imperfect,2p,n/a,plural,false,,"Voi dovevate studiare di più.","You (plural) had to study more."
dovevano,false,dovere,they had to,"obligation,necessity",indicative,imperfect,3p,n/a,plural,false,,"Loro dovevano andare via.","They had to leave."
ho dovuto,false,dovere,I have had to / I had to,"obligation,necessity",indicative,passato_prossimo,1s,feminine,singular,true,formed with auxiliary 'avere'; past participle invariable,"Ho dovuto parlare con lei.","I have had to speak with her."
ho dovuto,false,dovere,I have had to / I had to,"obligation,necessity",indicative,passato_prossimo,1s,masculine,singular,true,formed with auxiliary 'avere'; past participle invariable,"Ho dovuto lavorare ieri.","I had to work yesterday."
hai dovuto,false,dovere,you have had to / you had to,"obligation,necessity",indicative,passato_prossimo,2s,feminine,singular,true,formed with auxiliary 'avere'; past participle invariable,"Hai dovuto aspettare molto.","You had to wait a long time."
hai dovuto,false,dovere,you have had to / you had to,"obligation,necessity",indicative,passato_prossimo,2s,masculine,singular,true,formed with auxiliary 'avere'; past participle invariable,"Hai dovuto provare di nuovo.","You had to try again."
ha dovuto,false,dovere,she/he/it has had to / had to,"obligation,necessity",indicative,passato_prossimo,3s,feminine,singular,true,formed with auxiliary 'avere'; past participle invariable; also 'you (formal)',"Ha dovuto partire presto.","She had to leave early."
ha dovuto,false,dovere,she/he/it has had to / had to,"obligation,necessity",indicative,passato_prossimo,3s,masculine,singular,true,formed with auxiliary 'avere'; past participle invariable; also 'you (formal)',"Ha dovuto prendere un treno.","He had to take a train."
abbiamo dovuto,false,dovere,we have had to / we had to,"obligation,necessity",indicative,passato_prossimo,1p,feminine,plural,true,formed with auxiliary 'avere'; past participle invariable,"Abbiamo dovuto cambiare programma.","We had to change plans."
abbiamo dovuto,false,dovere,we have had to / we had to,"obligation,necessity",indicative,passato_prossimo,1p,masculine,plural,true,formed with auxiliary 'avere'; past participle invariable,"Abbiamo dovuto aiutare i clienti.","We had to help the customers."
avete dovuto,false,dovere,you (plural) have had to / you (plural) had to,"obligation,necessity",indicative,passato_prossimo,2p,feminine,plural,true,formed with auxiliary 'avere'; past participle invariable,"Avete dovuto aspettare nel freddo.","You (plural) had to wait in the cold."
avete dovuto,false,dovere,you (plural) have had to / you (plural) had to,"obligation,necessity",indicative,passato_prossimo,2p,masculine,plural,true,formed with auxiliary 'avere'; past participle invariable,"Avete dovuto firmare i documenti.","You (plural) had to sign the documents."
hanno dovuto,false,dovere,they have had to / they had to,"obligation,necessity",indicative,passato_prossimo,3p,feminine,plural,true,formed with auxiliary 'avere'; past participle invariable,"Hanno dovuto restare ferme.","They had to stay still."
hanno dovuto,false,dovere,they have had to / they had to,"obligation,necessity",indicative,passato_prossimo,3p,masculine,plural,true,formed with auxiliary 'avere'; past participle invariable,"Hanno dovuto prendere appuntamento.","They had to make an appointment."
