term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
andare,true,andare,to go,"movement,travel",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio andare al mercato.","I want to go to the market."
andando,false,andare,going,"movement,travel",non-finite,gerund,n/a,n/a,n/a,false,,"Sto andando al supermercato.","I am going to the supermarket."
andata,false,andare,gone (feminine singular),"movement,travel",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'essere' to form compound tenses,"È andata via ieri.","She went away yesterday."
andato,false,andare,gone (masculine singular),"movement,travel",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'essere' to form compound tenses,"È andato al lavoro.","He went to work."
andati,false,andare,gone (masculine plural),"movement,travel",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono andati via.","They went away."
andate,false,andare,gone (feminine plural),"movement,travel",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono andate al concerto.","They (feminine) went to the concert."
vado,false,andare,I go,"movement,travel",indicative,present,1s,n/a,singular,false,,"Io vado al lavoro.","I go to work."
vai,false,andare,you go,"movement,travel",indicative,present,2s,n/a,singular,false,,"Tu vai a scuola.","You go to school."
va,false,andare,he/she/it goes,"movement,travel",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui va al parco.","He goes to the park."
andiamo,false,andare,we go,"movement,travel",indicative,present,1p,n/a,plural,false,,"Noi andiamo al cinema.","We go to the cinema."
andate,false,andare,you (plural) go,"movement,travel",indicative,present,2p,n/a,plural,false,,"Voi andate in città.","You (plural) go to town."
vanno,false,andare,they go,"movement,travel",indicative,present,3p,n/a,plural,false,,"Loro vanno a scuola.","They go to school."
andavo,false,andare,I was going / I used to go,"movement,travel",indicative,imperfect,1s,n/a,singular,false,,"Io andavo al mare ogni estate.","I used to go to the sea every summer."
andavi,false,andare,you were going,"movement,travel",indicative,imperfect,2s,n/a,singular,false,,"Tu andavi spesso al mercato.","You often used to go to the market."
andava,false,andare,he/she/it was going,"movement,travel",indicative,imperfect,3s,n/a,singular,false,also 'you were going (formal)',"Lui andava a scuola ogni giorno.","He used to go to school every day."
andavamo,false,andare,we were going,"movement,travel",indicative,imperfect,1p,n/a,plural,false,,"Noi andavamo insieme.","We used to go together."
andavate,false,andare,you (plural) were going,"movement,travel",indicative,imperfect,2p,n/a,plural,false,,"Voi andavate a Roma spesso.","You (plural) used to go to Rome often."
andavano,false,andare,they were going,"movement,travel",indicative,imperfect,3p,n/a,plural,false,,"Loro andavano al cinema ogni sabato.","They used to go to the cinema every Saturday."
sono andata,false,andare,I have gone / I went,"movement,travel",indicative,passato_prossimo,1s,feminine,singular,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Sono andata a casa ieri.","I went home yesterday."
sono andato,false,andare,I have gone / I went,"movement,travel",indicative,passato_prossimo,1s,masculine,singular,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Sono andato a casa ieri.","I went home yesterday."
sei andata,false,andare,you have gone / you went,"movement,travel",indicative,passato_prossimo,2s,feminine,singular,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Sei andata al negozio?","Did you go to the store?"
sei andato,false,andare,you have gone / you went,"movement,travel",indicative,passato_prossimo,2s,masculine,singular,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Sei andato al negozio?","Did you go to the store?"
è andata,false,andare,she has gone / she went,"movement,travel",indicative,passato_prossimo,3s,feminine,singular,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses; also 'you (formal)'","È andata via presto.","She went away early."
è andato,false,andare,he has gone / he went,"movement,travel",indicative,passato_prossimo,3s,masculine,singular,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses; also 'you (formal)'","È andato via presto.","He went away early."
siamo andate,false,andare,we have gone / we went,"movement,travel",indicative,passato_prossimo,1p,feminine,plural,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Siamo andate al mercato.","We (feminine) went to the market."
siamo andati,false,andare,we have gone / we went,"movement,travel",indicative,passato_prossimo,1p,masculine,plural,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Siamo andati al mercato.","We went to the market."
siete andate,false,andare,you (plural) have gone / you (plural) went,"movement,travel",indicative,passato_prossimo,2p,feminine,plural,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Siete andate al concerto?","Did you (plural, feminine) go to the concert?"
siete andati,false,andare,you (plural) have gone / you (plural) went,"movement,travel",indicative,passato_prossimo,2p,masculine,plural,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Siete andati al concerto?","Did you (plural) go to the concert?"
sono andate,false,andare,they have gone / they went,"movement,travel",indicative,passato_prossimo,3p,feminine,plural,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Sono andate al concerto.","They (feminine) went to the concert."
sono andati,false,andare,they have gone / they went,"movement,travel",indicative,passato_prossimo,3p,masculine,plural,true,"agreement by subject gender/number; used with auxiliary 'essere' to form compound tenses","Sono andati al lavoro.","They went to work."
