term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
mettere,true,mettere,to put / to place,"placement,action",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Devo mettere il libro sul tavolo.","I must put the book on the table."
mettendo,false,mettere,putting,"placement,action",non-finite,gerund,n/a,n/a,n/a,false,,"Sto mettendo il libro sul tavolo.","I am putting the book on the table."
messa,false,mettere,put (feminine singular),"placement,action",non-finite,participle,n/a,feminine,singular,false,"used with auxiliary 'avere' to form compound tenses","La torta è messa sul tavolo.","The cake is placed on the table."
messe,false,mettere,put (feminine plural),"placement,action",non-finite,participle,n/a,feminine,plural,false,"used with auxiliary 'avere' to form compound tenses","Le tazze sono messe sul ripiano.","The cups are placed on the shelf."
messi,false,mettere,put (masculine plural),"placement,action",non-finite,participle,n/a,masculine,plural,false,"used with auxiliary 'avere' to form compound tenses","I libri sono messi nello zaino.","The books are put in the backpack."
messo,false,mettere,put (masculine singular),"placement,action",non-finite,participle,n/a,masculine,singular,false,"used with auxiliary 'avere' to form compound tenses","Il pacco è messo qui.","The package is placed here."
metto,false,mettere,I put,"placement,action",indicative,present,1s,n/a,singular,false,,"Io metto il sale nella zuppa.","I put salt in the soup."
metti,false,mettere,you put,"placement,action",indicative,present,2s,n/a,singular,false,,"Tu metti le chiavi sul tavolo.","You put the keys on the table."
mette,false,mettere,he/she/it puts,"placement,action",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui mette il piatto in lavastoviglie.","He puts the plate in the dishwasher."
mettiamo,false,mettere,we put,"placement,action",indicative,present,1p,n/a,plural,false,,"Noi mettiamo i vestiti nell'armadio.","We put the clothes in the wardrobe."
mettete,false,mettere,you (plural) put,"placement,action",indicative,present,2p,n/a,plural,false,,"Voi mettete i bicchieri sul tavolo.","You (plural) put the glasses on the table."
mettono,false,mettere,they put,"placement,action",indicative,present,3p,n/a,plural,false,,"Loro mettono i bambini a letto.","They put the children to bed."
mettevo,false,mettere,I used to put,"placement,action",indicative,imperfect,1s,n/a,singular,false,,"Io mettevo sempre zucchero nel caffè.","I used to put sugar in coffee."
mettevi,false,mettere,you used to put,"placement,action",indicative,imperfect,2s,n/a,singular,false,,"Tu mettevi troppo sale.","You used to put too much salt."
metteva,false,mettere,he/she/it used to put,"placement,action",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lui metteva le chiavi qui ogni sera.","He used to put the keys here every evening."
mettevamo,false,mettere,we used to put,"placement,action",indicative,imperfect,1p,n/a,plural,false,,"Noi mettevamo da parte i soldi.","We used to put aside money."
mettevate,false,mettere,you (plural) used to put,"placement,action",indicative,imperfect,2p,n/a,plural,false,,"Voi mettevate sempre i piatti nello stesso posto.","You (plural) used to always put the plates in the same place."
mettevano,false,mettere,they used to put,"placement,action",indicative,imperfect,3p,n/a,plural,false,,"Loro mettevano i libri sulla scrivania.","They used to put the books on the desk."
ho messo,false,mettere,I have put / I put,"placement,action",indicative,passato_prossimo,1s,feminine,singular,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Ho messo la torta nel forno.","I have put the cake in the oven."
ho messo,false,mettere,I have put / I put,"placement,action",indicative,passato_prossimo,1s,masculine,singular,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Ho messo i libri nello zaino.","I have put the books in the backpack."
hai messo,false,mettere,you have put / you put,"placement,action",indicative,passato_prossimo,2s,feminine,singular,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Hai messo la chiave sul tavolo.","You have put the key on the table."
hai messo,false,mettere,you have put / you put,"placement,action",indicative,passato_prossimo,2s,masculine,singular,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Hai messo il telefono nella borsa.","You have put the phone in the bag."
ha messo,false,mettere,she/he has put / he/she has put,"placement,action",indicative,passato_prossimo,3s,feminine,singular,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject; also 'you (formal)'","Ha messo la giacca sullo sgabello.","She has put the jacket on the stool."
ha messo,false,mettere,she/he has put / he/she has put,"placement,action",indicative,passato_prossimo,3s,masculine,singular,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject; also 'you (formal)'","Ha messo il piatto nella credenza.","He has put the plate in the cupboard."
abbiamo messo,false,mettere,we have put / we put,"placement,action",indicative,passato_prossimo,1p,feminine,plural,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Abbiamo messo le tagliatelle a cuocere.","We have put the tagliatelle to cook."
abbiamo messo,false,mettere,we have put / we put,"placement,action",indicative,passato_prossimo,1p,masculine,plural,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Abbiamo messo i piatti sul tavolo.","We have put the plates on the table."
avete messo,false,mettere,you (plural) have put / you (plural) put,"placement,action",indicative,passato_prossimo,2p,feminine,plural,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Avete messo le chiavi nella borsa.","You (plural) have put the keys in the bag."
avete messo,false,mettere,you (plural) have put / you (plural) put,"placement,action",indicative,passato_prossimo,2p,masculine,plural,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Avete messo i piatti nella mensa.","You (plural) have put the plates in the cafeteria."
hanno messo,false,mettere,they have put / they put,"placement,action",indicative,passato_prossimo,3p,feminine,plural,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Hanno messo le borse in macchina.","They have put the bags in the car."
hanno messo,false,mettere,they have put / they put,"placement,action",indicative,passato_prossimo,3p,masculine,plural,true,"used with auxiliary 'avere' to form compound tenses; no agreement with subject","Hanno messo i vestiti nell'armadio.","They have put the clothes in the wardrobe."
