term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
venire,true,venire,to come,"movement,arrival",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio venire domani.","I want to come tomorrow."
venendo,false,venire,coming,"movement,arrival",non-finite,gerund,n/a,n/a,n/a,false,,"Sto venendo adesso.","I am coming now."
venute,false,venire,come (feminine plural),"movement,arrival",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono venute ieri.","They (fem) came yesterday."
venuta,false,venire,come (feminine singular),"movement,arrival",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'essere' to form compound tenses,"È venuta tardi.","She came late."
venuti,false,venire,come (masculine plural),"movement,arrival",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono venuti insieme.","They (masc) came together."
venuto,false,venire,come (masculine singular),"movement,arrival",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'essere' to form compound tenses,"È venuto ieri.","He came yesterday."
vengo,false,venire,I come,"movement,arrival",indicative,present,1s,n/a,singular,false,,"Io vengo alle otto.","I come at eight."
vieni,false,venire,you come,"movement,arrival",indicative,present,2s,n/a,singular,false,,"Tu vieni con noi?","Are you coming with us?"
viene,false,venire,he/she/it comes,"movement,arrival",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui viene da Milano.","He comes from Milan."
veniamo,false,venire,we come,"movement,arrival",indicative,present,1p,n/a,plural,false,,"Noi veniamo stasera.","We are coming tonight."
venite,false,venire,you (plural) come,"movement,arrival",indicative,present,2p,n/a,plural,false,,"Voi venite sempre in bici.","You (plural) always come by bike."
vengono,false,venire,they come,"movement,arrival",indicative,present,3p,n/a,plural,false,,"Loro vengono dalla campagna.","They come from the countryside."
venivo,false,venire,I was coming,"movement,arrival",indicative,imperfect,1s,n/a,singular,false,,"Io venivo spesso qui.","I used to come here often."
venivi,false,venire,you were coming,"movement,arrival",indicative,imperfect,2s,n/a,singular,false,,"Tu venivi ogni estate.","You used to come every summer."
veniva,false,venire,he/she/it was coming,"movement,arrival",indicative,imperfect,3s,n/a,singular,false,also 'you were (formal)',"Lui veniva da lontano.","He was coming from far away."
venivamo,false,venire,we were coming,"movement,arrival",indicative,imperfect,1p,n/a,plural,false,,"Noi venivamo insieme.","We used to come together."
venivate,false,venire,you (plural) were coming,"movement,arrival",indicative,imperfect,2p,n/a,plural,false,,"Voi venivate spesso.","You (plural) used to come often."
venivano,false,venire,they were coming,"movement,arrival",indicative,imperfect,3p,n/a,plural,false,,"Loro venivano ogni anno.","They used to come every year."
sono venuta,false,venire,I have come / I came,"movement,arrival",indicative,passato_prossimo,1s,feminine,singular,true,agreement by subject gender/number,"Sono venuta ieri.","I came yesterday."
sono venuto,false,venire,I have come / I came,"movement,arrival",indicative,passato_prossimo,1s,masculine,singular,true,agreement by subject gender/number,"Sono venuto ieri.","I came yesterday."
sei venuta,false,venire,you have come / you came,"movement,arrival",indicative,passato_prossimo,2s,feminine,singular,true,agreement by subject gender/number,"Sei venuta in ritardo.","You came late."
sei venuto,false,venire,you have come / you came,"movement,arrival",indicative,passato_prossimo,2s,masculine,singular,true,agreement by subject gender/number,"Sei venuto presto.","You came early."
è venuta,false,venire,she has come / she came,"movement,arrival",indicative,passato_prossimo,3s,feminine,singular,true,agreement by subject gender/number; also 'you (formal)',"È venuta alla festa.","She came to the party."
è venuto,false,venire,he has come / he came,"movement,arrival",indicative,passato_prossimo,3s,masculine,singular,true,agreement by subject gender/number; also 'you (formal)',"È venuto con noi.","He came with us."
siamo venute,false,venire,we have come / we came,"movement,arrival",indicative,passato_prossimo,1p,feminine,plural,true,agreement by subject gender/number,"Siamo venute insieme.","We (fem) came together."
siamo venuti,false,venire,we have come / we came,"movement,arrival",indicative,passato_prossimo,1p,masculine,plural,true,agreement by subject gender/number,"Siamo venuti ieri.","We came yesterday."
siete venute,false,venire,you (plural) have come / you (plural) came,"movement,arrival",indicative,passato_prossimo,2p,feminine,plural,true,agreement by subject gender/number,"Siete venute in tempo.","You (pl,fem) came on time."
siete venuti,false,venire,you (plural) have come / you (plural) came,"movement,arrival",indicative,passato_prossimo,2p,masculine,plural,true,agreement by subject gender/number,"Siete venuti ieri sera.","You (pl) came last night."
sono venute,false,venire,they have come / they came,"movement,arrival",indicative,passato_prossimo,3p,feminine,plural,true,agreement by subject gender/number,"Sono venute tutte.","They (fem) have all come."
sono venuti,false,venire,they have come / they came,"movement,arrival",indicative,passato_prossimo,3p,masculine,plural,true,agreement by subject gender/number,"Sono venuti puntuali.","They (masc) came on time."
