term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
essere,True,essere,to be,"existence,identity",non-finite,infinitive,,,,False,base lemma,Voglio essere felice.,I want to be happy.
essendo,False,essere,being,"existence,identity",non-finite,gerund,,,,False,,Sto essendo onesto.,I am being honest.
state,False,essere,been (feminine plural),"existence,identity",non-finite,participle,,feminine,plural,False,used with auxiliary 'essere' to form compound tenses,Sono state fortunate.,They have been lucky.
stata,False,essere,been (feminine singular),"existence,identity",non-finite,participle,,feminine,singular,False,used with auxiliary 'essere' to form compound tenses,È stata brava.,She has been good.
stati,False,essere,been (masculine plural),"existence,identity",non-finite,participle,,masculine,plural,False,used with auxiliary 'essere' to form compound tenses,Sono stati gentili.,They have been kind.
stato,False,essere,been (masculine singular),"existence,identity",non-finite,participle,,masculine,singular,False,used with auxiliary 'essere' to form compound tenses,È stato difficile.,It has been difficult.
sono,False,essere,I am,"existence,identity",indicative,present,1s,,singular,False,,Io sono felice.,I am happy.
sei,False,essere,you are,"existence,identity",indicative,present,2s,,singular,False,,Tu sei stanco.,You are tired.
è,False,essere,he/she/it is,"existence,identity",indicative,present,3s,,singular,False,also 'you (formal)',Lei è gentile.,She is kind.
siamo,False,essere,we are,"existence,identity",indicative,present,1p,,plural,False,,Noi siamo amici.,We are friends.
siete,False,essere,you (plural) are,"existence,identity",indicative,present,2p,,plural,False,,Voi siete pronti.,You (plural) are ready.
sono,False,essere,they are,"existence,identity",indicative,present,3p,,plural,False,,Loro sono studenti.,They are students.
ero,False,essere,I was,"existence,identity",indicative,imperfect,1s,,singular,False,,Io ero a casa.,I was at home.
eri,False,essere,you were,"existence,identity",indicative,imperfect,2s,,singular,False,,Tu eri felice.,You were happy.
era,False,essere,he/she/it was,"existence,identity",indicative,imperfect,3s,,singular,False,also 'you (formal)',Lui era malato.,He was sick.
eravamo,False,essere,we were,"existence,identity",indicative,imperfect,1p,,plural,False,,Noi eravamo giovani.,We were young.
eravate,False,essere,you (plural) were,"existence,identity",indicative,imperfect,2p,,plural,False,,Voi eravate occupati.,You (plural) were busy.
erano,False,essere,they were,"existence,identity",indicative,imperfect,3p,,plural,False,,Loro erano tristi.,They were sad.
sono stata,False,essere,I have been / I was,"existence,identity",indicative,passato_prossimo,1s,feminine,singular,True,agreement by subject gender/number,Sono stata fortunata.,I have been lucky.
sono stato,False,essere,I have been / I was,"existence,identity",indicative,passato_prossimo,1s,masculine,singular,True,agreement by subject gender/number,Sono stato felice.,I have been happy.
sei stata,False,essere,you have been / you were,"existence,identity",indicative,passato_prossimo,2s,feminine,singular,True,agreement by subject gender/number,Sei stata gentile.,You have been kind.
sei stato,False,essere,you have been / you were,"existence,identity",indicative,passato_prossimo,2s,masculine,singular,True,agreement by subject gender/number,Sei stato bravo.,You have been good.
è stata,False,essere,she has been / she was,"existence,identity",indicative,passato_prossimo,3s,feminine,singular,True,agreement by subject gender/number; also 'you (formal)',È stata una bella giornata.,It has been a nice day.
è stato,False,essere,he has been / he was,"existence,identity",indicative,passato_prossimo,3s,masculine,singular,True,agreement by subject gender/number; also 'you (formal)',È stato un piacere.,It has been a pleasure.
siamo state,False,essere,we have been / we were,"existence,identity",indicative,passato_prossimo,1p,feminine,plural,True,agreement by subject gender/number,Siamo state fortunate.,We have been lucky.
siamo stati,False,essere,we have been / we were,"existence,identity",indicative,passato_prossimo,1p,masculine,plural,True,agreement by subject gender/number,Siamo stati amici.,We have been friends.
siete state,False,essere,you (plural) have been / you (plural) were,"existence,identity",indicative,passato_prossimo,2p,feminine,plural,True,agreement by subject gender/number,Siete state gentili.,You (plural) have been kind.
siete stati,False,essere,you (plural) have been / you (plural) were,"existence,identity",indicative,passato_prossimo,2p,masculine,plural,True,agreement by subject gender/number,Siete stati forti.,You (plural) have been strong.
sono state,False,essere,they have been / they were,"existence,identity",indicative,passato_prossimo,3p,feminine,plural,True,agreement by subject gender/number,Sono state brave.,They have been good.
sono stati,False,essere,they have been / they were,"existence,identity",indicative,passato_prossimo,3p,masculine,plural,True,agreement by subject gender/number,Sono stati felici.,They have been happy.
