term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
avere,True,avere,to have,"possession,relationships",non-finite,infinitive,,,,False,base lemma,Voglio avere tempo.,I want to have time.
avendo,False,avere,having,"possession,relationships",non-finite,gerund,,,,False,,Sto avendo problemi.,I am having problems.
avute,False,avere,having had (feminine plural),"possession,relationships",non-finite,participle,,feminine,plural,False,used with auxiliary 'avere' to form compound tenses,Le ho avute.,I have had them.
avuta,False,avere,having had (feminine singular),"possession,relationships",non-finite,participle,,feminine,singular,False,used with auxiliary 'avere' to form compound tenses,L'ho avuta ieri.,I had it yesterday.
avuti,False,avere,having had (masculine plural),"possession,relationships",non-finite,participle,,masculine,plural,False,used with auxiliary 'avere' to form compound tenses,Li ho avuti.,I have had them.
avuto,False,avere,having had (masculine singular),"possession,relationships",non-finite,participle,,masculine,singular,False,used with auxiliary 'avere' to form compound tenses,Ho avuto pazienza.,I have had patience.
ho,False,avere,I have,"possession,relationships",indicative,present,1s,,singular,False,,Io ho due libri.,I have two books.
hai,False,avere,you have,"possession,relationships",indicative,present,2s,,singular,False,,Tu hai tempo.,You have time.
ha,False,avere,he/she/it has,"possession,relationships",indicative,present,3s,,singular,False,also 'you (formal)',Ha una macchina.,He has a car.
abbiamo,False,avere,we have,"possession,relationships",indicative,present,1p,,plural,False,,Noi abbiamo idee.,We have ideas.
avete,False,avere,you (plural) have,"possession,relationships",indicative,present,2p,,plural,False,,Voi avete domande.,You (plural) have questions.
hanno,False,avere,they have,"possession,relationships",indicative,present,3p,,plural,False,,Loro hanno amici.,They have friends.
avevo,False,avere,I had,"possession,relationships",indicative,imperfect,1s,,singular,False,,Io avevo fame.,I was hungry.
avevi,False,avere,you had,"possession,relationships",indicative,imperfect,2s,,singular,False,,Tu avevi tempo.,You had time.
aveva,False,avere,he/she/it had,"possession,relationships",indicative,imperfect,3s,,singular,False,also 'you (formal)',Aveva un sogno.,He had a dream.
avevamo,False,avere,we had,"possession,relationships",indicative,imperfect,1p,,plural,False,,Noi avevamo dubbi.,We had doubts.
avevate,False,avere,you (plural) had,"possession,relationships",indicative,imperfect,2p,,plural,False,,Voi avevate compiti.,You (plural) had homework.
avevano,False,avere,they had,"possession,relationships",indicative,imperfect,3p,,plural,False,,Avevano paura.,They were afraid.
ho avuto,False,avere,I had / I have had,"possession,relationships",indicative,passato_prossimo,1s,,singular,True,uses auxiliary 'avere'; no agreement with subject,Ho avuto tempo.,I had time.
hai avuto,False,avere,you had / you have had,"possession,relationships",indicative,passato_prossimo,2s,,singular,True,uses auxiliary 'avere'; no agreement with subject,Hai avuto fortuna.,You had luck.
ha avuto,False,avere,he/she/it had / he/she/it has had,"possession,relationships",indicative,passato_prossimo,3s,,singular,True,uses auxiliary 'avere'; no agreement with subject; also 'you (formal)',Ha avuto problemi.,He has had problems.
abbiamo avuto,False,avere,we had / we have had,"possession,relationships",indicative,passato_prossimo,1p,,plural,True,uses auxiliary 'avere'; no agreement with subject,Abbiamo avuto idee.,We have had ideas.
avete avuto,False,avere,you (plural) had / you (plural) have had,"possession,relationships",indicative,passato_prossimo,2p,,plural,True,uses auxiliary 'avere'; no agreement with subject,Avete avuto tempo.,You (plural) have had time.
hanno avuto,False,avere,they had / they have had,"possession,relationships",indicative,passato_prossimo,3p,,plural,True,uses auxiliary 'avere'; no agreement with subject,Hanno avuto aiuto.,They have had help.
