term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
sapere,true,sapere,to know (a fact, how to),"knowledge,ability",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio sapere la verità.","I want to know the truth."
sapendo,false,sapere,knowing,"knowledge,ability",non-finite,gerund,n/a,n/a,n/a,false,,"Sapendo quello che è successo, ho cambiato idea.","Knowing what happened, I changed my mind."
sapute,false,sapere,known (feminine plural),"knowledge,ability",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le ho sapute tutte.","I found out them all."
saputa,false,sapere,known (feminine singular),"knowledge,ability",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"L'ho saputa subito.","I learned it right away."
saputi,false,sapere,known (masculine plural),"knowledge,ability",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"Li ho saputi pochi giorni fa.","I learned them a few days ago."
saputo,false,sapere,known (masculine singular),"knowledge,ability",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Ho saputo la notizia.","I found out the news."
so,false,sapere,I know,"knowledge,ability",indicative,present,1s,n/a,singular,false,,"Io so la risposta.","I know the answer."
sai,false,sapere,you know,"knowledge,ability",indicative,present,2s,n/a,singular,false,,"Tu sai parlare inglese.","You know how to speak English."
sa,false,sapere,he/she/it knows,"knowledge,ability",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei sa molte cose.","She knows many things."
sappiamo,false,sapere,we know,"knowledge,ability",indicative,present,1p,n/a,plural,false,,"Noi sappiamo la verità.","We know the truth."
sapete,false,sapere,you (plural) know,"knowledge,ability",indicative,present,2p,n/a,plural,false,,"Voi sapete la risposta.","You (plural) know the answer."
sanno,false,sapere,they know,"knowledge,ability",indicative,present,3p,n/a,plural,false,,"Loro sanno nuotare.","They know how to swim."
sapevo,false,sapere,I knew / I used to know,"knowledge,ability",indicative,imperfect,1s,n/a,singular,false,,"Io sapevo la verità.","I knew the truth."
sapevi,false,sapere,you knew / you used to know,"knowledge,ability",indicative,imperfect,2s,n/a,singular,false,,"Tu sapevi tutto.","You knew everything."
sapeva,false,sapere,he/she/it knew / used to know,"knowledge,ability",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lui sapeva la storia.","He knew the story."
sapevamo,false,sapere,we knew / we used to know,"knowledge,ability",indicative,imperfect,1p,n/a,plural,false,,"Noi sapevamo cosa fare.","We knew what to do."
sapevate,false,sapere,you (plural) knew / used to know,"knowledge,ability",indicative,imperfect,2p,n/a,plural,false,,"Voi sapevate la data.","You (plural) knew the date."
sapevano,false,sapere,they knew / they used to know,"knowledge,ability",indicative,imperfect,3p,n/a,plural,false,,"Loro sapevano la verità.","They knew the truth."
ho saputo,false,sapere,I have known / I learned,"knowledge,ability",indicative,passato_prossimo,1s,feminine,singular,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Ho saputo la notizia.","I have learned the news."
ho saputo,false,sapere,I have known / I learned,"knowledge,ability",indicative,passato_prossimo,1s,masculine,singular,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Ho saputo la notizia.","I have learned the news."
hai saputo,false,sapere,you have known / you learned,"knowledge,ability",indicative,passato_prossimo,2s,feminine,singular,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Hai saputo la verità?","Did you find out the truth?"
hai saputo,false,sapere,you have known / you learned,"knowledge,ability",indicative,passato_prossimo,2s,masculine,singular,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Hai saputo la verità?","Did you find out the truth?"
ha saputo,false,sapere,she has known / she learned,"knowledge,ability",indicative,passato_prossimo,3s,feminine,singular,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic; also 'you (formal)'","Ha saputo la notizia.","She has learned the news."
ha saputo,false,sapere,he has known / he learned,"knowledge,ability",indicative,passato_prossimo,3s,masculine,singular,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic; also 'you (formal)'","Ha saputo tutto.","He has learned everything."
abbiamo saputo,false,sapere,we have known / we learned,"knowledge,ability",indicative,passato_prossimo,1p,feminine,plural,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Abbiamo saputo la verità.","We have learned the truth."
abbiamo saputo,false,sapere,we have known / we learned,"knowledge,ability",indicative,passato_prossimo,1p,masculine,plural,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Abbiamo saputo la verità.","We have learned the truth."
avete saputo,false,sapere,you (plural) have known / you (plural) learned,"knowledge,ability",indicative,passato_prossimo,2p,feminine,plural,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Avete saputo della festa?","Have you (plural) heard about the party?"
avete saputo,false,sapere,you (plural) have known / you (plural) learned,"knowledge,ability",indicative,passato_prossimo,2p,masculine,plural,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Avete saputo della festa?","Have you (plural) heard about the party?"
hanno saputo,false,sapere,they have known / they learned,"knowledge,ability",indicative,passato_prossimo,3p,feminine,plural,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Hanno saputo la verità.","They have learned the truth."
hanno saputo,false,sapere,they have known / they learned,"knowledge,ability",indicative,passato_prossimo,3p,masculine,plural,true,"uses auxiliary 'avere'; past participle usually does not agree with subject; agreement possible with preceding direct object clitic","Hanno saputo la verità.","They have learned the truth."
