term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
volere,true,volere,to want,"desire,requests",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"È difficile volere sempre la stessa cosa.","It's hard to always want the same thing."
volendo,false,volere,wanting,"desire,requests",non-finite,gerund,n/a,n/a,n/a,false,,"Volendo, posso aiutare.","If desired, I can help."
voluto,false,volere,wanted (masculine singular),"desire,requests",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Il risultato voluto è arrivato.","The desired result has arrived."
voluta,false,volere,wanted (feminine singular),"desire,requests",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La scelta voluta non era facile.","The wanted choice was not easy."
voluti,false,volere,wanted (masculine plural),"desire,requests",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I cambiamenti voluti sono stati molti.","The wanted changes were many."
volute,false,volere,wanted (feminine plural),"desire,requests",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le condizioni volute non si sono verificate.","The desired conditions did not occur."
voglio,false,volere,I want,"desire,requests",indicative,present,1s,n/a,singular,false,,"Io voglio un caffè.","I want a coffee."
vuoi,false,volere,you want,"desire,requests",indicative,present,2s,n/a,singular,false,,"Tu vuoi uscire?","Do you want to go out?"
vuole,false,volere,he/she/it wants,"desire,requests",indicative,present,3s,n/a,singular,false,also 'you want (formal)',"Lui vuole restare.","He wants to stay."
vogliamo,false,volere,we want,"desire,requests",indicative,present,1p,n/a,plural,false,,"Noi vogliamo partire.","We want to leave."
volete,false,volere,you (plural) want,"desire,requests",indicative,present,2p,n/a,plural,false,,"Voi volete venire?","Do you (plural) want to come?"
vogliono,false,volere,they want,"desire,requests",indicative,present,3p,n/a,plural,false,,"Loro vogliono cambiare.","They want to change."
volevo,false,volere,I wanted,"desire,requests",indicative,imperfect,1s,n/a,singular,false,,"Io volevo andare.","I wanted to go."
volevi,false,volere,you wanted,"desire,requests",indicative,imperfect,2s,n/a,singular,false,,"Tu volevi restare.","You wanted to stay."
voleva,false,volere,he/she/it wanted,"desire,requests",indicative,imperfect,3s,n/a,singular,false,also 'you wanted (formal)',"Lui voleva parlare.","He wanted to speak."
volevamo,false,volere,we wanted,"desire,requests",indicative,imperfect,1p,n/a,plural,false,,"Noi volevamo imparare.","We wanted to learn."
volevate,false,volere,you (plural) wanted,"desire,requests",indicative,imperfect,2p,n/a,plural,false,,"Voi volevate restare.","You (plural) wanted to stay."
volevano,false,volere,they wanted,"desire,requests",indicative,imperfect,3p,n/a,plural,false,,"Loro volevano aiutare.","They wanted to help."
ho voluto,false,volere,I have wanted / I wanted,"desire,requests",indicative,passato_prossimo,1s,feminine,singular,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Io ho voluto venire.","I have wanted to come."
ho voluto,false,volere,I have wanted / I wanted,"desire,requests",indicative,passato_prossimo,1s,masculine,singular,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Io ho voluto rischiare.","I have wanted to take the risk."
hai voluto,false,volere,you have wanted / you wanted,"desire,requests",indicative,passato_prossimo,2s,feminine,singular,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Tu hai voluto partire.","You have wanted to leave."
hai voluto,false,volere,you have wanted / you wanted,"desire,requests",indicative,passato_prossimo,2s,masculine,singular,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Tu hai voluto venire.","You have wanted to come."
ha voluto,false,volere,she has wanted / she wanted,"desire,requests",indicative,passato_prossimo,3s,feminine,singular,true,"uses auxiliary 'avere'; no agreement with subject gender/number; also 'you (formal)'","Maria ha voluto cambiare.","Maria has wanted to change."
ha voluto,false,volere,he has wanted / he wanted,"desire,requests",indicative,passato_prossimo,3s,masculine,singular,true,"uses auxiliary 'avere'; no agreement with subject gender/number; also 'you (formal)'","Luca ha voluto parlare.","Luca has wanted to speak."
abbiamo voluto,false,volere,we have wanted / we wanted,"desire,requests",indicative,passato_prossimo,1p,feminine,plural,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Noi abbiamo voluto cambiare.","We have wanted to change."
abbiamo voluto,false,volere,we have wanted / we wanted,"desire,requests",indicative,passato_prossimo,1p,masculine,plural,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Noi abbiamo voluto aiutare.","We have wanted to help."
avete voluto,false,volere,you (plural) have wanted / you (plural) wanted,"desire,requests",indicative,passato_prossimo,2p,feminine,plural,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Voi avete voluto partecipare.","You (plural) have wanted to participate."
avete voluto,false,volere,you (plural) have wanted / you (plural) wanted,"desire,requests",indicative,passato_prossimo,2p,masculine,plural,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Voi avete voluto venire.","You (plural) have wanted to come."
hanno voluto,false,volere,they have wanted / they wanted,"desire,requests",indicative,passato_prossimo,3p,feminine,plural,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Le donne hanno voluto partecipare.","The women have wanted to participate."
hanno voluto,false,volere,they have wanted / they wanted,"desire,requests",indicative,passato_prossimo,3p,masculine,plural,true,"uses auxiliary 'avere'; no agreement with subject gender/number","Gli uomini hanno voluto partecipare.","The men have wanted to participate."
