term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
dire,True,dire,to say/to tell,"speech, communication",non-finite,infinitive,,,,False,base lemma,Voglio dire la verità.,I want to tell the truth.
dicendo,False,dire,saying/telling,"speech, communication",non-finite,gerund,,,,False,,Sto dicendo la verità.,I am telling the truth.
dette,False,dire,said (feminine plural),"speech, communication",non-finite,participle,,feminine,plural,False,used with auxiliary 'avere' to form compound tenses,Le ho dette.,I have said them.
detta,False,dire,said (feminine singular),"speech, communication",non-finite,participle,,feminine,singular,False,used with auxiliary 'avere' to form compound tenses,L'ho detta.,I said it.
detti,False,dire,said (masculine plural),"speech, communication",non-finite,participle,,masculine,plural,False,used with auxiliary 'avere' to form compound tenses,Li ho detti.,I have said them.
detto,False,dire,said (masculine singular),"speech, communication",non-finite,participle,,masculine,singular,False,used with auxiliary 'avere' to form compound tenses,L'ho detto.,I said it.
dico,False,dire,I say/I tell,"speech, communication",indicative,present,1s,,singular,False,,Dico grazie.,I say thanks.
dici,False,dire,you say/you tell,"speech, communication",indicative,present,2s,,singular,False,,Dici la verità.,You tell the truth.
dice,False,dire,he/she/it says/tells,"speech, communication",indicative,present,3s,,singular,False,also 'you (formal)',Dice poco.,He says little.
diciamo,False,dire,we say/we tell,"speech, communication",indicative,present,1p,,plural,False,,Diciamo tutto.,We say everything.
dite,False,dire,you (plural) say/you (plural) tell,"speech, communication",indicative,present,2p,,plural,False,,Dite la verità.,You (plural) tell the truth.
dicono,False,dire,they say/they tell,"speech, communication",indicative,present,3p,,plural,False,,Dicono sempre sì.,They always say yes.
dicevo,False,dire,I used to say/I was saying,"speech, communication",indicative,imperfect,1s,,singular,False,,Io dicevo spesso sì.,I used to say yes often.
dicevi,False,dire,you used to say/you were saying,"speech, communication",indicative,imperfect,2s,,singular,False,,Tu dicevi poco.,You used to say little.
diceva,False,dire,he/she/it used to say/was saying,"speech, communication",indicative,imperfect,3s,,singular,False,also 'you (formal)',Diceva la verità.,He used to tell the truth.
dicevamo,False,dire,we used to say/we were saying,"speech, communication",indicative,imperfect,1p,,plural,False,,Dicevamo tutto.,We used to say everything.
dicevate,False,dire,you (plural) used to say/were saying,"speech, communication",indicative,imperfect,2p,,plural,False,,Dicevate sempre sì.,You (plural) always used to say yes.
dicevano,False,dire,they used to say/were saying,"speech, communication",indicative,imperfect,3p,,plural,False,,Dicevano bugie.,They were telling lies.
ho detto,False,dire,I said / I have said,"speech, communication",indicative,passato_prossimo,1s,,singular,True,uses auxiliary 'avere'; no agreement with subject,Ho detto tutto.,I said everything.
hai detto,False,dire,you said / you have said,"speech, communication",indicative,passato_prossimo,2s,,singular,True,uses auxiliary 'avere'; no agreement with subject,Hai detto bene.,You spoke well.
ha detto,False,dire,he/she/it said / he/she/it has said,"speech, communication",indicative,passato_prossimo,3s,,singular,True,uses auxiliary 'avere'; no agreement with subject; also 'you (formal)',Ha detto la verità.,He has told the truth.
abbiamo detto,False,dire,we said / we have said,"speech, communication",indicative,passato_prossimo,1p,,plural,True,uses auxiliary 'avere'; no agreement with subject,Abbiamo detto tutto.,We have said everything.
avete detto,False,dire,you (plural) said / you (plural) have said,"speech, communication",indicative,passato_prossimo,2p,,plural,True,uses auxiliary 'avere'; no agreement with subject,Avete detto poco.,You (plural) said little.
hanno detto,False,dire,they said / they have said,"speech, communication",indicative,passato_prossimo,3p,,plural,True,uses auxiliary 'avere'; no agreement with subject,Hanno detto no.,They said no.
