term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
pensare,true,pensare,to think,"thought,opinion",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio pensare con calma.","I want to think calmly."
pensando,false,pensare,thinking,"thought,opinion",non-finite,gerund,n/a,n/a,n/a,false,,"Sto pensando al problema.","I am thinking about the problem."
pensato,false,pensare,thought (masculine singular),"thought,opinion",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Il libro pensato ieri è interessante.","The book thought about yesterday is interesting."
pensata,false,pensare,thought (feminine singular),"thought,opinion",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La frase pensata da lei è chiara.","The sentence thought by her is clear."
pensati,false,pensare,thought (masculine plural),"thought,opinion",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I dettagli pensati erano utili.","The details thought of were useful."
pensate,false,pensare,thought (feminine plural),"thought,opinion",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le soluzioni pensate sono valide.","The solutions thought of are valid."
penso,false,pensare,I think,"thought,opinion",indicative,present,1s,n/a,singular,false,,"Io penso spesso a te.","I think about you often."
pensi,false,pensare,you think,"thought,opinion",indicative,present,2s,n/a,singular,false,,"Tu pensi troppo.","You think too much."
pensa,false,pensare,he/she/it thinks,"thought,opinion",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei pensa al futuro.","She thinks about the future."
pensiamo,false,pensare,we think,"thought,opinion",indicative,present,1p,n/a,plural,false,,"Noi pensiamo la stessa cosa.","We think the same thing."
pensate,false,pensare,you (plural) think,"thought,opinion",indicative,present,2p,n/a,plural,false,,"Voi pensate a tutto.","You (plural) think of everything."
pensano,false,pensare,they think,"thought,opinion",indicative,present,3p,n/a,plural,false,,"Loro pensano diversamente.","They think differently."
pensavo,false,pensare,I was thinking / I used to think,"thought,opinion",indicative,imperfect,1s,n/a,singular,false,,"Io pensavo spesso a quella idea.","I used to think about that idea often."
pensavi,false,pensare,you were thinking / you used to think,"thought,opinion",indicative,imperfect,2s,n/a,singular,false,,"Tu pensavi che fosse facile.","You thought it was easy."
pensava,false,pensare,he/she/it was thinking / used to think,"thought,opinion",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei pensava al passato.","She was thinking about the past."
pensavamo,false,pensare,we were thinking / we used to think,"thought,opinion",indicative,imperfect,1p,n/a,plural,false,,"Noi pensavamo diversamente allora.","We used to think differently then."
pensavate,false,pensare,you (plural) were thinking / you used to think,"thought,opinion",indicative,imperfect,2p,n/a,plural,false,,"Voi pensavate di venire.","You (plural) were planning to come."
pensavano,false,pensare,they were thinking / they used to think,"thought,opinion",indicative,imperfect,3p,n/a,plural,false,,"Loro pensavano ad altre cose.","They were thinking about other things."
ho pensato,false,pensare,I have thought / I thought (masculine singular),"thought,opinion",indicative,passato_prossimo,1s,masculine,singular,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Io ho pensato a quella idea.","I have thought about that idea."
ho pensato,false,pensare,I have thought / I thought (feminine singular),"thought,opinion",indicative,passato_prossimo,1s,feminine,singular,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Io ho pensato alla soluzione.","I have thought of the solution."
hai pensato,false,pensare,you have thought / you thought (masculine singular),"thought,opinion",indicative,passato_prossimo,2s,masculine,singular,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Tu hai pensato al problema.","You have thought about the problem."
hai pensato,false,pensare,you have thought / you thought (feminine singular),"thought,opinion",indicative,passato_prossimo,2s,feminine,singular,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Tu hai pensato a tutto.","You have thought of everything."
ha pensato,false,pensare,she has thought / she thought,"thought,opinion",indicative,passato_prossimo,3s,feminine,singular,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject; also 'you (formal)'","Maria ha pensato a te.","Maria has thought about you."
ha pensato,false,pensare,he has thought / he thought,"thought,opinion",indicative,passato_prossimo,3s,masculine,singular,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject; also 'you (formal)'","Lui ha pensato a una soluzione.","He has thought of a solution."
abbiamo pensato,false,pensare,we have thought / we thought (masculine plural),"thought,opinion",indicative,passato_prossimo,1p,masculine,plural,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Noi abbiamo pensato a un piano.","We have thought of a plan."
abbiamo pensato,false,pensare,we have thought / we thought (feminine plural),"thought,opinion",indicative,passato_prossimo,1p,feminine,plural,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Noi abbiamo pensato alle alternative.","We have thought of the alternatives."
avete pensato,false,pensare,you (plural) have thought / you (plural) thought (masculine plural),"thought,opinion",indicative,passato_prossimo,2p,masculine,plural,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Voi avete pensato a tutto.","You (plural) have thought of everything."
avete pensato,false,pensare,you (plural) have thought / you (plural) thought (feminine plural),"thought,opinion",indicative,passato_prossimo,2p,feminine,plural,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Voi avete pensato alle soluzioni.","You (plural) have thought of the solutions."
hanno pensato,false,pensare,they have thought / they thought (masculine plural),"thought,opinion",indicative,passato_prossimo,3p,masculine,plural,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Loro hanno pensato a un cambiamento.","They have thought about a change."
hanno pensato,false,pensare,they have thought / they thought (feminine plural),"thought,opinion",indicative,passato_prossimo,3p,feminine,plural,true,"used with auxiliary 'avere' to form compound tenses; past participle normally does not agree with subject","Loro hanno pensato alle opzioni.","They have thought about the options."
