term_italian,is_base,base_term_italian,translation_english,topics,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
uscire,true,uscire,to go out / to leave,"movement,departure",non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio uscire stasera.","I want to go out tonight."
uscendo,false,uscire,going out,"movement,departure",non-finite,gerund,n/a,n/a,n/a,false,,"Sto uscendo adesso.","I'm going out right now."
uscita,false,uscire,gone out (feminine singular),"movement,departure",non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'essere' to form compound tenses,"È uscita ieri.","She went out yesterday."
uscito,false,uscire,gone out (masculine singular),"movement,departure",non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'essere' to form compound tenses,"È uscito prima.","He went out earlier."
uscite,false,uscire,gone out (feminine plural),"movement,departure",non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono uscite di corsa.","They (f.) went out in a hurry."
usciti,false,uscire,gone out (masculine plural),"movement,departure",non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'essere' to form compound tenses,"Siamo usciti insieme.","We went out together."
esco,false,uscire,I go out / I am going out,"movement,departure",indicative,present,1s,n/a,singular,false,,"Io esco ogni sera.","I go out every evening."
esci,false,uscire,you go out / you are going out,"movement,departure",indicative,present,2s,n/a,singular,false,,"Tu esci spesso.","You go out often."
esce,false,uscire,he/she/it goes out,"movement,departure",indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui esce spesso.","He goes out often."
usciamo,false,uscire,we go out,"movement,departure",indicative,present,1p,n/a,plural,false,,"Noi usciamo stasera.","We are going out tonight."
uscite,false,uscire,you (plural) go out,"movement,departure",indicative,present,2p,n/a,plural,false,,"Voi uscite domani.","You (plural) go out tomorrow."
escono,false,uscire,they go out,"movement,departure",indicative,present,3p,n/a,plural,false,,"Loro escono spesso insieme.","They go out together often."
uscivo,false,uscire,I was going out / I used to go out,"movement,departure",indicative,imperfect,1s,n/a,singular,false,,"Io uscivo ogni sabato.","I used to go out every Saturday."
uscivi,false,uscire,you were going out / you used to go out,"movement,departure",indicative,imperfect,2s,n/a,singular,false,,"Tu uscivi tardi.","You used to go out late."
usciva,false,uscire,he/she/it was going out / used to go out,"movement,departure",indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei usciva spesso.","She used to go out often."
uscivamo,false,uscire,we were going out / we used to go out,"movement,departure",indicative,imperfect,1p,n/a,plural,false,,"Noi uscivamo insieme.","We used to go out together."
uscivate,false,uscire,you (plural) were going out / you used to go out,"movement,departure",indicative,imperfect,2p,n/a,plural,false,,"Voi uscivate ogni weekend.","You (plural) used to go out every weekend."
uscivano,false,uscire,they were going out / they used to go out,"movement,departure",indicative,imperfect,3p,n/a,plural,false,,"Loro uscivano spesso.","They used to go out often."
sono uscito,false,uscire,I have gone out / I went out,"movement,departure",indicative,passato_prossimo,1s,masculine,singular,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Sono uscito ieri.","I went out yesterday."
sono uscita,false,uscire,I have gone out / I went out,"movement,departure",indicative,passato_prossimo,1s,feminine,singular,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Sono uscita ieri.","I went out yesterday."
sei uscito,false,uscire,you have gone out / you went out,"movement,departure",indicative,passato_prossimo,2s,masculine,singular,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Sei uscito tardi.","You went out late."
sei uscita,false,uscire,you have gone out / you went out,"movement,departure",indicative,passato_prossimo,2s,feminine,singular,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Sei uscita tardi.","You went out late."
è uscito,false,uscire,he has gone out / he went out,"movement,departure",indicative,passato_prossimo,3s,masculine,singular,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number; also 'you (formal)'","È uscito presto.","He went out early."
è uscita,false,uscire,she has gone out / she went out,"movement,departure",indicative,passato_prossimo,3s,feminine,singular,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number; also 'you (formal)'","È uscita presto.","She went out early."
siamo usciti,false,uscire,we have gone out / we went out,"movement,departure",indicative,passato_prossimo,1p,masculine,plural,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Siamo usciti ieri sera.","We went out last night."
siamo uscite,false,uscire,we have gone out / we went out,"movement,departure",indicative,passato_prossimo,1p,feminine,plural,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Siamo uscite ieri sera.","We went out last night."
siete usciti,false,uscire,you (plural) have gone out / you (plural) went out,"movement,departure",indicative,passato_prossimo,2p,masculine,plural,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Siete usciti presto.","You (plural) went out early."
siete uscite,false,uscire,you (plural) have gone out / you (plural) went out,"movement,departure",indicative,passato_prossimo,2p,feminine,plural,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Siete uscite presto.","You (plural) went out early."
sono usciti,false,uscire,they have gone out / they went out,"movement,departure",indicative,passato_prossimo,3p,masculine,plural,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Sono usciti insieme.","They went out together."
sono uscite,false,uscire,they have gone out / they went out,"movement,departure",indicative,passato_prossimo,3p,feminine,plural,true,"used with auxiliary 'essere' to form compound tenses; agreement by subject gender/number","Sono uscite insieme.","They went out together."
