token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOI017	0	non	non	linguistic	none	_	Begin=0.01	_	_	_	_
0-1	TOI017	0	mi	mi	linguistic	none	_	_	_	_	_	_
0-2	TOI017	0	chiamo	chiamo	linguistic	none	_	_	_	_	_	_
0-3	TOI017	0	io	io	linguistic	none	_	_	_	_	_	_
0-4	TOI017	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-5	TOI017	0	[mi	mi	linguistic	none	_	_	_	_	_	0-2(0)
0-6	TOI017	0	chiamano]	chiamano	linguistic	none	_	_	_	_	_	0-8(0)
0-7	TOI017	0	mi	mi	linguistic	none	_	_	_	_	_	_
0-8	TOI017	0	chiamano	chiamano	linguistic	none	_	_	_	_	_	_
0-9	TOI017	0	arancioni	arancioni	linguistic	none	_	_	_	_	_	_
0-10	TOI017	0	enzo	enzo	linguistic	none	_	End=3.27	_	_	_	_
1-0	TOR004	1	[allora]	allora	linguistic	none	_	Begin=1.0|End=1.55	_	_	_	0-6(0)
2-0	TOI018	2	((ride))	((ride))	nonverbalbehavior	none	_	Begin=2.38|End=2.844	_	_	_	_
3-0	TOR004	3	allora	allora	linguistic	none	_	Begin=3.408	_	_	_	_
3-1	TOR004	3	ti	ti	linguistic	none	_	_	_	_	_	_
3-2	TOR004	3	chiamano	chiamano	linguistic	none	_	_	_	_	_	_
3-3	TOR004	3	arancioni	arancioni	linguistic	none	_	_	_	_	_	_
3-4	TOR004	3	enzo	enzo	linguistic	none	_	End=5.51	_	_	_	_
4-0	TOR004	4	e	e	linguistic	none	_	Begin=5.78	_	_	_	_
4-1	TOR004	4	dove	dove	linguistic	none	_	_	_	_	_	_
4-2	TOR004	4	sei	sei	linguistic	none	_	_	_	_	_	_
4-3	TOR004	4	nato	nato	linguistic	none	_	_	_	_	_	_
4-4	TOR004	4	aranci[oni	arancioni	linguistic	none	_	_	_	_	_	6-9(1)
4-5	TOR004	4	enzo]?	enzo	linguistic	none	Intonation=Rising	End=7.195	_	_	_	0-4(1)
5-0	TOI017	5	[luce]ra	lucera	linguistic	none	_	Begin=7.073	_	_	_	0-4(1)
5-1	TOI017	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
5-2	TOI017	5	lu	lu	linguistic	none	ProsodicLink=Yes	_	_	_	_	_
5-3	TOI017	5	cera	cera	linguistic	none	_	End=9.68	_	_	_	_
6-0	TOR004	6	lucera	lucera	linguistic	none	_	Begin=9.681	_	_	_	_
6-1	TOR004	6	in	in	linguistic	none	_	_	_	_	_	_
6-2	TOR004	6	provincia	provincia	linguistic	none	_	_	_	_	_	_
6-3	TOR004	6	di?	di	linguistic	none	Intonation=Rising	End=11.433	_	_	_	_
7-0	TOI017	7	in	in	linguistic	none	_	Begin=11.433	_	_	_	_
7-1	TOI017	7	provincia	provincia	linguistic	none	_	_	_	_	_	_
7-2	TOI017	7	di	di	linguistic	none	_	_	_	_	_	_
7-3	TOI017	7	foggia.	foggia	linguistic	none	Intonation=Falling	End=12.36	_	_	_	_
8-0	TOR004	8	okay.	okay	linguistic	none	Intonation=Falling	Begin=12.53	_	_	_	_
8-1	TOR004	8	ed	ed	linguistic	none	_	_	_	_	_	_
8-2	TOR004	8	è	è	linguistic	none	_	_	_	_	_	_
8-3	TOR004	8	una	una	linguistic	none	_	_	_	_	_	_
8-4	TOR004	8	città	città	linguistic	none	_	_	_	_	_	_
8-5	TOR004	8	grande?	grande	linguistic	none	Intonation=Rising	End=14.68	_	_	_	_
9-0	TOI017	9	mah	mah	linguistic	none	_	Begin=15.59	_	_	_	_
9-1	TOI017	9	all'	all'	linguistic	none	SpaceAfter=No	_	_	_	_	_
9-2	TOI017	9	epoca	epoca	linguistic	none	_	_	_	_	_	_
9-3	TOI017	9	quando	quando	linguistic	none	_	_	_	_	_	_
9-4	TOI017	9	sono	sono	linguistic	none	_	_	_	_	_	_
9-5	TOI017	9	venuto	venuto	linguistic	none	_	_	_	_	_	_
9-6	TOI017	9	via	via	linguistic	none	_	_	_	_	_	_
9-7	TOI017	9	io	io	linguistic	none	_	_	_	_	_	_
9-8	TOI017	9	cioè	cioè	linguistic	none	_	_	_	_	_	_
9-9	TOI017	9	erano	erano	linguistic	none	_	_	_	_	_	_
9-10	TOI017	9	ventiduemila	ventiduemila	linguistic	none	_	_	_	_	_	_
9-11	TOI017	9	abitanti,	abitanti	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
9-12	TOI017	9	adesso	adesso	linguistic	none	_	_	_	_	_	_
9-13	TOI017	9	farà	farà	linguistic	none	_	_	_	_	_	_
9-14	TOI017	9	cinquantamila	cinquantamila	linguistic	none	_	_	_	_	_	_
9-15	TOI017	9	non	non	linguistic	none	_	_	_	_	_	_
9-16	TOI017	9	lo	lo	linguistic	none	_	_	_	_	_	_
9-17	TOI017	9	so	so	linguistic	none	_	_	_	_	_	_
9-18	TOI017	9	di	di	linguistic	none	_	_	_	_	_	_
9-19	TOI017	9	preciso.	preciso	linguistic	none	Intonation=Falling	End=24.08	_	_	_	_
10-0	TOR004	10	ah	ah	linguistic	none	_	Begin=24.31|End=24.673	_	_	_	_
11-0	TOI017	11	perché	perché	linguistic	none	_	Begin=24.696	_	_	_	_
11-1	TOI017	11	han	han	linguistic	none	_	_	_	_	_	_
11-2	TOI017	11	sempre	sempre	linguistic	none	_	_	_	_	_	_
11-3	TOI017	11	costruito	costruito	linguistic	none	_	_	_	_	_	_
11-4	TOI017	11	eh	eh	linguistic	none	_	_	_	_	_	_
11-5	TOI017	11	difatti	difatti	linguistic	none	_	_	_	_	_	_
11-6	TOI017	11	tante	tante	linguistic	none	_	_	_	_	_	_
11-7	TOI017	11	strade	strade	linguistic	none	_	_	_	_	_	_
11-8	TOI017	11	nuove	nuove	linguistic	none	_	_	_	_	_	_
11-9	TOI017	11	non	non	linguistic	none	_	_	_	_	_	_
11-10	TOI017	11	li	li	linguistic	none	_	_	_	_	_	_
11-11	TOI017	11	so,	so	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
11-12	TOI017	11	non	non	linguistic	none	_	_	_	_	_	_
11-13	TOI017	11	l(i)	li	linguistic	none	_	_	_	_	1-2(0)	_
11-14	TOI017	11	conosco,	conosco	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
11-15	TOI017	11	vado	vado	linguistic	none	_	_	_	_	_	_
11-16	TOI017	11	tutti	tutti	linguistic	none	_	_	_	_	_	_
11-17	TOI017	11	gli	gli	linguistic	none	_	_	_	_	_	_
11-18	TOI017	11	anni.	anni	linguistic	none	Intonation=Falling	End=30.97	_	_	_	_
12-0	TOI017	12	però::	però	linguistic	none	_	Begin=31.628	3x2	_	_	_
12-1	TOI017	12	so	so	linguistic	none	_	_	_	_	_	_
12-2	TOI017	12	solo	solo	linguistic	none	_	_	_	_	_	_
12-3	TOI017	12	quelle	quelle	linguistic	none	_	_	_	_	_	_
12-4	TOI017	12	dove	dove	linguistic	none	_	_	_	_	_	_
12-5	TOI017	12	ho	ho	linguistic	none	_	_	_	_	_	_
12-6	TOI017	12	praticato	praticato	linguistic	none	_	_	_	_	_	_
12-7	TOI017	12	quando	quando	linguistic	none	_	_	_	_	_	_
12-8	TOI017	12	ero	ero	linguistic	none	_	_	_	_	_	_
12-9	TOI017	12	prima	prima	linguistic	none	_	_	_	_	_	_
12-10	TOI017	12	di:::	di	linguistic	none	_	End=37.64	1x3	_	_	_
13-0	TOI017	13	di	di	linguistic	none	_	Begin=38.3	_	_	_	_
13-1	TOI017	13	venire	venire	linguistic	none	_	_	_	_	_	_
13-2	TOI017	13	a	a	linguistic	none	_	_	_	_	_	_
13-3	TOI017	13	torino.	torino	linguistic	none	Intonation=Falling	End=39.3	_	_	_	_
14-0	TOI017	14	e	e	linguistic	none	_	Begin=40.229	_	_	_	_
14-1	TOI017	14	anzi	anzi	linguistic	none	_	_	_	_	_	_
14-2	TOI017	14	prima	prima	linguistic	none	_	_	_	_	_	_
14-3	TOI017	14	del	del	linguistic	none	_	_	_	_	_	_
14-4	TOI017	14	militare:	militare	linguistic	none	_	_	7x1	_	_	_
14-5	TOI017	14	perché	perché	linguistic	none	_	_	_	_	_	_
14-6	TOI017	14	quando	quando	linguistic	none	_	_	_	_	_	_
14-7	TOI017	14	ero	ero	linguistic	none	_	_	_	_	_	_
14-8	TOI017	14	a	a	linguistic	none	_	_	_	_	_	_
14-9	TOI017	14	militare	militare	linguistic	none	_	_	_	_	_	_
14-10	TOI017	14	e:::h	eh	linguistic	none	_	End=45.62	0x3	_	_	_
15-0	TOI017	15	e	e	linguistic	none	_	Begin=46.41	_	_	_	_
15-1	TOI017	15	son	son	linguistic	none	_	_	_	_	_	_
15-2	TOI017	15	partito	partito	linguistic	none	_	_	_	_	_	_
15-3	TOI017	15	da	da	linguistic	none	_	_	_	_	_	_
15-4	TOI017	15	lucera,	lucera	linguistic	none	Intonation=WeaklyRising	End=48.26	_	_	_	_
16-0	TOI017	16	chiudi	chiudi	linguistic	none	_	Begin=50.698	_	_	_	_
16-1	TOI017	16	un	un	linguistic	none	_	_	_	_	_	_
16-2	TOI017	16	po'	po'	linguistic	none	_	End=51.28	_	_	_	_
17-0	TOI017	17	xxx	x	unknown	none	_	Begin=52.54	_	_	_	_
17-1	TOI017	17	a	a	linguistic	none	_	_	_	_	_	_
17-2	TOI017	17	militare	militare	linguistic	none	_	_	_	_	_	_
17-3	TOI017	17	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
17-4	TOI017	17	che	che	linguistic	none	_	_	_	_	_	_
17-5	TOI017	17	che	che	linguistic	none	_	_	_	_	_	_
17-6	TOI017	17	anno	anno	linguistic	none	_	_	_	_	_	_
17-7	TOI017	17	era?	era	linguistic	none	Intonation=Rising	End=55.39	_	_	_	_
18-0	TOR004	18	più	più	linguistic	none	_	Begin=57.105	_	_	_	_
18-1	TOR004	18	o	o	linguistic	none	_	_	_	_	_	_
18-2	TOR004	18	meno	meno	linguistic	none	_	_	_	_	_	_
18-3	TOR004	18	in	in	linguistic	none	_	_	_	_	_	_
18-4	TOR004	18	che	che	linguistic	none	_	_	_	_	_	_
18-5	TOR004	18	anno	anno	linguistic	none	_	_	_	_	_	_
18-6	TOR004	18	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
18-7	TOR004	18	hai	hai	linguistic	none	_	_	_	_	_	_
18-8	TOR004	18	fatto?	fatto	linguistic	none	Intonation=Rising	_	_	_	_	_
18-9	TOR004	18	che	che	linguistic	none	_	_	_	_	_	_
18-10	TOR004	18	anni	anni	linguistic	none	_	_	_	_	_	_
18-11	TOR004	18	erano?	erano	linguistic	none	Intonation=Rising	End=59.18	_	_	_	_
19-0	TOI017	19	e::::h	eh	linguistic	none	_	Begin=59.46	0x4	_	_	_
19-1	TOI017	19	aspetta	aspetta	linguistic	none	_	End=60.79	_	_	_	_
20-0	TOI018	20	quarantanove	quarantanove	linguistic	none	_	Begin=60.79	_	_	_	_
20-1	TOI018	20	mi	mi	linguistic	none	_	_	_	_	_	_
20-2	TOI018	20	sembra	sembra	linguistic	none	_	End=62.791	_	_	_	_
21-0	TOR004	21	eh	eh	linguistic	none	_	Begin=63.17	_	_	_	_
21-1	TOR004	21	allora	allora	linguistic	none	_	_	_	_	_	_
21-2	TOR004	21	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
21-3	TOR004	21	tu	tu	linguistic	none	_	_	_	_	_	_
21-4	TOR004	21	sei	sei	linguistic	none	_	_	_	_	_	_
21-5	TOR004	21	del	del	linguistic	none	_	_	_	_	_	_
21-6	TOR004	21	[ventinove],	ventinove	linguistic	none	Intonation=WeaklyRising	End=65.17	_	_	_	0-9(2)
22-0	TOI017	22	[il	il	linguistic	none	_	Begin=64.465	_	_	_	0-2(2)
22-1	TOI017	22	quattordi~]	quattordi~	linguistic	none	Interrupted=Yes	_	_	_	_	0-10(2)
22-2	TOI017	22	quattordici	quattordici	linguistic	none	_	_	_	_	_	_
22-3	TOI017	22	dicembre	dicembre	linguistic	none	_	_	_	_	_	_
22-4	TOI017	22	del	del	linguistic	none	_	_	_	_	_	_
22-5	TOI017	22	quarantanove	quarantanove	linguistic	none	_	End=68.6	_	_	_	_
23-0	TOI018	23	eh.	eh	linguistic	none	Intonation=Falling	Begin=68.6|End=69.03	_	_	_	_
24-0	TOR004	24	ah.	ah	linguistic	none	Intonation=Falling	Begin=69.03|End=69.44	_	_	_	_
25-0	TOI017	25	son	son	linguistic	none	_	Begin=69.441	_	_	_	_
25-1	TOI017	25	partito	partito	linguistic	none	_	_	_	_	_	_
25-2	TOI017	25	a	a	linguistic	none	_	_	_	_	_	_
25-3	TOI017	25	militare.	militare	linguistic	none	Intonation=Falling	End=71.323	_	_	_	_
26-0	TOR004	26	eh.	eh	linguistic	none	Intonation=Falling	Begin=71.323|End=71.59	_	_	_	_
27-0	TOI017	27	eh	eh	linguistic	none	_	Begin=71.83	_	_	_	_
27-1	TOI017	27	e::	e	linguistic	none	_	_	0x2	_	_	_
27-2	TOI017	27	il	il	linguistic	none	_	_	_	_	_	_
27-3	TOI017	27	primo	primo	linguistic	none	_	_	_	_	_	_
27-4	TOI017	27	acchito	acchito	linguistic	none	_	_	_	_	_	_
27-5	TOI017	27	mi	mi	linguistic	none	_	_	_	_	_	_
27-6	TOI017	27	mandarono	mandarono	linguistic	none	_	_	_	_	_	_
27-7	TOI017	27	a	a	linguistic	none	_	_	_	_	_	_
27-8	TOI017	27	casale	casale	linguistic	none	_	_	_	_	_	_
27-9	TOI017	27	monferrato.	monferrato	linguistic	none	Intonation=Falling	End=75.64	_	_	_	_
28-0	TOR004	28	ah.	ah	linguistic	none	Intonation=Falling	Begin=75.93|End=76.18	_	_	_	_
