token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR001	0	okay	okay	linguistic	none	_	Begin=0.602|End=1.298	_	_	_	_
1-0	TOR001	1	che	che	linguistic	none	_	Begin=1.806	_	_	_	_
1-1	TOR001	1	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
1-2	TOR001	1	fai?	fai	linguistic	none	Intonation=Rising	End=2.962	_	_	_	_
2-0	TOI007	2	freelance	freelance	linguistic	none	_	Begin=2.975	_	_	_	_
2-1	TOI007	2	>cioè<	cioè	linguistic	none	_	_	_	Fast=0-4	_	_
2-2	TOI007	2	libero	libero	linguistic	none	_	_	_	_	_	_
2-3	TOI007	2	professionista	professionista	linguistic	none	_	_	_	_	_	_
2-4	TOI007	2	e	e	linguistic	none	_	_	_	_	_	_
2-5	TOI007	2	informatico	informatico	linguistic	none	_	End=5.569	_	_	_	_
3-0	TOR001	3	okay	okay	linguistic	none	_	Begin=5.904|End=6.307	_	_	_	_
4-0	TOR001	4	in	in	linguistic	none	_	Begin=6.612	_	_	_	_
4-1	TOR001	4	cosa	cosa	linguistic	none	_	_	_	_	_	_
4-2	TOR001	4	consiste	consiste	linguistic	none	_	_	_	_	_	_
4-3	TOR001	4	il	il	linguistic	none	_	_	_	_	_	_
4-4	TOR001	4	tuo	tuo	linguistic	none	_	_	_	_	_	_
4-5	TOR001	4	lavoro?	lavoro	linguistic	none	Intonation=Rising	End=7.935	_	_	_	_
5-0	TOI007	5	consiste	consiste	linguistic	none	_	Begin=7.935	_	_	_	_
5-1	TOI007	5	nel:::	nel	linguistic	none	_	End=9.21	2x3	_	_	_
6-0	TOI007	6	programmare::	programmare	linguistic	none	_	Begin=9.229	10x2	_	_	_
6-1	TOI007	6	siti:::	siti	linguistic	none	_	End=11.76	3x3	_	_	_
7-0	TOI007	7	web,	web	linguistic	none	Intonation=WeaklyRising	Begin=11.777	_	_	_	_
7-1	TOI007	7	applicazioni::	applicazioni	linguistic	none	_	End=13.115	11x2	_	_	_
8-0	TOR001	8	mh	mh	linguistic	none	_	Begin=13.117	_	_	_	_
8-1	TOR001	8	mh	mh	linguistic	none	_	End=13.41	_	_	_	_
9-0	TOI007	9	portali	portali	linguistic	none	_	Begin=13.413	_	_	_	_
