token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR001	0	xxx	x	unknown	none	_	Begin=0.02	_	_	_	_
0-1	TOR001	0	questo	questo	linguistic	none	_	_	_	_	_	_
0-2	TOR001	0	coso	coso	linguistic	none	_	End=1.13	_	_	_	_
1-0	TOI048	1	oddio	oddio	linguistic	none	_	Begin=1.19	_	_	_	_
1-1	TOI048	1	poi	poi	linguistic	none	_	_	_	_	_	_
1-2	TOI048	1	sarebbe	sarebbe	linguistic	none	_	_	_	_	_	_
1-3	TOI048	1	terribile.	terribile	linguistic	none	Intonation=Falling	End=2.95	_	_	_	_
2-0	TOR001	2	esatto	esatto	linguistic	none	_	Begin=3.015|End=3.562	_	_	_	_
3-0	TOI048	3	((ride))	((ride))	nonverbalbehavior	none	_	Begin=3.67|End=6.32	_	_	_	_
4-0	TOR001	4	((ride))	((ride))	nonverbalbehavior	none	_	Begin=3.67|End=6.32	_	_	_	_
5-0	TOR001	5	okay:	okay	linguistic	none	_	Begin=6.774	3x1	_	_	_
5-1	TOR001	5	in	in	linguistic	none	_	_	_	_	_	_
5-2	TOR001	5	che	che	linguistic	none	_	_	_	_	_	_
5-3	TOR001	5	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
5-4	TOR001	5	di	di	linguistic	none	_	_	_	_	_	_
5-5	TOR001	5	torino	torino	linguistic	none	_	_	_	_	_	_
5-6	TOR001	5	vivi?	vivi	linguistic	none	Intonation=Rising	End=9.07	_	_	_	_
6-0	TOI048	6	quartiere	quartiere	linguistic	none	_	Begin=9.794	_	_	_	_
6-1	TOI048	6	aurora	aurora	linguistic	none	_	End=10.75	_	_	_	_
7-0	TOR001	7	okay:	okay	linguistic	none	_	Begin=10.76	3x1	_	_	_
7-1	TOR001	7	e	e	linguistic	none	_	_	_	_	_	_
7-2	TOR001	7	come	come	linguistic	none	_	_	_	_	_	_
7-3	TOR001	7	ti	ti	linguistic	none	_	_	_	_	_	_
7-4	TOR001	7	trovi?	trovi	linguistic	none	Intonation=Rising	End=12.482	_	_	_	_
8-0	TOR001	8	in	in	linguistic	none	_	Begin=13.31	_	_	_	_
