english,italian
it is big,è grosso / è grande
is it big?,è grosso? / è grande?
you have a car (familiar),hai una macchina
do you have a car (familiar)?,hai una macchina?
the train is at the station,il treno è in stazione
is the train at the station?,il treno è in stazione? / in stazione il treno?
you understand (polite),capisce
do you understand (polite)?,capisce?
it is too big,è troppo grande
is it too big?,è troppo grande?
there is,c'è
is there?,c'è?
it is far from here,è lontano da qui
is it far from here?,è lontano da qui?
you want (polite),vuole
do you want (polite)?,vuole?
it is,è
is it?,è?
what is it?,che cos'è? / cos'è?
there is a room with a bathroom,c'è una camera con bagno
is there a room with a bathroom?,c'è una camera con bagno?
