english,italian
to / at,a
from,da
of,di
with,con
without,senza
for / intended for,per
by,da / presso 
per,per
on / over,su / sopra
on top of,in cima a
under / below,sotto
in / into,in
inside,dentro
within,entro
outside,fuori
in front of / ahead of,davanti a
in back of / behind,dietro a
before,prima di
after,dopo di
near to / next to,vicino a
far from,lontano da
beside,accanto a
around,intorno a
against,contro
between,tra / fra
during,durante
since / ever since,da / fin da
in the middle of,nel mezzo di / in mezzo a
through / across,attraverso
across from / on the other side of,del l'altro lato di
at the house of,alla casa di
