english,italian
big / tall / great,grande
big / thick / heavy,grosso / grossa
small,piccolo / piccola
good / good-hearted,buono / buona
good / talented,bravo / brava
well,bene
not good,non buono
bad,cattivo / cattiva
badly,male
much / a lot of,molto / molta
very,molto
enough,abbastanza
hot / warm,caldo / calda
cold,freddo / fredda
ahead of schedule,in anticipo
behind schedule / delayed,il ritardo
early,presto
late,tardi
easy,facile
difficult,difficile
beautiful,bello / bella
few,pochi
a few,alcuni
many,molti
more,più / di più
less,meno
almost / nearly,quasi
about / approximately,circa
important,importante
same,medesimo / stesso
similar,simile
opposite,opposto / opposta
different,diverso / diversa
up / upstairs,su
down / downstairs,giù
fast,rapido / veloce
slow,lento / lenta
slower,più lento
slowest,il più lento / la più lenta
slowly,lentamente
quickly,rapidamente
near,vicino / vicina
nearer,più vicino
nearest,il più vicino / la più vicina
only,soltanto / solo
alone,solo / sola
already,già
now,adesso
right away,subito
soon,presto
ready,pronto / pronta
spanish,spagnolo
english,inglese
American,americano / americana
British,britannico / britannica
Italian,italiano / italiana
tall / high,alto / alta
short / low,basso / bassa
