english,italian,english_base_word,is_base
twenty,venti,twenty,true
twenty one,ventuno,twenty one,true
twenty two,ventidue,twenty two,true
twenty three,ventitre,twenty three,true
twenty four,ventiquattro,twenty four,true
twenty five,venticinque,twenty five,true
twenty six,ventisei,twenty six,true
twenty seven,ventisette,twenty seven,true
twenty eight,ventotto,twenty eight,true
twenty nine,ventinove,twenty nine,true
thirty,trenta,thirty,true
thirty one,trentuno,thirty one,true
thirty two,trentadue,thirty two,true
thirty three,trentatre,thirty three,true
forty,quaranta,forty,true
forty one,quarantuno,forty one,true
forty two,quarantadue,forty two,true
fifty,cinquanta,fifty,true
sixty,sessanta,sixty,true
seventy,settanta,seventy,true
eighty,ottanta,eighty,true
ninety,novanta,ninety,true
one hundred,cento,one hundred,true
