gram2_key	count	substr	term_1	term_2	lemma_1	lemma_2	pos_1	pos_2	translation_en
('qualche_qualche_DET', 'parte_parte_NOUN')	44	qualche parte	qualche	parte	qualche	parte	DET	NOUN	
('ha_avere_AUX', 'deciso_decidere_VERB')	44	ha deciso	ha	deciso	avere	decidere	AUX	VERB	
('lo_lo_PRON', 'sta_stare_AUX')	44	lo sta	lo	sta	lo	stare	PRON	AUX	
('posso_potere_AUX', 'fare_fare_VERB')	44	posso fare	posso	fare	potere	fare	AUX	VERB	
('quello_quello_PRON', 'è_essere_AUX')	44	quello è	quello	è	quello	essere	PRON	AUX	
('cominciò_cominciare_VERB', 'a_a_ADP')	44	cominciò a	cominciò	a	cominciare	a	VERB	ADP	
('il_il_DET', 'pianoforte_pianoforte_NOUN')	44	il pianoforte	il	pianoforte	il	pianoforte	DET	NOUN	
('mai_mai_ADV', 'stata_essere_AUX')	44	mai stata	mai	stata	mai	essere	ADV	AUX	
('quando_quando_SCONJ', 'è_essere_AUX')	44	quando è	quando	è	quando	essere	SCONJ	AUX	
"(""l'_il_DET"", 'automobile_automobile_NOUN')"	44	l'automobile	l'	automobile	il	automobile	DET	NOUN	
('è_essere_AUX', 'per_per_ADP')	44	è per	è	per	essere	per	AUX	ADP	
('ho_avere_AUX', 'avuto_avere_VERB')	44	ho avuto	ho	avuto	avere	avere	AUX	VERB	
('di_di_ADP', 'aiuto_aiuto_NOUN')	44	di aiuto	di	aiuto	di	aiuto	ADP	NOUN	
('per_per_ADP', 'niente_niente_PRON')	44	per niente	per	niente	per	niente	ADP	PRON	
('una_uno_DET', 'grande_grande_ADJ')	44	una grande	una	grande	uno	grande	DET	ADJ	
('di_di_ADP', 'cosa_cosa_PRON')	44	di cosa	di	cosa	di	cosa	ADP	PRON	
('il_il_DET', 'film_film_NOUN')	44	il film	il	film	il	film	DET	NOUN	
"(""un'_uno_DET"", 'insegnante_insegnante_NOUN')"	44	un'insegnante	un'	insegnante	uno	insegnante	DET	NOUN	
('al_a_ADP', 'parco_parco_NOUN')	44	al parco	al	parco	a	parco	ADP	NOUN	
('mi_mi_PRON', 'chiese_chiedere_VERB')	44	mi chiese	mi	chiese	mi	chiedere	PRON	VERB	
('mi_mi_PRON', 'dica_dire_VERB')	44	mi dica	mi	dica	mi	dire	PRON	VERB	
('sua_suo_DET', 'vita_vita_NOUN')	44	sua vita	sua	vita	suo	vita	DET	NOUN	
('per_per_ADP', 'una_uno_DET')	44	per una	per	una	per	uno	ADP	DET	
('probabilmente_probabilmente_ADV', 'non_non_ADV')	44	probabilmente non	probabilmente	non	probabilmente	non	ADV	ADV	
('io_io_PRON', 'sia_essere_AUX')	44	io sia	io	sia	io	essere	PRON	AUX	
('smesso_smettere_VERB', 'di_di_ADP')	44	smesso di	smesso	di	smettere	di	VERB	ADP	
('mia_mio_DET', 'famiglia_famiglia_NOUN')	44	mia famiglia	mia	famiglia	mio	famiglia	DET	NOUN	
('hai_avere_VERB', 'bisogno_bisogno_NOUN')	44	hai bisogno	hai	bisogno	avere	bisogno	VERB	NOUN	
('anno_anno_NOUN', 'scorso_scorso_ADJ')	44	anno scorso	anno	scorso	anno	scorso	NOUN	ADJ	
('la_il_DET', 'ragione_ragione_NOUN')	44	la ragione	la	ragione	il	ragione	DET	NOUN	
('stato_essere_AUX', 'a_a_ADP')	44		stato	a	essere	a	AUX	ADP	
('del_di_ADP', 'mondo_mondo_NOUN')	44	del mondo	del	mondo	di	mondo	ADP	NOUN	
('disse_dire_VERB', 'di_di_ADP')	44	di	disse	di	dire	di	VERB	ADP	
('padre_padre_NOUN', 'è_essere_AUX')	43	padre è	padre	è	padre	essere	NOUN	AUX	
('dei_di_ADP', 'cani_cane_NOUN')	43	dei cani	dei	cani	di	cane	ADP	NOUN	
('una_uno_DET', 'città_città_NOUN')	43	una città	una	città	uno	città	DET	NOUN	
"(""l'_il_DET"", 'autobus_autobus_NOUN')"	43	l'autobus	l'	autobus	il	autobus	DET	NOUN	
('devo_dovere_AUX', 'andare_andare_VERB')	43	devo andare	devo	andare	dovere	andare	AUX	VERB	
('dove_dove_ADV', 'li_li_PRON')	43	dove li	dove	li	dove	li	ADV	PRON	
('ai_a_ADP', 'suoi_suo_DET')	43	ai suoi	ai	suoi	a	suo	ADP	DET	
('uno_uno_PRON', 'dei_di_ADP')	43	uno dei	uno	dei	uno	di	PRON	ADP	
('di_di_ADP', 'soldi_soldo_NOUN')	43	di soldi	di	soldi	di	soldo	ADP	NOUN	
('fiero_fiero_ADJ', 'di_di_ADP')	43	fiero di	fiero	di	fiero	di	ADJ	ADP	
('perché_perché_ADV', 'mi_mi_PRON')	43	perché mi	perché	mi	perché	mi	ADV	PRON	
