term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
avere,True,avere,verb,to have,"possession,relationships",,,,,non-finite,infinitive,False,False,False,,,,,base lemma,Voglio avere tempo.,I want to have time.
avendo,False,avere,verb,having,"possession,relationships",,,,,non-finite,gerund,False,False,False,,,,,,Sto avendo problemi.,I am having problems.
avute,False,avere,verb,having had (feminine plural),"possession,relationships",,,feminine,plural,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,Le ho avute.,I have had them.
avuta,False,avere,verb,having had (feminine singular),"possession,relationships",,,feminine,singular,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,L'ho avuta ieri.,I had it yesterday.
avuti,False,avere,verb,having had (masculine plural),"possession,relationships",,,masculine,plural,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,Li ho avuti.,I have had them.
avuto,False,avere,verb,having had (masculine singular),"possession,relationships",,,masculine,singular,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,Ho avuto pazienza.,I have had patience.
ho,False,avere,verb,I have,"possession,relationships",,1s,,singular,indicative,present,False,False,False,,,,,,Io ho due libri.,I have two books.
hai,False,avere,verb,you have,"possession,relationships",,2s,,singular,indicative,present,False,False,False,,,,,,Tu hai tempo.,You have time.
ha,False,avere,verb,he/she/it has,"possession,relationships",,3s,,singular,indicative,present,False,False,False,,,,,also 'you (formal)',Ha una macchina.,He has a car.
abbiamo,False,avere,verb,we have,"possession,relationships",,1p,,plural,indicative,present,False,False,False,,,,,,Noi abbiamo idee.,We have ideas.
avete,False,avere,verb,you (plural) have,"possession,relationships",,2p,,plural,indicative,present,False,False,False,,,,,,Voi avete domande.,You (plural) have questions.
hanno,False,avere,verb,they have,"possession,relationships",,3p,,plural,indicative,present,False,False,False,,,,,,Loro hanno amici.,They have friends.
avevo,False,avere,verb,I had,"possession,relationships",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io avevo fame.,I was hungry.
avevi,False,avere,verb,you had,"possession,relationships",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu avevi tempo.,You had time.
aveva,False,avere,verb,he/she/it had,"possession,relationships",,3s,,singular,indicative,imperfect,False,False,False,,,,,also 'you (formal)',Aveva un sogno.,He had a dream.
avevamo,False,avere,verb,we had,"possession,relationships",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi avevamo dubbi.,We had doubts.
avevate,False,avere,verb,you (plural) had,"possession,relationships",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi avevate compiti.,You (plural) had homework.
avevano,False,avere,verb,they had,"possession,relationships",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Avevano paura.,They were afraid.
ho avuto,False,avere,verb,I had / I have had,"possession,relationships",,1s,,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; no agreement with subject,Ho avuto tempo.,I had time.
hai avuto,False,avere,verb,you had / you have had,"possession,relationships",,2s,,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; no agreement with subject,Hai avuto fortuna.,You had luck.
ha avuto,False,avere,verb,he/she/it had / he/she/it has had,"possession,relationships",,3s,,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; no agreement with subject; also 'you (formal)',Ha avuto problemi.,He has had problems.
abbiamo avuto,False,avere,verb,we had / we have had,"possession,relationships",,1p,,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; no agreement with subject,Abbiamo avuto idee.,We have had ideas.
avete avuto,False,avere,verb,you (plural) had / you (plural) have had,"possession,relationships",,2p,,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; no agreement with subject,Avete avuto tempo.,You (plural) have had time.
hanno avuto,False,avere,verb,they had / they have had,"possession,relationships",,3p,,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; no agreement with subject,Hanno avuto aiuto.,They have had help.
