term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
conoscere,True,conoscere,verb,to know (be acquainted with),"knowledge,relationships",,,,,non-finite,infinitive,False,False,False,,,,,base lemma,Voglio conoscere nuove persone.,I want to meet new people.
conoscendo,False,conoscere,verb,knowing,"knowledge,relationships",,,,,non-finite,gerund,False,False,False,,,,,,Sto conoscendo meglio la città.,I am getting to know the city better.
conosciuto,False,conoscere,verb,known (masculine singular),"knowledge,relationships",,,masculine,singular,non-finite,participle,False,False,False,,,,,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,È un autore conosciuto.,He/She is a well-known author.
conosciuta,False,conoscere,verb,known (feminine singular),"knowledge,relationships",,,feminine,singular,non-finite,participle,False,False,False,,,,,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,È una canzone conosciuta.,It is a well-known song.
conosciuti,False,conoscere,verb,known (masculine plural),"knowledge,relationships",,,masculine,plural,non-finite,participle,False,False,False,,,,,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,Sono attori conosciuti.,They are well-known actors.
conosciute,False,conoscere,verb,known (feminine plural),"knowledge,relationships",,,feminine,plural,non-finite,participle,False,False,False,,,,,past participle; used with auxiliary 'avere' to form compound tenses; also used adjectivally,Sono artiste conosciute.,They are well-known artists.
conosco,False,conoscere,verb,I know (am acquainted with),"knowledge,relationships",,1s,,singular,indicative,present,False,False,False,,,,,,Io conosco Marco.,I know Marco.
conosci,False,conoscere,verb,you know (singular),"knowledge,relationships",,2s,,singular,indicative,present,False,False,False,,,,,,Tu conosci questa strada.,You know this road.
conosce,False,conoscere,verb,he/she/it knows,"knowledge,relationships",,3s,,singular,indicative,present,False,False,False,,,,,also 'you (formal)',Lei conosce la verità.,She knows the truth.
conosciamo,False,conoscere,verb,we know,"knowledge,relationships",,1p,,plural,indicative,present,False,False,False,,,,,,Noi conosciamo la risposta.,We know the answer.
conoscete,False,conoscere,verb,you (plural) know,"knowledge,relationships",,2p,,plural,indicative,present,False,False,False,,,,,,Voi conoscete la città?,Do you (plural) know the city?
conoscono,False,conoscere,verb,they know,"knowledge,relationships",,3p,,plural,indicative,present,False,False,False,,,,,,Loro conoscono il professore.,They know the professor.
conoscevo,False,conoscere,verb,I knew / I used to know,"knowledge,relationships",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io conoscevo già quella canzone.,I already knew that song.
conoscevi,False,conoscere,verb,you knew,"knowledge,relationships",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu conoscevi i dettagli.,You knew the details.
conosceva,False,conoscere,verb,he/she/it knew,"knowledge,relationships",,3s,,singular,indicative,imperfect,False,False,False,,,,,also 'you knew (formal)',Lui conosceva la storia.,He knew the story.
conoscevamo,False,conoscere,verb,we knew,"knowledge,relationships",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi conoscevamo molti luoghi.,We knew many places.
conoscevate,False,conoscere,verb,you (plural) knew,"knowledge,relationships",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi conoscevate quella famiglia.,You (plural) knew that family.
conoscevano,False,conoscere,verb,they knew,"knowledge,relationships",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro conoscevano la situazione.,They knew the situation.
ho conosciuto,False,conoscere,verb,I have known / I met,"knowledge,relationships",,1s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Io ho conosciuto molti colleghi.,I have met many colleagues.
ho conosciuto,False,conoscere,verb,I have known / I met,"knowledge,relationships",,1s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Io ho conosciuto molte colleghe.,I have met many (female) colleagues.
hai conosciuto,False,conoscere,verb,you have known / you met,"knowledge,relationships",,2s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Hai conosciuto Marco?,Have you met Marco?
hai conosciuto,False,conoscere,verb,you have known / you met,"knowledge,relationships",,2s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Hai conosciuto Maria?,Have you met Maria?
ha conosciuto,False,conoscere,verb,he/she/it has known,"knowledge,relationships",,3s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject; also 'you (formal)',Lui ha conosciuto la verità.,He has discovered/learned the truth.
ha conosciuto,False,conoscere,verb,she/you (formal) has known,"knowledge,relationships",,3s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject; also 'you (formal)',Lei ha conosciuto il dottore.,She/You (formal) have met the doctor.
abbiamo conosciuto,False,conoscere,verb,we have known / we met,"knowledge,relationships",,1p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Noi abbiamo conosciuto molti posti.,We have visited/met many places.
abbiamo conosciuto,False,conoscere,verb,we have known / we met,"knowledge,relationships",,1p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Noi abbiamo conosciuto molte persone.,We have met many people.
avete conosciuto,False,conoscere,verb,you (plural) have known / you met,"knowledge,relationships",,2p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Voi avete conosciuto gli attori?,Have you (plural) met the actors?
avete conosciuto,False,conoscere,verb,you (plural) have known / you met,"knowledge,relationships",,2p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Voi avete conosciuto le musiciste?,Have you (plural) met the (female) musicians?
hanno conosciuto,False,conoscere,verb,they have known / they met,"knowledge,relationships",,3p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Loro hanno conosciuto molti colleghi.,They have met many colleagues.
hanno conosciuto,False,conoscere,verb,they have known / they met,"knowledge,relationships",,3p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,uses auxiliary 'avere'; past participle normally does not agree with subject,Loro hanno conosciuto molte colleghe.,They have met many (female) colleagues.
