term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
subire,True,subire,verb,to undergo; to suffer,"verbs,core",,,,,non-finite,infinitive,False,False,False,,,,,regular -ire verb,Devo subire l'intervento.,I must undergo the operation.
subendo,False,subire,verb,undergoing,"verbs,core",,,,,gerund,present,False,False,False,,,,,,Sto subendo molte critiche.,I am undergoing a lot of criticism.
subito,False,subire,verb,undergone; suffered,"verbs,core",,,masculine,singular,participle,past,False,False,False,,,,,past participle,Ha subito un danno.,He has suffered a damage.
subita,False,subire,verb,undergone; suffered,"verbs,core",,,feminine,singular,participle,past,False,False,False,,,,,past participle,È una ferita subita durante la guerra.,It's a wound suffered during the war.
subiti,False,subire,verb,undergone; suffered,"verbs,core",,,masculine,plural,participle,past,False,False,False,,,,,past participle,I danni subiti sono evidenti.,The damages suffered are evident.
subite,False,subire,verb,undergone; suffered,"verbs,core",,,feminine,plural,participle,past,False,False,False,,,,,past participle,Le perdite subite sono gravi.,The losses suffered are serious.
io subisco,False,subire,verb,I suffer,"verbs,core",,1s,,singular,indicative,present,False,False,False,,,,,,Io subisco spesso lo stress.,I often suffer stress.
tu subisci,False,subire,verb,you suffer (sing.),"verbs,core",,2s,,singular,indicative,present,False,False,False,,,,,,Tu subisci troppo spesso.,You suffer too often.
lui subisce,False,subire,verb,he suffers,"verbs,core",,3s,,singular,indicative,present,False,False,False,,,,,,Lui subisce le conseguenze.,He suffers the consequences.
noi subiamo,False,subire,verb,we undergo,"verbs,core",,1p,,plural,indicative,present,False,False,False,,,,,,Noi subiamo il cambiamento.,We undergo the change.
voi subite,False,subire,verb,you suffer (pl.),"verbs,core",,2p,,plural,indicative,present,False,False,False,,,,,,Voi subite molte pressioni.,You (pl) suffer a lot of pressure.
loro subiscono,False,subire,verb,they suffer,"verbs,core",,3p,,plural,indicative,present,False,False,False,,,,,,Loro subiscono una perdita.,They suffer a loss.
io subivo,False,subire,verb,I used to suffer,"verbs,core",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Da giovane io subivo spesso critiche.,When I was young I often suffered criticism.
tu subivi,False,subire,verb,you used to suffer,"verbs,core",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu subivi ingiustizie.,You suffered injustices.
lui subiva,False,subire,verb,he used to suffer,"verbs,core",,3s,,singular,indicative,imperfect,False,False,False,,,,,,Lui subiva le offese in silenzio.,He used to endure insults in silence.
noi subivamo,False,subire,verb,we were undergoing,"verbs,core",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi subivamo cambiamenti continui.,We were undergoing continuous changes.
voi subivate,False,subire,verb,you were suffering (pl.),"verbs,core",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi subivate le conseguenze.,You (pl) were suffering the consequences.
loro subivano,False,subire,verb,they were suffering,"verbs,core",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro subivano disagi.,They were suffering hardships.
ho subito,False,subire,verb,I have suffered,"verbs,core",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Ho subito un furto.,I have suffered a theft.
hai subito,False,subire,verb,you have suffered,"verbs,core",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Hai subito un cambiamento.,You have undergone a change.
ha subito,False,subire,verb,he/she has suffered,"verbs,core",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Ha subito un intervento.,He/She has undergone an operation.
abbiamo subito,False,subire,verb,we have suffered,"verbs,core",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Abbiamo subito dei ritardi.,We have suffered delays.
avete subito,False,subire,verb,you have suffered (pl.),"verbs,core",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Avete subito una perdita.,You (pl) have suffered a loss.
hanno subito,False,subire,verb,they have suffered,"verbs,core",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere,Hanno subito danni.,They have suffered damages.
