english,italian
I speak Italian,io parlo Italiano / parlo Italiano
I do not speak Spanish,non parlo Spagnolo
do you speak Italian,parla Italiano?
a little,un poco / un po
from here to there,da qui a li
at the station,alla stazione
on the platform,su marciapiede
in the train,in treno
I am studying / I study,io studio
I am going / I go,vado
stop here (polite),fermi qui
stop (familiar),ferma
no problem / there is no problem,no c'e problema
I can / I am able to,posso
can I? / May I?,posso?
may I have,posso avere?
to call,chiamare
my name is / myself I call,mi chiamo
from which country?,di quale paese?
from what country do you come (polite)?,da che paese viene?
from where do you come?,da dove vieni?
where are you from (familiar)?,di dove sei?
I am,sono
I am tired,sono stanco / sono stanca
I come,vengo
I come from the United States,vengo dagli Stati Uniti
there is,c'e
there are,ci sono
here is / there is / here are / there are,ecco
I love,amo
I like,mi piace
do you like (familiar)?,ti piace?
do you like your gift?,ti piace il tuo regalo?
I am leaving,parto
excuse me (to pass),permesso
excuse me (to apologize),perdona mi / scusa
excuse me (to get attention) (polite),scusi
I have,ho
of course,certo
certainly,certamente
do you have (plural)?,avete?
do you have (plural) a menu in English?,avete un menu in Inglese?
how does one say?,come si dice?
watch out,attensione
be careful / stay attentive,stai attento / stai attenta
speak slowly please (familiar),parla lentamente per favore
repeat please (polite),ripeta per favore
