term_italian,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
addolorato,addolorato,saddened,adj,saddened (masculine),"emotion,description",,,m,s,,,False,False,False,,,,,also used as past participle,È un padre addolorato.,He is a saddened father.,3ed3882f8181bcd43c05c3cfb0a44a250fbb79c0c3ffc2bbd8d7bf6c24656e6b,e21725a4902ca963c491ca2331a47fe82396cb97a9b8592a7e300a93e3f1e35b
addolorata,addolorato,saddened,adj,saddened (feminine),"emotion,description",,,f,s,,,False,False,False,,,,,also used as past participle,È una madre addolorata.,She is a saddened mother.,97fd9966416b7528943a3721f32d0f21b0775e3cc875b9d2ad943e974da09b6d,8eca56c2311ca1e45066d4f74540f6266696fa8e55997b8b1ad5ceecade487f5
addolorati,addolorato,saddened,adj,saddened (masculine plural),"emotion,description",,,m,p,,,False,False,False,,,,,also used as past participle,Siamo addolorati per la notizia.,We are saddened by the news.,f96cbf1402dffc64cf12ce4cdb6170c8911c1c6b93ef17c28eea97d05c798f8d,0554bc1dcba415bbe08b8ff6c129c1eaa24261f2a0d0238afde2eafe9dd7c603
addolorate,addolorato,saddened,adj,saddened (feminine plural),"emotion,description",,,f,p,,,False,False,False,,,,,also used as past participle,Sono addolorate per l'accaduto.,They are saddened by what happened.,bd14fda9233fcdee95e0bdc01f512bfc9c7af3ca7be9a6d7aa7b3c9740dff4fb,e27f634ceba69546b9685fbb9f917963de42a18e5a1f5c8f45dd294eeaa132ca
adulto,adulto,adult,adj,adult (masculine),"people,age",,,m,s,,,False,False,False,,,,,variable adjective,Il pubblico adulto paga di più.,The adult audience pays more.,a3696111c8d49e389a2920e0f8ce9626d518e705aa3fdd506de156cbb095ca61,e573cec17fa75ce6096c18304156112537026eb32c1393cd216b15249c3729d9
adulta,adulto,adult,adj,adult (feminine),"people,age",,,f,s,,,False,False,False,,,,,,Una donna adulta decide da sola.,An adult woman decides on her own.,fbd4902e48f1ea6b99aa5e99467c3c4f619a4d861d858dcb72c0b5d9319e8913,088125d87442660796466a9050f82bda2964c233727417d02849014d7d7191d6
adulti,adulto,adult,adj,adult (masculine plural),"people,age",,,m,p,,,False,False,False,,,,,,I figli adulti vivono da soli.,The adult children live on their own.,96d419478cbf0f97e33d0176475773e0ec09a3f7bed48cc6013a99894800acc7,0de4f8e2c9fe53a521c8f4bc6dacd3747e79732d8ce05441b1942d99b197a0dd
adulte,adulto,adult,adj,adult (feminine plural),"people,age",,,f,p,,,False,False,False,,,,,,Le studentesse adulte lavorano la sera.,The adult students work in the evening.,ca081808f09a7bc4d72d19bc9980d7285f246e3941180d6b82d0553a1b5ec70e,03e18a016e93d6d21e0b8a6ffda14238302f5f271983bf8d37f559d062e9a772
aggiunto,aggiunto,added,adj,added (masculine),"quality,modification",,,m,s,,,False,False,False,,,,,from verb aggiungere,È un valore aggiunto.,It is an added value.,b5f89c17b6f41bad2d3cfd42d627b731950a9c74f6377931ac555eabd414df7a,80b4fade9777b24bed2b553ed96112fbe1899750b9047514a31dd93f6e960adf
aggiunta,aggiunto,added,adj,added (feminine),"quality,modification",,,f,s,,,False,False,False,,,,,from verb aggiungere,C'è una tassa aggiunta.,There is an added fee.,466464d7ed3924aec382f0fa0193f2a085096ff4da79125b58bb913c148aff89,595e72ba5df96240ad910108f734be0084d989497bd99583f9fa6e2c3d1ef544
