token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO055	0	hai	hai	linguistic	none	_	Begin=0.44	_	_	_	_
0-1	TO055	0	mai	mai	linguistic	none	_	_	_	_	_	_
0-2	TO055	0	fatto	fatto	linguistic	none	_	_	_	_	_	_
0-3	TO055	0	viaggi	viaggi	linguistic	none	_	_	_	_	_	_
0-4	TO055	0	che	che	linguistic	none	_	_	_	_	_	_
0-5	TO055	0	ti	ti	linguistic	none	_	_	_	_	_	_
0-6	TO055	0	hanno	hanno	linguistic	none	_	_	_	_	_	_
0-7	TO055	0	segnato	segnato	linguistic	none	_	_	_	_	_	_
0-8	TO055	0	in	in	linguistic	none	_	_	_	_	_	_
0-9	TO055	0	qualche	qualche	linguistic	none	_	_	_	_	_	_
0-10	TO055	0	modo?	modo	linguistic	none	Intonation=Rising	End=3.299	_	_	_	_
1-0	TO045	1	allora	allora	linguistic	none	_	Begin=4.54	_	_	_	_
1-1	TO045	1	sì.	sì	linguistic	none	Intonation=Falling	End=5.43	_	_	_	_
2-0	TO045	2	principalmente	principalmente	linguistic	none	_	Begin=5.61	_	_	_	_
2-1	TO045	2	due.	due	linguistic	none	Intonation=Falling	End=6.801	_	_	_	_
3-0	TO045	3	il	il	linguistic	none	_	Begin=7.81	_	_	_	_
3-1	TO045	3	primo,	primo	linguistic	none	Intonation=weakly_rising	End=8.501	_	_	_	_
4-0	TO045	4	in	in	linguistic	none	_	Begin=8.595	_	_	_	_
4-1	TO045	4	cina.	cina	linguistic	none	Intonation=Falling	End=9.454	_	_	_	_
5-0	TO045	5	e::h	eh	linguistic	none	_	Begin=9.864	0x2	_	_	_
5-1	TO045	5	il	il	linguistic	none	_	_	_	_	_	_
5-2	TO045	5	secondo	secondo	linguistic	none	_	_	_	_	_	_
5-3	TO045	5	in	in	linguistic	none	_	_	_	_	_	_
5-4	TO045	5	africa.	africa	linguistic	none	Intonation=Falling	End=12.511	_	_	_	_
6-0	TO045	6	e::h	eh	linguistic	none	_	Begin=13.617	0x2	_	_	_
6-1	TO045	6	sono	sono	linguistic	none	_	_	_	_	_	_
6-2	TO045	6	stati	stati	linguistic	none	_	_	_	_	_	_
6-3	TO045	6	due	due	linguistic	none	_	_	_	_	_	_
6-4	TO045	6	viaggi	viaggi	linguistic	none	_	_	_	_	_	_
6-5	TO045	6	completamente	completamente	linguistic	none	_	_	_	_	_	_
6-6	TO045	6	diversi,	diversi	linguistic	none	Intonation=weakly_rising	End=16.512	_	_	_	_
7-0	TO045	7	il	il	linguistic	none	_	Begin=16.664	_	_	_	_
7-1	TO045	7	primo	primo	linguistic	none	_	_	_	_	_	_
7-2	TO045	7	quello	quello	linguistic	none	_	_	_	_	_	_
7-3	TO045	7	in	in	linguistic	none	_	_	_	_	_	_
7-4	TO045	7	cina	cina	linguistic	none	_	_	_	_	_	_
7-5	TO045	7	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
7-6	TO045	7	ho	ho	linguistic	none	_	_	_	_	_	_
7-7	TO045	7	fatto	fatto	linguistic	none	_	_	_	_	_	_
7-8	TO045	7	quando	quando	linguistic	none	_	_	_	_	_	_
7-9	TO045	7	ero	ero	linguistic	none	_	_	_	_	_	_
7-10	TO045	7	più	più	linguistic	none	_	_	_	_	_	_
7-11	TO045	7	piccola	piccola	linguistic	none	_	_	_	_	_	_
7-12	TO045	7	che	che	linguistic	none	_	_	_	_	_	_
7-13	TO045	7	ero	ero	linguistic	none	_	_	_	_	_	_
7-14	TO045	7	ancora	ancora	linguistic	none	_	_	_	_	_	_
7-15	TO045	7	minorenne,	minorenne	linguistic	none	Intonation=weakly_rising	End=20.988	_	_	_	_
8-0	TO045	8	e::h	eh	linguistic	none	_	Begin=21.696	0x2	_	_	_
8-1	TO045	8	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
8-2	TO045	8	ho	ho	linguistic	none	_	_	_	_	_	_
8-3	TO045	8	fatto:	fatto	linguistic	none	_	_	4x1	_	_	_
8-4	TO045	8	è	è	linguistic	none	_	_	_	_	_	_
8-5	TO045	8	stata	stata	linguistic	none	_	_	_	_	_	_
8-6	TO045	8	un'	un'	linguistic	none	SpaceAfter=No	_	_	_	_	_
8-7	TO045	8	esperienza	esperienza	linguistic	none	_	_	_	_	_	_
8-8	TO045	8	più	più	linguistic	none	_	_	_	_	_	_
8-9	TO045	8	che	che	linguistic	none	_	_	_	_	_	_
8-10	TO045	8	altro	altro	linguistic	none	_	_	_	_	_	_
8-11	TO045	8	di:	di	linguistic	none	_	_	1x1	_	_	_
8-12	TO045	8	di	di	linguistic	none	_	_	_	_	_	_
8-13	TO045	8	lavoro,	lavoro	linguistic	none	Intonation=weakly_rising	End=26.766	_	_	_	_
9-0	TO045	9	e::h	eh	linguistic	none	_	Begin=28.061	0x2	_	_	_
9-1	TO045	9	sono	sono	linguistic	none	_	_	_	_	_	_
9-2	TO045	9	andata	andata	linguistic	none	_	_	_	_	_	_
9-3	TO045	9	con	con	linguistic	none	_	_	_	_	_	_
9-4	TO045	9	questa::	questa	linguistic	none	_	_	5x2	_	_	_
9-5	TO045	9	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
9-6	TO045	9	giulia	giulia	linguistic	none	_	_	_	_	_	_
9-7	TO045	9	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
9-8	TO045	9	tra	tra	linguistic	none	_	_	_	_	_	_
9-9	TO045	9	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
9-10	TO045	9	altro,	altro	linguistic	none	Intonation=weakly_rising	End=33.409	_	_	_	_
10-0	TO045	10	che::	che	linguistic	none	ProsodicLink=Yes	Begin=33.86	2x2	_	_	_
10-1	TO045	10	di	di	linguistic	none	_	_	_	_	_	_
10-2	TO045	10	torino	torino	linguistic	none	_	_	_	_	_	_
10-3	TO045	10	e	e	linguistic	none	_	_	_	_	_	_
10-4	TO045	10	che	che	linguistic	none	_	_	_	_	_	_
10-5	TO045	10	quindi	quindi	linguistic	none	_	_	_	_	_	_
10-6	TO045	10	mai	mai	linguistic	none	_	_	_	_	_	_
10-7	TO045	10	visto	visto	linguistic	none	_	_	_	_	_	_
