token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR004	0	vai	vai	linguistic	none	_	Begin=0.93	_	_	_	_
0-1	TOR004	0	puoi	puoi	linguistic	none	_	_	_	_	_	_
0-2	TOR004	0	cominciare	cominciare	linguistic	none	_	End=1.858	_	_	_	_
1-0	TOI019	1	da	da	linguistic	none	_	Begin=2.93	_	_	_	_
1-1	TOI019	1	dove	dove	linguistic	none	_	_	_	_	_	_
1-2	TOI019	1	comincio,	comincio	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
1-3	TOI019	1	dall'	dall'	linguistic	none	SpaceAfter=No	_	_	_	_	_
1-4	TOI019	1	inizio?	inizio	linguistic	none	Intonation=Rising	End=4.587	_	_	_	_
2-0	TOR004	2	sì.	sì	linguistic	none	Intonation=Falling	Begin=4.83|End=5.11	_	_	_	_
3-0	TOI019	3	ecco.	ecco	linguistic	none	Intonation=Falling	Begin=5.57|End=6.01	_	_	_	_
4-0	TOI019	4	mio	mio	linguistic	none	_	Begin=6.393	_	_	_	_
4-1	TOI019	4	cugino	cugino	linguistic	none	_	_	_	_	_	_
4-2	TOI019	4	che	che	linguistic	none	_	_	_	_	_	_
4-3	TOI019	4	m'	m'	linguistic	none	SpaceAfter=No	_	_	_	_	_
4-4	TOI019	4	accompagna	accompagna	linguistic	none	_	_	_	_	_	_
4-5	TOI019	4	perché	perché	linguistic	none	_	_	_	_	_	_
4-6	TOI019	4	non	non	linguistic	none	_	_	_	_	_	_
4-7	TOI019	4	ci	ci	linguistic	none	_	_	_	_	_	_
4-8	TOI019	4	sono	sono	linguistic	none	_	_	_	_	_	_
4-9	TOI019	4	tax(i)	taxi	linguistic	none	_	End=9.291	_	_	2-4(0)	_
5-0	TOR004	5	mh.	mh	linguistic	none	Intonation=Falling	Begin=9.673	_	_	_	_
5-1	TOR004	5	e	e	linguistic	none	_	_	_	_	_	_
5-2	TOR004	5	questo	questo	linguistic	none	_	_	_	_	_	_
5-3	TOR004	5	era	era	linguistic	none	_	_	_	_	_	_
5-4	TOR004	5	un	un	linguistic	none	_	_	_	_	_	_
5-5	TOR004	5	viaggio	viaggio	linguistic	none	_	_	_	_	_	_
5-6	TOR004	5	che	che	linguistic	none	_	_	_	_	_	_
5-7	TOR004	5	facevi,	facevi	linguistic	none	Intonation=WeaklyRising	End=11.365	_	_	_	_
6-0	TOI019	6	di	di	linguistic	none	_	Begin=12.034	_	_	_	_
6-1	TOI019	6	ritorno	ritorno	linguistic	none	_	_	_	_	_	_
6-2	TOI019	6	da::	da	linguistic	none	_	_	1x2	_	_	_
6-3	TOI019	6	da	da	linguistic	none	ProsodicLink=Yes	_	_	_	_	_
6-4	TOI019	6	avigliano	avigliano	linguistic	none	_	_	_	_	_	_
6-5	TOI019	6	a	a	linguistic	none	_	_	_	_	_	_
6-6	TOI019	6	torino	torino	linguistic	none	_	End=14.703	_	_	_	_
7-0	TOI019	7	adesso	adesso	linguistic	none	_	Begin=14.743	_	_	_	_
7-1	TOI019	7	che	che	linguistic	none	_	_	_	_	_	_
7-2	TOI019	7	ho	ho	linguistic	none	_	_	_	_	_	_
7-3	TOI019	7	viaggiato	viaggiato	linguistic	none	_	_	_	_	_	_
7-4	TOI019	7	comoda	comoda	linguistic	none	_	_	_	_	_	_
7-5	TOI019	7	gli	gli	linguistic	none	_	_	_	_	_	_
7-6	TOI019	7	ultimi	ultimi	linguistic	none	_	_	_	_	_	_
7-7	TOI019	7	an[ni]	anni	linguistic	none	_	End=17.24	_	_	_	2-4(1)
8-0	TOR004	8	[ec]co.	ecco	linguistic	none	Intonation=Falling	Begin=17.096|End=17.58	_	_	_	0-2(?)
9-0	TOI019	9	prendendo	prendendo	linguistic	none	_	Begin=17.57	_	_	_	_
9-1	TOI019	9	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
9-2	TOI019	9	euto~	euto~	linguistic	none	Interrupted=Yes	_	_	_	_	_
9-3	TOI019	9	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
9-4	TOI019	9	eurostar	eurostar	linguistic	none	_	End=19.346	_	_	_	_
10-0	TOI019	10	a	a	linguistic	none	_	Begin=19.944	_	_	_	_
10-1	TOI019	10	foggia	foggia	linguistic	none	_	_	_	_	_	_
10-2	TOI019	10	però.	però	linguistic	none	Intonation=Falling	End=20.873	_	_	_	_
11-0	TOI019	11	a	a	linguistic	none	_	Begin=21.791	_	_	_	_
11-1	TOI019	11	parte	parte	linguistic	none	_	_	_	_	_	_
11-2	TOI019	11	che	che	linguistic	none	_	_	_	_	_	_
11-3	TOI019	11	si	si	linguistic	none	_	_	_	_	_	_
11-4	TOI019	11	viaggia	viaggia	linguistic	none	_	_	_	_	_	_
11-5	TOI019	11	di	di	linguistic	none	_	_	_	_	_	_
11-6	TOI019	11	giorno	giorno	linguistic	none	_	_	_	_	_	_
11-7	TOI019	11	e	e	linguistic	none	_	_	_	_	_	_
11-8	TOI019	11	non	non	linguistic	none	_	_	_	_	_	_
11-9	TOI019	11	di	di	linguistic	none	_	_	_	_	_	_
11-10	TOI019	11	not[te]	notte	linguistic	none	_	End=24.427	_	_	_	3-5(2)
12-0	TOR004	12	[eh]	eh	linguistic	none	_	Begin=24.206	_	_	_	0-2(2)
12-1	TOR004	12	certo	certo	linguistic	none	_	End=24.775	_	_	_	_
13-0	TOI019	13	allora:	allora	linguistic	none	_	Begin=25.704|End=26.565	5x1	_	_	_
