token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR004	0	okay:,	okay	linguistic	none	Intonation=WeaklyRising	Begin=0.7	3x1	_	_	_
0-1	TOR004	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-2	TOR004	0	pronti	pronti	linguistic	none	_	_	_	_	_	_
0-3	TOR004	0	>via<	via	linguistic	none	_	End=2.435	_	Fast=0-3	_	_
1-0	TOI055	1	sì	sì	linguistic	none	_	Begin=2.435	_	_	_	_
1-1	TOI055	1	son	son	linguistic	none	_	_	_	_	_	_
1-2	TOI055	1	pronto	pronto	linguistic	none	_	End=3.31	_	_	_	_
2-0	TOR004	2	okay	okay	linguistic	none	_	Begin=3.33	_	_	_	_
2-1	TOR004	2	registriamo	registriamo	linguistic	none	_	End=4.545	_	_	_	_
3-0	TOR004	3	allora	allora	linguistic	none	_	Begin=5.14	_	_	_	_
3-1	TOR004	3	ciao,	ciao	linguistic	none	Intonation=WeaklyRising	End=5.819	_	_	_	_
4-0	TOI055	4	ciao	ciao	linguistic	none	_	Begin=5.83|End=6.54	_	_	_	_
5-0	TOR004	5	grazie	grazie	linguistic	none	_	Begin=6.555	_	_	_	_
5-1	TOR004	5	per	per	linguistic	none	_	_	_	_	_	_
5-2	TOR004	5	aver	aver	linguistic	none	_	_	_	_	_	_
5-3	TOR004	5	deciso	deciso	linguistic	none	_	_	_	_	_	_
5-4	TOR004	5	di	di	linguistic	none	_	_	_	_	_	_
5-5	TOR004	5	farti	farti	linguistic	none	_	_	_	_	_	_
5-6	TOR004	5	intervistare,	intervistare	linguistic	none	Intonation=WeaklyRising	End=8.55	_	_	_	_
6-0	TOI055	6	prego	prego	linguistic	none	_	Begin=8.55	_	_	_	_
6-1	TOI055	6	ci	ci	linguistic	none	_	_	_	_	_	_
6-2	TOI055	6	mancherebbe	mancherebbe	linguistic	none	_	End=9.747	_	_	_	_
7-0	TOR004	7	come	come	linguistic	none	_	Begin=9.88	_	_	_	_
7-1	TOR004	7	ti	ti	linguistic	none	_	_	_	_	_	_
7-2	TOR004	7	chiami?	chiami	linguistic	none	Intonation=Rising	End=10.5	_	_	_	_
8-0	TOI055	8	matteo	matteo	linguistic	none	_	Begin=10.62|End=11.408	_	_	_	_
9-0	TOR004	9	quanti	quanti	linguistic	none	_	Begin=11.51	_	_	_	_
9-1	TOR004	9	anni	anni	linguistic	none	_	_	_	_	_	_
9-2	TOR004	9	hai?	hai	linguistic	none	Intonation=Rising	End=12.25	_	_	_	_
10-0	TOI055	10	trentasei	trentasei	linguistic	none	_	Begin=12.28|End=13.269	_	_	_	_
11-0	TOR004	11	quindi	quindi	linguistic	none	_	Begin=13.87	_	_	_	_
11-1	TOR004	11	sei	sei	linguistic	none	_	_	_	_	_	_
11-2	TOR004	11	nato?	nato	linguistic	none	Intonation=Rising	End=14.68	_	_	_	_
12-0	TOI055	12	i:l	il	linguistic	none	_	Begin=15.379	0x1	_	_	_
12-1	TOI055	12	ventiquattro	ventiquattro	linguistic	none	_	_	_	_	_	_
12-2	TOI055	12	dicembre	dicembre	linguistic	none	_	_	_	_	_	_
12-3	TOI055	12	dell'	dell'	linguistic	none	SpaceAfter=No	_	_	_	_	_
12-4	TOI055	12	ottantadue	ottantadue	linguistic	none	_	_	_	_	_	_
12-5	TOI055	12	[però]	però	linguistic	none	_	_	_	_	_	0-4(0)
12-6	TOI055	12	a	a	linguistic	none	_	_	_	_	_	_
12-7	TOI055	12	dicembre	dicembre	linguistic	none	_	_	_	_	_	_
12-8	TOI055	12	ne	ne	linguistic	none	_	_	_	_	_	_
12-9	TOI055	12	faccio	faccio	linguistic	none	_	_	_	_	_	_
12-10	TOI055	12	trentasette	trentasette	linguistic	none	_	End=20.05	_	_	_	_
13-0	TOR004	13	[>(quindi)<]	quindi	linguistic	none	_	Begin=18.02|End=18.525	_	Fast=0-6	0-6(0)	0-6(0)
