token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR006	0	((sospira))	((sospira))	nonverbalbehavior	none	_	Begin=1.718|End=2.21	_	_	_	_
1-0	TOR006	1	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=2.21	_	_	_	_
1-1	TOR006	1	cia:o,	ciao	linguistic	none	Intonation=WeaklyRising	End=3.062	2x1	_	_	_
2-0	TOI034	2	ciao	ciao	linguistic	none	_	Begin=3.5|End=3.782	_	_	_	_
3-0	TOR006	3	come	come	linguistic	none	_	Begin=3.782	_	_	_	_
3-1	TOR006	3	ti	ti	linguistic	none	_	_	_	_	_	_
3-2	TOR006	3	chiami?	chiami	linguistic	none	Intonation=Rising	End=4.664	_	_	_	_
4-0	TOI034	4	annalaura	annalaura	linguistic	none	_	Begin=5.321|End=6.006	_	_	_	_
5-0	TOR006	5	okay	okay	linguistic	none	ProsodicLink=Yes	Begin=6.346	_	_	_	_
5-1	TOR006	5	ehm:	ehm	linguistic	none	_	_	2x1	_	_	_
5-2	TOR006	5	che	che	linguistic	none	_	_	_	_	_	_
5-3	TOR006	5	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
5-4	TOR006	5	fai?	fai	linguistic	none	Intonation=Rising	End=8.847	_	_	_	_
6-0	TOI034	6	sono	sono	linguistic	none	_	Begin=9.166	_	_	_	_
6-1	TOI034	6	operaia	operaia	linguistic	none	_	_	_	_	_	_
6-2	TOI034	6	in	in	linguistic	none	_	_	_	_	_	_
6-3	TOI034	6	una	una	linguistic	none	_	_	_	_	_	_
6-4	TOI034	6	fabbrica	fabbrica	linguistic	none	_	_	_	_	_	_
6-5	TOI034	6	di	di	linguistic	none	_	_	_	_	_	_
6-6	TOI034	6	stampaggio	stampaggio	linguistic	none	_	_	_	_	_	_
6-7	TOI034	6	plastica.	plastica	linguistic	none	Intonation=Falling	End=11.711	_	_	_	_
7-0	TOR006	7	ok:ay	okay	linguistic	none	_	Begin=11.962	1x1	_	_	_
7-1	TOR006	7	da:	da	linguistic	none	_	_	1x1	_	_	_
7-2	TOR006	7	quanto	quanto	linguistic	none	_	_	_	_	_	_
7-3	TOR006	7	tempo?	tempo	linguistic	none	Intonation=Rising	End=13.94	_	_	_	_
8-0	TOI034	8	in	in	linguistic	none	_	Begin=14.977	_	_	_	_
8-1	TOI034	8	questa	questa	linguistic	none	_	_	_	_	_	_
8-2	TOI034	8	azienda	azienda	linguistic	none	_	_	_	_	_	_
8-3	TOI034	8	in	in	linguistic	none	_	_	_	_	_	_
8-4	TOI034	8	cui	cui	linguistic	none	_	_	_	_	_	_
8-5	TOI034	8	lavoro,	lavoro	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_
8-6	TOI034	8	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
8-7	TOI034	8	da	da	linguistic	none	_	_	_	_	_	_
8-8	TOI034	8	marzo	marzo	linguistic	none	_	End=17.142	_	_	_	_
9-0	TOR006	9	mhmh	mhmh	linguistic	none	_	Begin=17.449	_	_	_	_
9-1	TOR006	9	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
9-2	TOR006	9	e:	e	linguistic	none	_	_	0x1	_	_	_
9-3	TOR006	9	prima:	prima	linguistic	none	ProsodicLink=Yes	_	4x1	_	_	_
9-4	TOR006	9	hai	hai	linguistic	none	_	_	_	_	_	_
9-5	TOR006	9	fatto	fatto	linguistic	none	_	_	_	_	_	_
9-6	TOR006	9	altro?	altro	linguistic	none	Intonation=Rising	End=19.485	_	_	_	_
10-0	TOI034	10	ho	ho	linguistic	none	_	Begin=20.093	_	_	_	_
10-1	TOI034	10	fatto	fatto	linguistic	none	_	_	_	_	_	_
10-2	TOI034	10	per	per	linguistic	none	_	_	_	_	_	_
10-3	TOI034	10	due	due	linguistic	none	_	_	_	_	_	_
10-4	TOI034	10	anni	anni	linguistic	none	_	_	_	_	_	_
10-5	TOI034	10	la	la	linguistic	none	_	_	_	_	_	_
10-6	TOI034	10	tata,	tata	linguistic	none	Intonation=WeaklyRising	End=21.827	_	_	_	_
11-0	TOR006	11	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=22.143|End=22.74	_	_	_	_
12-0	TOI034	12	perché	perché	linguistic	none	_	Begin=22.834	_	_	_	_
12-1	TOI034	12	mi	mi	linguistic	none	_	_	_	_	_	_
12-2	TOI034	12	piaceva	piaceva	linguistic	none	_	_	_	_	_	_
12-3	TOI034	12	e	e	linguistic	none	_	_	_	_	_	_
12-4	TOI034	12	poi	poi	linguistic	none	_	_	_	_	_	_
12-5	TOI034	12	ho	ho	linguistic	none	_	_	_	_	_	_
12-6	TOI034	12	in~	in~	linguistic	none	Interrupted=Yes	_	_	_	_	_
12-7	TOI034	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
12-8	TOI034	12	deciso	deciso	linguistic	none	_	_	_	_	_	_
12-9	TOI034	12	di	di	linguistic	none	_	_	_	_	_	_
12-10	TOI034	12	iniziare	iniziare	linguistic	none	_	_	_	_	_	_
12-11	TOI034	12	a	a	linguistic	none	_	_	_	_	_	_
12-12	TOI034	12	fare	fare	linguistic	none	_	_	_	_	_	_
12-13	TOI034	12	un	un	linguistic	none	_	_	_	_	_	_
12-14	TOI034	12	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
12-15	TOI034	12	un	un	linguistic	none	_	_	_	_	_	_
12-16	TOI034	12	po'	po'	linguistic	none	_	_	_	_	_	_
12-17	TOI034	12	più	più	linguistic	none	_	_	_	_	_	_
12-18	TOI034	12	serio	serio	linguistic	none	_	_	_	_	_	_
12-19	TOI034	12	che	che	linguistic	none	_	_	_	_	_	_
12-20	TOI034	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
12-21	TOI034	12	[]	x	unknown	none	_	_	_	_	_	_
12-22	TOI034	12	fosse	fosse	linguistic	none	_	_	_	_	_	_
12-23	TOI034	12	più	più	linguistic	none	_	_	_	_	_	_
12-24	TOI034	12	continuativo	continuativo	linguistic	none	_	End=28.276	_	_	_	_
13-0	TOR006	13	[mhmh]	mhmh	linguistic	none	_	Begin=27.035|End=27.455	_	_	_	0-4(0)
