text_it	text_en	hash	text_it_length	text_en_length
Tu capisci il francese, giusto?	You understand French, right?	a19326e5-d249-572e-862b-33dab0e1b3a0	31	29
Capisce il francese, giusto?	You understand French, right?	273cccfe-a126-562b-b3c8-9b5b5c56df3e	28	29
Lei capisce il francese, giusto?	You understand French, right?	a8f1c0d0-3636-5d4a-814c-620a96dec048	32	29
Capite il francese, giusto?	You understand French, right?	c756bb18-123f-5c16-8bf4-0ba1038c4c7f	27	29
Voi capite il francese, giusto?	You understand French, right?	d67db5c4-ac05-503d-bbb1-d1e291dbe31f	31	29
Tom parla il francese?	Does Tom speak French?	b5e7bfd1-2579-55af-ba50-0336e494883e	22	22
Tom parla perfettamente il francese.	Tom speaks French perfectly.	d5b56cbe-421f-5de8-9f64-9a3c5b442bf7	36	28
Studiamo il francese assieme.	We study French together.	1a09992a-aa7e-5239-a8d8-120d983c4642	29	25
Noi studiamo il francese assieme.	We study French together.	738dde9e-e13c-53e2-9cd9-a48162c129c0	33	25
Stanno parlando in francese?	Are they speaking French?	7140b8ec-2d58-5104-a019-3406b7cf7c6e	28	25
Loro stanno parlando in francese?	Are they speaking French?	b4d221cb-6f76-59eb-9d20-c7268fecca98	33	25
Il tuo francese è perfetto.	Your French is perfect.	3ccb17f9-60e1-5471-b4c9-9c485d230f05	27	23
Il suo francese è perfetto.	Your French is perfect.	a9f5b56f-6f9c-5002-b700-54d9906b5558	27	23
Il vostro francese è perfetto.	Your French is perfect.	4dd46811-2c50-5239-b73d-4e08c43bed8e	30	23
Tom parla un buon francese.	Tom speaks good French.	69146f70-f5b5-505c-823d-47bab1bca8d2	27	23
Per piacere, insegnami il francese.	Please teach me French.	695a8989-6de5-582b-9513-925ddfe2435a	35	23
Per favore, insegnami il francese.	Please teach me French.	bceb61c0-37b2-5077-a2e0-f75cfc6b5f0a	34	23
Per piacere, insegnatemi il francese.	Please teach me French.	ee83d461-c872-569f-b0e0-6c6b7ad37ada	37	23
Per favore, insegnatemi il francese.	Please teach me French.	c6746a7b-1892-5b49-a7f4-b1f36af027e6	36	23
Per piacere, mi insegni il francese.	Please teach me French.	1bcde91f-9276-5973-8dec-0a955db65197	36	23
Per favore, mi insegni il francese.	Please teach me French.	537419d8-5892-5f35-9f1b-3772231eeb48	35	23
Parlo già il francese.	I already speak French.	b0000e63-e568-53c8-b2de-cdc1a7ab299d	22	23
Io parlo già il francese.	I already speak French.	f21c2b24-c313-50ad-9c9c-b9ad8a6c7ab8	25	23
Tom mi insegna il francese.	Tom teaches me French.	14d5217e-c38f-5154-98af-0909d2ce9cc5	27	22
Il tuo francese è buono.	Your French is good.	1c7191e0-ce9a-5a49-b78e-20124777f5ba	24	20
Il suo francese è buono.	Your French is good.	0207f1d6-070f-5fbd-8915-873908ade64f	24	20
Il vostro francese è buono.	Your French is good.	69a1eafa-a881-5a56-a092-315b4e58cf43	27	20
Ti piace il francese?	Do you like French?	59f00566-fd51-5bb6-9415-96d3bbff5a1c	21	19
A te piace il francese?	Do you like French?	87f241a9-82cc-5227-b085-834040f6090e	23	19
Vi piace il francese?	Do you like French?	88d7039e-1d5e-541b-a2b3-8522675d9297	21	19
A voi piace il francese?	Do you like French?	d17585ae-37ca-546f-9481-13707107f08d	24	19
Le piace il francese?	Do you like French?	e12cf8df-00ac-5f51-bab6-f57a653044d6	21	19
A lei piace il francese?	Do you like French?	e73991e2-1b87-5766-9e7d-ad42fe2b1726	24	19
Sai il francese?	Do you know French?	21d0ccab-c721-58d8-be53-0e62a6469fb7	16	19
Tu sai il francese?	Do you know French?	4add0696-7cd1-5620-9b1c-5bbecff2768e	19	19
Sa il francese?	Do you know French?	c6d1efed-bba7-5152-b2f6-dc63b9a84f67	15	19
Lei sa il francese?	Do you know French?	94a1bd14-19d1-5e2e-86a3-6f905d077063	19	19
Sapete il francese?	Do you know French?	eeb04b37-96cd-57c7-9d43-8aa2dfa29176	19	19
Voi sapete il francese?	Do you know French?	93d70e57-daca-5407-ac8c-bef0805b5b3d	23	19
Sogno in francese.	I dream in French.	3f9e51fa-911e-5f05-8660-8635c7de4cd1	18	18
Io sogno in francese.	I dream in French.	306782a2-833a-576f-ac1a-c35e9d2f7091	21	18
Tom parla a malapena il francese.	Tom barely speaks French.	38506bbc-bce1-50ad-b6ef-de7408ffec34	33	25
Il mio francese è patetico.	My French is pathetic.	815bbf15-47ed-51a9-9e16-3c5b15fd7c56	27	22
Tom parla un francese perfetto.	Tom speaks perfect French.	201fc64b-b6f2-5db5-8770-4a0c617acdcc	31	26
Tom capisce il francese?	Does Tom understand French?	1b0ab63c-398d-5b75-82a8-bdaae1fe5354	24	27
Tom sta imparando il francese?	Is Tom learning French?	b84233aa-c572-5dc7-b150-cd6c2c7d8c65	30	23
Tom parla anche il francese.	Tom also speaks French.	8aa1e8f5-3179-5919-9317-6015281261d8	28	23
Tom parla raramente il francese.	Tom rarely speaks French.	4c909319-4e4e-5323-9188-8c5ea5ea27ee	32	25
Tom si è insegnato il francese.	Tom taught himself French.	c63752a1-c5fc-5aca-8576-c8ffe138ebb4	31	26
Tom si insegnò il francese.	Tom taught himself French.	40ed83cc-52e9-54b6-aad6-6fddf0f917bf	27	26
Tom parlava solo in francese.	Tom only spoke French.	2c07994b-0dda-53ed-8af3-f9a26422b800	29	22
Tom parlava soltanto in francese.	Tom only spoke French.	95ddc972-2366-59fa-86b8-b2eea00fdb44	33	22
Tom parlava solamente in francese.	Tom only spoke French.	a3d18435-d7c5-576e-8ee2-62c505fa248c	34	22
Tom parlava bene il francese.	Tom spoke French well.	df595557-d858-51ff-be2e-7b2d60f588ab	29	22
Possiamo parlare in francese?	Can we speak French?	0d3aeaad-4308-582b-94ea-3ceb0ede92f6	29	20
Potremmo parlare in francese?	Could we speak French?	901c04f1-8d10-56f2-a7d4-cbea93323403	29	22
A Tom piace il francese?	Does Tom like French?	b9083044-6357-5f90-804d-f03ca848757e	24	21
Non parlo mai in francese.	I never speak French.	2f99d7c9-b885-550e-9b82-94ba2ce02084	26	21
Io non parlo mai in francese.	I never speak French.	5fdb2b21-25f3-52fd-bc8e-1ecdc13eb9b3	29	21
Tom parlava in francese.	Tom spoke in French.	008a6a8c-d977-5461-9160-8fbea2cd302b	24	20
Stai imparando il francese?	Are you learning French?	6ead121f-8b00-5503-a74f-20951f3c9abe	27	24
Tu stai imparando il francese?	Are you learning French?	33e7b253-9d56-57ed-8ae7-67dac06d9861	30	24
Sta imparando il francese?	Are you learning French?	def5ae2e-e26d-5dc1-9c01-f31e8e07d09a	26	24
Lei sta imparando il francese?	Are you learning French?	2c38b9ab-c4be-54f8-9b36-0553ab46c6d2	30	24
State imparando il francese?	Are you learning French?	91434639-32d2-53ec-8d53-5b7f4aadb52e	28	24
Voi state imparando il francese?	Are you learning French?	d0ecaf23-76a0-50ac-84a2-142ef3be2bb0	32	24
Sembra francese.	That sounds like French.	1649a3d6-29f2-52c3-953b-a1865a77071d	16	24
Quello sembra francese.	That sounds like French.	e2b655fe-b79a-5ef2-a1f0-352f535fcaa8	23	24
Questo sembra francese.	This sounds like French.	5e912bb3-4f4b-58d8-b34a-eecf9613d598	23	24
Il tuo francese è eccellente.	Your French is excellent.	5f2028b9-9d98-5b61-a843-9b28d09de6d5	29	25
Il suo francese è eccellente.	Your French is excellent.	4808d32c-5ef4-5116-86c0-f5b989126a52	29	25
Il vostro francese è eccellente.	Your French is excellent.	9655d259-7a4b-5bb8-b56f-19402ad721ba	32	25
Dovrei imparare il francese.	I should learn French.	cb04f70b-65d6-5521-bbad-9b054ffab97c	28	22
Io dovrei imparare il francese.	I should learn French.	98f90f69-b304-567c-b6fb-27bdf81a9909	31	22
Tom mi ha insegnato il francese.	Tom taught me French.	05819cb8-dc04-50a6-9839-cf0477400390	32	21
Tom mi insegnò il francese.	Tom taught me French.	c0944398-fe21-5286-a635-17c16e92c242	27	21
A tutti piacciono le patatine fritte.	Everybody likes french fries.	8ce184c8-25ce-5904-aa11-9f83dd2b7bfb	37	29
A tutti piacciono le patate fritte.	Everybody likes french fries.	418335ad-ad82-5038-be3e-11459c8d5c69	35	29
Stanno parlando in francese.	They're speaking French.	867ecd73-528a-53ff-aa74-737b2329d201	28	24
Loro stanno parlando in francese.	They're speaking French.	a8ecc318-bc49-597b-913c-1594623ac808	33	24
Tom sta insegnando il francese.	Tom is teaching French.	024e2545-efef-5b81-b1d3-5b9154d45263	31	23
Tom sta parlando in francese.	Tom is speaking French.	2889f318-51ab-5654-bd0f-29ce5706a253	29	23
Tom sta insegnando francese.	Tom is teaching French.	55ea388c-a57c-5ab8-99e2-88225c11f46a	28	23
Il tuo francese sta migliorando?	Is your French improving?	5a17e40b-88c8-54dd-b879-3a9d9f3545f3	32	25
Il suo francese sta migliorando?	Is your French improving?	a80c4b6c-4119-5374-a5a2-fc09a6dc10f0	32	25
