text_it	text_en	hash	text_it_length	text_en_length
Dopo l'incrocio, entra in autostrada.	After the intersection, drive onto the highway.	f11d7bbb-2209-5556-a2c5-7b0588f362fb	37	47
Dopo l'incrocio, entrate in autostrada.	After the intersection, drive onto the highway.	e1c0d73f-48c7-5526-aed5-ceffa51ffe65	39	47
Io non esisto per te.	I don't exist to you.	f53c0d61-5a65-5567-b2ca-c752bed2b5cc	21	21
Io non esisto per voi.	I don't exist to you.	88661664-ea03-52a2-8094-6f5192bfd8ca	22	21
Io non esisto per lei.	I don't exist to you.	fe123715-5cd4-5642-8a98-5153328cdd4a	22	21
Un gatto, non è una persona.	A cat is not a person.	7275c5ff-2de6-5dab-9943-8d98846386e4	28	22
Possiamo aiutarli ora.	We can help them now.	bafed115-4b77-5ec1-9f2f-72fe3c330223	22	21
Possiamo aiutarli adesso.	We can help them now.	5aa42948-5c1d-56b3-9b3e-b9c3e7b933be	25	21
Possiamo aiutarle ora.	We can help them now.	b08447c8-00ca-5e70-bd35-b8e4defa8ea2	22	21
Possiamo aiutarle adesso.	We can help them now.	129e3e7f-978f-5792-92b3-daf38c9695be	25	21
Riusciamo ad aiutarli ora.	We can help them now.	5258112b-0754-5064-9878-029b11dfd242	26	21
Riusciamo ad aiutarli adesso.	We can help them now.	1be512b0-45aa-5229-84e0-623a4e3700f8	29	21
Riusciamo ad aiutarle ora.	We can help them now.	71ae4813-0512-54db-9b3f-126fd79446f3	26	21
Riusciamo ad aiutarle adesso.	We can help them now.	6e102d19-7c05-52d4-93a0-4bbaa5830446	29	21
Hai bisogno di un avvocato.	You need a lawyer.	7755fd2e-8cc3-5c40-acd8-d4ea94b0dfa3	27	18
Lei non saluta i suoi vicini.	She doesn't say hello to her neighbours.	ef662cb9-5bf4-517b-a10b-22a1b427b464	29	40
Non saluta i suoi vicini.	She doesn't say hello to her neighbours.	83f0ff6b-6971-5be5-8413-9da9a3ce69fc	25	40
Questo fiume scorre rapidamente.	This river flows rapidly.	de2f1963-d2a3-5cc6-bacd-76f210435227	32	25
Tutto quello che scriviamo è autobiografico.	Everything we write is autobiographical.	9933c89c-44c6-51ad-9136-50e798c2ab9c	44	40
Tutto ciò che scriviamo è autobiografico.	Everything we write is autobiographical.	8a28c00c-40bc-5061-a154-786e712900ea	41	40
Non tutti i cittadini della Russia sono russi.	Not every citizen of Russia is Russian.	cf8421c2-41f9-5988-9489-169d69d08847	46	39
Tom non sapeva che Mary avesse dei figli.	Tom didn't know that Mary had children.	f34c8cb3-2c06-563d-a79b-a38afb81f07c	41	39
Tom non lo sapeva che Mary avesse dei figli.	Tom didn't know that Mary had children.	2fbf3fd4-7ec0-58b0-b660-86cf24ddcd9c	44	39
Posso andarmene da scuola presto oggi?	May I leave school early today?	78d8840e-ccc4-57bb-89a8-1435ed905ad7	38	31
Io posso andarmene da scuola presto oggi?	May I leave school early today?	239e3dc9-5212-59cd-8924-7e5a98d68cd8	41	31
Me ne posso andare da scuola presto oggi?	May I leave school early today?	bd5f64f9-2427-51f8-af52-f5e6015562fd	41	31
Io me ne posso andare da scuola presto oggi?	May I leave school early today?	29d3ac13-3dfa-5828-847a-1b6d80ee5098	44	31
Aspetterò davanti alla stazione.	I'm going to be waiting in front of the station.	c5986cfd-06d5-5c48-aada-9ec664445112	32	48
Io aspetterò davanti alla stazione.	I'm going to be waiting in front of the station.	53a8081d-c28e-525b-ae27-41bb1809feb3	35	48
Assomigli ad Harry Potter.	You look like Harry Potter.	be8f2648-5952-5e0b-ab08-72fdc6ba5a5d	26	27
Tu assomigli ad Harry Potter.	You look like Harry Potter.	57093f8a-6a79-5ab8-8891-9dcc70c08539	29	27
Assomiglia ad Harry Potter.	You look like Harry Potter.	a214192b-d01f-599c-8329-7e21b8c19b86	27	27
Lei assomiglia ad Harry Potter.	You look like Harry Potter.	416cfc0b-fd52-5831-b967-764e0a462a52	31	27
Assomigliate ad Harry Potter.	You look like Harry Potter.	d8b98001-6c87-56df-a580-0c28c3359bb1	29	27
Voi assomigliate ad Harry Potter.	You look like Harry Potter.	990a2197-2425-50d5-9e22-c10113fb9650	33	27
Sono dei tuoi buoni amici.	They are good friends of yours.	d3accc86-6536-5397-82fe-869890ce488a	26	31
Loro sono dei tuoi buoni amici.	They are good friends of yours.	9d11c74a-ee49-578a-bc52-a92d11981e64	31	31
Sono dei suoi buoni amici.	They are good friends of yours.	d81ea181-ad96-5662-8d30-9091f55ee484	26	31
Loro sono dei suoi buoni amici.	They are good friends of yours.	11c84d44-512c-5d55-88b3-622f4377e5f0	31	31
Sono dei vostri buoni amici.	They are good friends of yours.	c95a665b-7408-5476-846c-a8836eb0c7a8	28	31
Loro sono dei vostri buoni amici.	They are good friends of yours.	b61d62bd-f116-53c1-aa4c-8435cc85b618	33	31
Sono delle tue buone amiche.	They are good friends of yours.	66eb15b2-de9c-579b-9487-afb5e6100b75	28	31
Loro sono delle tue buone amiche.	They are good friends of yours.	8917a221-ef4d-5296-923e-d51dfd45484e	33	31
Sono delle sue buone amiche.	They are good friends of yours.	564b2be5-cb9b-5ffc-91e6-94e9e67039d8	28	31
Loro sono delle sue buone amiche.	They are good friends of yours.	df1feab7-3c18-5bf5-a48d-672f056f0886	33	31
Sono delle vostre buone amiche.	They are good friends of yours.	ae2eac94-5828-5f2d-8364-0ce86a995103	31	31
Loro sono delle vostre buone amiche.	They are good friends of yours.	c708384c-7932-5856-8981-e6ecdf019f51	36	31
Avanti, canta con me.	Come on, sing with me.	6f54d250-416d-5af2-a138-9a6c8b929149	21	22
Avanti, cantate con me.	Come on, sing with me.	b6bf39ea-f417-5eab-882a-e025419970dd	23	22
Avanti, canti con me.	Come on, sing with me.	06d199e0-5bfd-5ed0-916d-b0d4a2381598	21	22
La ragazza legge con suo nonno.	The girl reads with her grandfather.	deb1fea6-164a-5d8a-ae60-6c250dc81e91	31	36
Tom ha avuto un incidente d'auto a Boston.	Tom had a car accident in Boston.	3fcf0498-0cc8-5f0a-979b-87e4e201a236	42	33
Tom ebbe un incidente d'auto a Boston.	Tom had a car accident in Boston.	999d0e7e-9869-5749-9186-3efc2f9500b7	38	33
Anche le piante respirano.	Plants breathe, too.	71cb7ac0-d151-5bc1-9828-8de2f5c238ed	26	20
Ha forgiato l'acciaio in una spada.	He forged the steel into a sword.	d2e3d8cd-ff26-5013-920a-e438f6b62aa9	35	33
Lui ha forgiato l'acciaio in una spada.	He forged the steel into a sword.	3b85233c-0283-5847-b787-d945a3779c71	39	33
Forgiò l'acciaio in una spada.	He forged the steel into a sword.	3d3e132e-2f50-5a21-b64a-7debde809983	30	33
Lui forgiò l'acciaio in una spada.	He forged the steel into a sword.	b7cc5ffd-b0d4-5b31-919e-c6593451d2b0	34	33
Non ci sarà scuola tra una settimana esatta.	There will be no school a week from today.	103b637a-f80d-5752-ae56-d013e4fe8c22	44	42
Non è stata colpa mia.	It wasn't my fault.	68b55b74-ccc7-54ff-9461-4ff1d07a5f1f	22	19
Tom ha molti nemici.	Tom has a lot of enemies.	e135230e-b53b-55a9-96b4-4688688194f8	20	25
Vuoi salvarli?	Do you want to save them?	25940c9f-874f-5b4a-b66c-3ba746e5e74c	14	25
Vuoi salvarle?	Do you want to save them?	c44f7cab-6f99-5b30-a035-90842607f5f0	14	25
Vuole salvarli?	Do you want to save them?	fbc48b9a-eeb8-5718-acc5-42282b868a51	15	25
Vuole salvarle?	Do you want to save them?	aae7dd96-fbb0-573f-b354-27576dfe97de	15	25
Volete salvarli?	Do you want to save them?	9ccba59f-9791-57d8-af88-427fcd675611	16	25
Volete salvarle?	Do you want to save them?	d25f230e-6a98-5eac-b80c-80bbae99819a	16	25
Li vuoi salvare?	Do you want to save them?	24108b4c-3e53-5eac-ad7c-2583f7b6d426	16	25
Le vuoi salvare?	Do you want to save them?	2f09ee96-0d63-57bd-b484-e107a365c39f	16	25
Li vuole salvare?	Do you want to save them?	36132179-1801-5481-958b-e41ee54f2b8b	17	25
Le vuole salvare?	Do you want to save them?	cbd9416a-1861-5b11-960d-ee5aabf14b23	17	25
Li volete salvare?	Do you want to save them?	b9a38929-4786-5586-a974-ad262bfd0b3b	18	25
Le volete salvare?	Do you want to save them?	6949bcba-ca21-580f-8076-533c6f3bb3f8	18	25
Me ne vuoi parlare?	Do you want to tell me about it?	84ee2d24-c0b9-5541-9d5d-b8b08012efb6	19	32
Me ne vuole parlare?	Do you want to tell me about it?	62f246d3-3962-596e-870f-1b7d5f2c1aed	20	32
Me ne volete parlare?	Do you want to tell me about it?	b7cfbd21-d78a-539e-aa30-e69d2421e6cb	21	32
Vuoi parlarmene?	Do you want to tell me about it?	079f8604-8434-5c8b-9082-52157806fb19	16	32
Vuole parlarmene?	Do you want to tell me about it?	e63327e6-e90e-5463-8ae3-a83a89a14071	17	32
Volete parlarmene?	Do you want to tell me about it?	1348553b-708b-57b3-9cb5-50d0ea12c309	18	32
L'ultima fidanzata di Tom è stata Mary.	Tom's last girlfriend was Mary.	ee1a4c26-5c5e-529f-969e-96ff43ba117d	39	31
L'ultima ragazza di Tom è stata Mary.	Tom's last girlfriend was Mary.	e4d751b4-6ab5-51b8-91fb-57302ed6c812	37	31
L'ultima morosa di Tom è stata Mary.	Tom's last girlfriend was Mary.	a92b9fd7-7c4f-5241-bb73-e836ea36fa9c	36	31
Ho lasciato Boston molto tempo fa.	I left Boston a long time ago.	bd5d38c6-1ed1-5f08-aadc-823a02ef81ea	34	30
Io ho lasciato Boston molto tempo fa.	I left Boston a long time ago.	cb0016c9-ae2a-5f4b-9521-43e08d7b3e7b	37	30
Che fallita!	What a loser!	6de3b575-730a-581c-ae4a-781abb8f7cf3	12	13
Però ha un odore strano.	But it smells strange.	949fc184-c3b4-50ef-b8d5-817e9da08543	24	22
Ma ha un odore strano.	But it smells strange.	a24fa9e5-5bea-5cce-b1ba-1fb7a7a982b5	22	22
Lo andremo a trovare.	We'll go visit him.	49159804-d0a9-5718-827f-b0c9593111e5	21	19
Noi lo andremo a trovare.	We'll go visit him.	176226fb-04ed-5274-be05-f48ee07d1d19	25	19
Non voglio affrontarlo da solo.	I don't want to face that alone.	beafce90-4986-5b81-a550-d7e7cd3aef2d	31	32
Io non voglio affrontarlo da solo.	I don't want to face that alone.	e028b66a-3f2e-5976-b08d-e3c890595188	34	32
Non voglio affrontarlo da sola.	I don't want to face that alone.	2dc585a7-8e57-5f6e-9578-56992b481f55	31	32
Io non voglio affrontarlo da sola.	I don't want to face that alone.	b8e4154b-ec57-50cb-8b42-7ad468f931c2	34	32
Mary è tua figlia?	Is Mary your daughter?	5bcbf551-4e9d-507b-a3ea-a7ac7f535169	18	22
Mary è sua figlia?	Is Mary your daughter?	819dc008-6bd4-525a-9780-3f7371f63339	18	22
Mary è vostra figlia?	Is Mary your daughter?	40386c67-37cb-5df9-86e3-6c3b66ee0c58	21	22
Piove molto in giugno.	It rains a lot in June.	8570b8f2-106c-5a5e-b31a-ac928decfc33	22	23
Io mi alzo alle sei.	I get up at six.	1209d744-38cf-51f7-bc19-e2c7f0fcba02	20	16
Stai meglio ora?	Are you better now?	a689751c-3eba-5c94-aa91-8d87d9b41781	16	19
Stai meglio adesso?	Are you better now?	37bc6444-f522-5f5e-bbea-5f87d63d5dd2	19	19
Sta meglio ora?	Are you better now?	7c95ed05-864f-5112-9a60-be920490be55	15	19
Sta meglio adesso?	Are you better now?	f57e571e-d871-5b72-91eb-af951f74d097	18	19
State meglio ora?	Are you better now?	abfbd5df-cbda-5374-a246-28abe1d2c62d	17	19
State meglio adesso?	Are you better now?	ceb1492a-d220-511d-9238-e93ca5ef2af9	20	19
Non dovrebbe essere un gran problema.	That shouldn't be too much of a problem.	b3d2f83f-0c43-5070-9290-61de5742e22f	37	40
Non c'è niente quaggiù.	There's nothing down here.	a7a41731-57b0-5480-a6b2-4cf6c0fdfeaa	23	26
Non c'è nulla quaggiù.	There's nothing down here.	49a93807-a2be-530a-bf8f-f5f00c02ebc3	22	26
Un gatto uscì da sotto la scrivania.	A cat came out from under the desk.	57427cdc-9a0f-5191-bafe-87ce5d659791	36	35
Lo posso usare?	May I use that?	b1839e59-94fb-5442-ab36-45a80e9aaac4	15	15
Non rifarò quell'errore.	I'll not make that mistake again.	69bf7e58-12fc-5a2b-a44e-cd299a9ebba4	24	33
Io non rifarò quell'errore.	I'll not make that mistake again.	0629ff9f-c339-5fd7-95e2-1886aa4c43cc	27	33
Non c'è motivo di aver paura.	There's no reason to be afraid.	09152740-0562-55c5-8cf0-196096b73d89	29	31
Non rifacciamo mai più quell'errore.	Let's not ever make that mistake again.	3d498050-7036-5599-802a-9bf61d2d9f96	36	39
Dan ha cenato?	Did Dan have dinner?	ab9d0982-507a-58c9-9e3c-fe19d312a8d2	14	20
Dan cenò?	Did Dan have dinner?	0f1b84a1-5858-537a-bed6-5fd882e45418	9	20
Cos'è appena successo?	What just happened?	2fb80b65-d030-546b-85dd-6b39dcf46dda	22	19
Non l'ho mai chiesto.	I never asked for it.	f46c991d-1188-5cfe-8e4a-7665d6d34bb6	21	21
Io non l'ho mai chiesto.	I never asked for it.	20b0d38c-fb2a-5d82-8f00-29426edd781f	24	21
Non l'ho mai chiesta.	I never asked for it.	1c270fa5-8f9f-5f78-9720-71cc74bcc16a	21	21
Io non l'ho mai chiesta.	I never asked for it.	9f530e53-5178-5a65-bf0c-d0d6ca0196a4	24	21
Gli uccelli costruiscono dei nidi.	Birds build nests.	43acc743-9f1e-5b8a-8e3f-cb45b643ad56	34	18
Quante stanze hai?	How many rooms do you have?	65f590aa-04fd-55d1-96ef-4b28a74d6111	18	27
Quante stanze ha?	How many rooms do you have?	e5d9e8e8-5c23-5a71-b756-5af0fd58e120	17	27
Quante camere hai?	How many rooms do you have?	36148595-9cae-5b20-a7dc-b5cdb7f42115	18	27
Quante camere ha?	How many rooms do you have?	c0344915-46fc-5b6b-b31f-34d66dec157c	17	27
Perché dovremmo aiutarti?	Why should we help you?	6b467872-490f-5bf3-85a7-551526a79d35	25	23
Perché dovremmo aiutarvi?	Why should we help you?	d14fbbf7-1015-5af5-9365-eabae3744ad1	25	23
Perché dovremmo aiutarla?	Why should we help you?	569d9508-1651-50de-89e2-4d47599be672	25	23
Gli ha dato un libro.	She gave him a book.	cb2b4917-ca84-59f8-8e00-a331457313b1	21	20
Lei gli ha dato un libro.	She gave him a book.	6283a4f5-dd97-57c2-af14-9eefe5f89f29	25	20
Gli diede un libro.	She gave him a book.	164d94e4-0ecb-51a4-a3b9-977e3a97f1f5	19	20
Lei gli diede un libro.	She gave him a book.	162ded2c-8ba8-5511-a21b-779c5936df85	23	20
Guarda questa.	Look at this one.	3bccff0d-d877-546f-9870-5caf1c8e0a89	14	17
Guardi questa.	Look at this one.	5a1da01f-cd69-5107-bd88-275b8155a45b	14	17
Guardate questa.	Look at this one.	045d54c3-ae80-5635-a6e2-de5c709b499c	16	17
La probabilità di vincere è dello 0,001%.	The probability of winning is 0.001%.	10cbe836-c789-5ada-be85-a5feb554ab0c	41	37
Non stai nascondendo niente, vero?	You're not hiding anything, are you?	ee286208-5e03-5383-9b52-5c6072490854	34	36
Tu non stai nascondendo niente, vero?	You're not hiding anything, are you?	0f55c0e3-df81-5757-a5c1-527d687c6ca0	37	36
Non sta nascondendo niente, vero?	You're not hiding anything, are you?	1f8e2cf1-ab5e-572f-a416-1a1cd6b73f0c	33	36
Lei non sta nascondendo niente, vero?	You're not hiding anything, are you?	716f9fef-23cb-5261-b3ea-9c314a11f172	37	36
Non state nascondendo niente, vero?	You're not hiding anything, are you?	4fdbe5f1-9484-59ca-9c50-95c0dab6be9f	35	36
Voi non state nascondendo niente, vero?	You're not hiding anything, are you?	a4feb809-d01d-546e-bccb-6507374d74da	39	36
