text_it	text_en	hash	text_it_length	text_en_length
La vostra relazione non mi va a genio.	Your relationship doesn't suit me.	58d47759-1d41-5695-923a-74de3ec8de85	38	34
Mi raggiunse mentre aspettavo l'ascensore.	He joined me while I was waiting for the lift.	c8470baa-21c0-53f1-ac48-38035c798458	42	46
Tuo padre non voleva dire quello che ha detto.	Your father didn't mean what he said.	3dcdb2d7-f2f1-58a7-94a9-3943e5cee13b	46	37
È molto stressato negli ultimi tempi.	He's been very stressed lately.	3d16c0fc-bf50-5681-b8d8-4b161556bcd2	37	31
Mi prese la mano e la strinse.	He took my hand and shook it.	9dbbed73-bb84-56d9-939d-8c0241501107	30	29
Forse sei un po' troppo presa dalla cosa.	Maybe you're a little too into it.	b7e26ffd-6b6b-5c8a-87e5-3172316a3e03	41	34
Come pensi di riuscirci?	How are you going to do that?	d9482966-76b7-51ab-96f3-744ff736a7ed	24	29
Desideravo disperatamente tenerla in vita.	I desperately wanted to keep her alive.	9ac1944b-890c-5d8b-854d-3ddbb1cdb580	42	39
Aveva forza, e questo mi ha colpito.	He had strength, and that struck me.	67a8980b-5750-5a45-82b7-89f57c839f36	36	36
La sua forza mi ha impressionato.	His strength impressed me.	ea9540af-f273-5452-b142-aec0334f5aa9	33	26
Si sta allenando al fine di rafforzare le gambe.	She's exercising in order to strengthen her legs.	718dd408-e602-5327-8bc6-8e95ce7396f0	48	49
Si sta allenando per rendere le gambe più forti.	She's working out to make her legs stronger.	c1e2d082-952d-5774-854d-f6469b7b4264	48	44
Il lavoro dei campi richiede molta forza fisica.	Farm work requires a lot of physical strength.	800da840-b6e7-5293-823f-66a9d2e8ec73	48	46
La batteria del mio cellulare è morta.	My cellphone's battery is dead.	53c79753-7ea9-54ec-90ea-2b9018efc0a1	38	31
Ha usato tutta la sua forza per colpire la palla.	She used all of her strength to hit the ball.	83646127-3a10-5694-9c6c-e8781a30e842	49	45
Devi lavorare sulla tua autostima.	You need to work on your self-esteem.	eac6f64e-6c27-5f15-931c-50801e9114f1	34	37
Devi rinforzare la tua forza di volontà.	You need to strengthen your willpower.	df0c3be6-1799-5a29-bc0f-028ca08fbdf2	40	38
Le ho fatto promesse che non ho potuto mantenere.	I made promises to her that I couldn't keep.	14757d50-78ad-5268-941f-4ed8b923b054	49	44
Sospirò, asciugandosi il viso.	She sighed, wiping her face.	199d0d2c-e0b2-5746-99de-806b896b9944	30	28
Ero al settimo cielo.	I was over the moon.	197904dd-503d-5b41-89cc-92972f5354c6	21	20
