text_it	text_en	hash	text_it_length	text_en_length
Mary è sempre molto gentile, vero?	Mary is always very nice, isn't she?	286628a8-650d-5a1e-8ec0-ae3bbe46f225	34	36
Mary sta controllando i suoi messaggi.	Mary is checking her messages.	953660e7-e4e4-546c-be9d-5e733739824d	38	30
Mary parla spesso da sola.	Mary often talks to herself.	475fccde-9e15-5581-aec5-83787fbf1a2c	26	28
Mary ha detto che non lo farà.	Mary has said she won't do that.	e929c75c-2c68-5c30-9385-37088f45d370	30	32
Mary dice che non pensa che sarà possibile.	Mary says she doesn't think it's possible.	d9d32657-c95e-5b5a-8d34-657134418795	43	42
Mary ha detto a Tom che era spaventata.	Mary told Tom that she was scared.	457c81b8-5e9b-5744-8ac4-18cb499b1522	39	34
Mary disse a Tom che era spaventata.	Mary told Tom that she was scared.	e9ad9645-1fb3-5c22-991f-14692013a272	36	34
Mary mi ha dato tutto quello che aveva.	Mary gave me everything she had.	04d586f9-0859-59b2-b90b-7e71ab038814	39	32
Mary mi ha dato tutto ciò che aveva.	Mary gave me everything she had.	aeda2df2-0adf-52ce-bfe0-0c76bab596ce	36	32
Mary mi diede tutto quello che aveva.	Mary gave me everything she had.	3ec4cb69-2fc4-54e0-a6ad-ea5e465af1bd	37	32
Mary mi diede tutto ciò che aveva.	Mary gave me everything she had.	ce35e447-5591-5c1c-9ad5-08b6f63ef228	34	32
Mary ha detto che si sente stanca.	Mary said that she feels tired.	54d5e46c-003a-53da-ab8f-526e36d157b5	34	31
Mary ha detto di sentirsi stanca.	Mary said that she feels tired.	e4c6bf02-f03c-5ba5-888c-bc15117b7985	33	31
Lui lavorerà.	He'll work.	ec94bdac-d74f-5860-85c7-e16880a3ce3b	13	11
Qual è esattamente il tuo problema?	What exactly is your problem?	48e7e90d-6eb8-5ed2-b082-f31e4f514f14	35	29
Qual è esattamente il suo problema?	What exactly is your problem?	3585b2fc-67d7-5d0d-9652-34ecb39318da	35	29
Qual è esattamente il vostro problema?	What exactly is your problem?	5c1a667c-088d-5885-8401-0116cfcf9bfd	38	29
Mary ha detto che non era divertita.	Mary said that she wasn't amused.	eefb09db-a154-502f-9279-159ab48b98ce	36	33
Mary disse che non era divertita.	Mary said that she wasn't amused.	6d293de2-04bb-57fd-8d3a-fe6097025013	33	33
Mary è piuttosto ingenua, vero?	Mary is quite gullible, isn't she?	0f8a6f77-c6be-51dc-88b6-9d39b30ae0ed	31	34
Mary ha detto che stava per vincere.	Mary said she was going to win.	c752fb4c-c8c4-5cc9-96bd-b29321cbc688	36	31
Mary disse che stava per vincere.	Mary said she was going to win.	cfb3e987-f508-5da4-85d2-ad8d2d19276a	33	31
Mary sta ricevendo aiuto, vero?	Mary is getting help, isn't she?	e3295da8-4cb2-5460-b43f-a81170aa6d98	31	32
Mary mi ha detto che era interessata.	Mary told me that she was interested.	5082f733-77ea-5ae8-9223-22326cfe5630	37	37
Mary mi disse che era interessata.	Mary told me that she was interested.	6a8c223b-01ab-51e3-a8dd-358081a06376	34	37
Mary ha comprato tutto quello che voleva.	Mary bought everything she wanted.	772c4ef1-d981-54f4-b162-2ed9e8334a91	41	34
Mary ha comprato tutto ciò che voleva.	Mary bought everything she wanted.	06743d96-e616-5aae-9e4f-a51e1c97f745	38	34
Mary comprò tutto quello che voleva.	Mary bought everything she wanted.	6f0791dd-f3af-595d-9191-6fad43135062	36	34
Mary comprò tutto ciò che voleva.	Mary bought everything she wanted.	1a15232e-d080-5883-a5e8-83dc18a37731	33	34
Mary ha detto che a lei piaceva la mia idea.	Mary said that she liked my idea.	26d482da-966c-519b-8618-62c9a5672b9d	44	33
Mary disse che a lei piaceva la mia idea.	Mary said that she liked my idea.	85ed4ed2-296c-502d-a987-67add3207222	41	33
Mary mi ha detto che si sentiva stanca.	Mary told me she felt tired.	28877b8d-d29d-5588-9eb4-0173d21c344a	39	28
Mary mi disse che si sentiva stanca.	Mary told me she felt tired.	66e4cac4-24ef-5544-9c27-0276673cf9dc	36	28
Mary ha detto che non è stanca.	Mary said she isn't tired.	9ed38abf-2f23-5407-bc7b-927336cb8811	31	26
Mary ha detto di non essere stanca.	Mary said she isn't tired.	ccbab4cb-62e6-5a81-8d61-7be738e53d5c	35	26
Mary si sta sposando, vero?	Mary is getting married, isn't she?	2eb3ea27-67d5-5446-b6c3-84ad4195224c	27	35
Mary ha detto che voleva essere qui.	Mary said she wanted to be here.	2b6a0b95-aede-518a-81d9-5b3048c26f51	36	32
Mary ha detto che voleva essere qua.	Mary said she wanted to be here.	e7d619fb-205a-5b69-8c38-154b03dc0317	36	32
Mary disse che voleva essere qui.	Mary said she wanted to be here.	300eeb27-cda0-580c-aabd-5d1813e862ab	33	32
Mary disse che voleva essere qua.	Mary said she wanted to be here.	07115b0f-5306-5c67-bfda-f06b1fa4ccb5	33	32
Mary ha detto che le piace farlo.	Mary said that she enjoys doing that.	a980001a-dca1-592a-bdf6-3ee63f9763b4	33	37
Mary ha detto che a lei piace farlo.	Mary said that she enjoys doing that.	7a18ce53-1b2f-5a2b-81bb-9a46cea32d60	36	37
Mary è una persona intelligente, vero?	Mary is a smart person, isn't she?	6d728fd4-2343-5468-9f09-41b576515b06	38	34
