text_it	text_en	hash	text_it_length	text_en_length
Tom mi amava.	Tom loved me.	c604a76e-4be4-5e18-8cce-e189d7c261ac	13	13
A me viene spesso il raffreddore.	I often catch cold.	298fb1ad-4b83-54ab-b519-e632bda57bd5	33	19
Le sue speranze svanirono.	His hopes faded.	129a4695-c5fb-5c05-93d3-5e664a45b546	26	16
Le sue speranze sono svanite.	His hopes faded.	1c128194-9d16-5223-8e13-9519b1477f16	29	16
Di cosa avrebbe bisogno Tom?	What would Tom need?	53f4273d-8f2f-5524-b1f9-1fdb02df33c0	28	20
Cosa servirebbe a Tom?	What would Tom need?	d1f49c67-7c13-5270-b6db-dd8adf54afa9	22	20
Questo la fa arrabbiare.	This makes her angry.	c0f06bb2-48d0-5c50-9c5f-77949f387844	24	21
Ciò la fa arrabbiare.	This makes her angry.	c6265267-adaa-5fce-ac82-be20c85badd0	21	21
Non possono vedermi.	They can't see me.	50d7da2c-591e-5133-9b88-803e0b873aa2	20	18
Loro non possono vedermi.	They can't see me.	f2f2228c-dc3d-5ec8-86fb-7afba953434f	25	18
Non mi possono vedere.	They can't see me.	9c078d09-3c58-5675-9764-5b2c051262e5	22	18
Loro non mi possono vedere.	They can't see me.	52ce747a-3402-51c1-9024-f25218c60ad4	27	18
Non riescono a vedermi.	They can't see me.	400101c7-d860-5fc6-b423-162411f7ca7d	23	18
Loro non riescono a vedermi.	They can't see me.	93debad4-d1de-5278-a67d-546e55f2d69e	28	18
Non mi riescono a vedere.	They can't see me.	32f37ed3-81ad-5fed-8f0d-e356b219d1c9	25	18
Loro non mi riescono a vedere.	They can't see me.	3468712d-789b-5094-8e92-62a22fd630e1	30	18
Tom sta chiedendo come sia possibile.	Tom is asking how that's possible.	d2df5812-7a04-54ec-bdf6-8b0a2eb67458	37	34
Si è inginocchiata per pregare.	She went down on her knees to pray.	b7bd2220-d7f6-517d-96f4-fb689fc8c64b	31	35
Lei si è inginocchiata per pregare.	She went down on her knees to pray.	0fad552e-ed06-5212-be79-b2bcc0a0350b	35	35
Si inginocchiò per pregare.	She went down on her knees to pray.	20e9407a-318c-544a-8f57-639dd78cfe72	27	35
Lei si inginocchiò per pregare.	She went down on her knees to pray.	aa09991a-6d74-52a1-a394-dd1e3ad4ac0e	31	35
Ho trascorso molto tempo a Boston.	I spend a lot of time in Boston.	3f7aad16-f2f9-54f2-af77-e766bf1d9fcb	34	32
Io ho trascorso molto tempo a Boston.	I spend a lot of time in Boston.	df6be824-0d11-5e31-a3dd-ab4f1bd334bf	37	32
Ho passato molto tempo a Boston.	I spend a lot of time in Boston.	a938435a-6e05-5ebc-ae3a-85b3d284696b	32	32
Io ho passato molto tempo a Boston.	I spend a lot of time in Boston.	0ace2be0-0fb7-5928-938c-19e875357900	35	32
Suo padre amministra alcune aziende.	His father administers some companies.	e3de87c2-b62e-5b74-9508-bc2abe051dd4	36	38
Suo padre amministra alcune ditte.	His father administers some companies.	b0985018-bcf1-5a76-a06c-d1c6d9db99e8	34	38
Tom sta diventando bianco.	Tom is turning white.	5c45a02f-7acc-5204-bae0-9101ac564085	26	21
Tom sta sbiancando.	Tom is turning white.	3e27345a-a330-5866-b225-c8facb372497	19	21
Ha cambiato tutto.	That changed everything.	4b6345c8-ae11-5177-af19-25df3f910fb8	18	24
Nessuno era presente.	No one was present.	58ef0606-f2bb-5ecc-9065-177f8905b923	21	19
Non vuoi rispondere?	Do you not want to respond?	204624f4-b506-5b88-8f96-c433fc806dcd	20	27
Non so quando tornerà Tom.	I don't know when Tom will be back.	155bcc82-6186-558f-8121-3f4b444690b2	26	35
Io non so quando tornerà Tom.	I don't know when Tom will be back.	569c6a03-cc14-5331-91a2-465f04a2823f	29	35
Non lo so quando tornerà Tom.	I don't know when Tom will be back.	21de1977-237e-5b9b-8c66-033b8e2a4c4c	29	35
Io non lo so quando tornerà Tom.	I don't know when Tom will be back.	7d74c54b-a786-5074-81a6-2149b277d293	32	35
È sbagliata l'idea?	Is the idea wrong?	76c57c40-730c-53ee-bdf1-03214d72c94e	19	18
Sono arrivato in Cina.	I arrived in China.	5b1b6965-34a9-5f2f-bcda-4027578e86b3	22	19
Io sono arrivato in Cina.	I arrived in China.	88cfad31-4a82-5998-81ff-e834e0cb4943	25	19
Sono arrivata in Cina.	I arrived in China.	5dba59a7-b669-54e2-8e8e-3d38c87a036a	22	19
Io sono arrivata in Cina.	I arrived in China.	52aed8cb-4cb5-5cc8-941b-92d524605f88	25	19
Perché sei lì?	Why are you there?	98730aaf-9574-5750-babd-584d362f1dfa	14	18
Provavamo.	We tried.	69cf2019-ac9f-5a0a-a73d-151309b37684	10	9
Noi provavamo.	We tried.	7fba40bd-e88e-5154-b9cc-22527a9ebe10	14	9
