token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO049	0	okay	okay	linguistic	_	Begin=0.32|End=0.755	_	_	_	_
1-0	BO049	1	allora,	allora	linguistic	Intonation=weakly_rising	Begin=1.38|End=1.777	_	_	_	_
2-0	BO049	2	ciao	ciao	linguistic	_	Begin=2.029	_	_	_	_
2-1	BO049	2	((ride))	((ride))	nonverbalbehavior	_	_	_	_	_	_
2-2	BO049	2	come	come	linguistic	_	_	_	_	_	_
2-3	BO049	2	stai?	stai	linguistic	Intonation=Rising	End=4.125	_	_	_	_
3-0	BO053	3	bene,	bene	linguistic	Intonation=weakly_rising	Begin=4.32|End=4.647	_	_	_	_
4-0	BO049	4	allo~	allo~	linguistic	Interrupted=Yes	Begin=5.7	_	_	_	_
4-1	BO049	4	puoi	puoi	linguistic	_	_	_	_	_	_
4-2	BO049	4	parlare	parlare	linguistic	_	_	_	_	_	_
4-3	BO049	4	anche	anche	linguistic	_	_	_	_	_	_
4-4	BO049	4	di	di	linguistic	_	_	_	_	_	_
4-5	BO049	4	più	più	linguistic	_	_	_	_	_	_
4-6	BO049	4	eh	eh	linguistic	_	_	_	_	_	_
4-7	BO049	4	di	di	linguistic	_	_	_	_	_	_
4-8	BO049	4	bene	bene	linguistic	_	_	_	_	_	_
4-9	BO049	4	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
4-10	BO049	4	comunque	comunque	linguistic	_	_	_	_	_	_
4-11	BO049	4	[eh	eh	linguistic	_	_	_	_	_	0-2(0)
4-12	BO049	4	in]tanto	intanto	linguistic	_	_	_	_	_	0-2(0)
4-13	BO049	4	il	il	linguistic	_	_	_	_	_	_
4-14	BO049	4	registratore	registratore	linguistic	_	_	_	_	_	_
4-15	BO049	4	è	è	linguistic	_	_	_	_	_	_
4-16	BO049	4	partito	partito	linguistic	_	End=11.136	_	_	_	_
5-0	BO053	5	[molto	molto	linguistic	_	Begin=8.693	_	_	_	0-5(0)
5-1	BO053	5	bene]	bene	linguistic	_	End=9.252	_	_	_	0-4(0)
6-0	BO049	6	inna[nzi]tutto,	innanzitutto	linguistic	Intonation=weakly_rising	Begin=12.386|End=13.315	_	_	_	4-7(1)
7-0	BO053	7	[xxx]	x	unknown	_	Begin=12.513|End=13.248	_	_	_	0-3(1)
8-0	BO049	8	dove	dove	linguistic	_	Begin=14.378	_	_	_	_
8-1	BO049	8	studi?	studi	linguistic	Intonation=Rising	End=15.118	_	_	_	_
9-0	BO053	9	studio	studio	linguistic	_	Begin=15.736	_	_	_	_
9-1	BO053	9	a	a	linguistic	_	_	_	_	_	_
9-2	BO053	9	bolo:gna,	bologna	linguistic	Intonation=weakly_rising	End=16.496	3x1	_	_	_
10-0	BO049	10	e::	e	linguistic	_	Begin=16.796	0x2	_	_	_
10-1	BO049	10	cosa	cosa	linguistic	_	_	_	_	_	_
10-2	BO049	10	studi?	studi	linguistic	Intonation=Rising	End=17.58	_	_	_	_
11-0	BO053	11	studio:::	studio	linguistic	_	Begin=17.761	5x3	_	_	_
11-1	BO053	11	scienze	scienze	linguistic	_	_	_	_	_	_
11-2	BO053	11	motorie,	motorie	linguistic	Intonation=weakly_rising	_	_	_	_	_
11-3	BO053	11	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
11-4	BO053	11	sono::	sono	linguistic	_	_	3x2	_	_	_
11-5	BO053	11	ormai	ormai	linguistic	_	_	_	_	_	_
11-6	BO053	11	fuori	fuori	linguistic	_	_	_	_	_	_
11-7	BO053	11	corso,	corso	linguistic	Intonation=weakly_rising	End=22.083	_	_	_	_
12-0	BO053	12	e	e	linguistic	_	Begin=23.117	_	_	_	_
12-1	BO053	12	quindi:::	quindi	linguistic	_	_	5x3	_	_	_
12-2	BO053	12	insomma	insomma	linguistic	_	End=25.631	_	_	_	_
13-0	BO053	13	la	la	linguistic	_	Begin=27.113	_	_	_	_
13-1	BO053	13	mia	mia	linguistic	_	_	_	_	_	_
13-2	BO053	13	vita:::	vita	linguistic	_	_	3x3	_	_	_
13-3	BO053	13	da	da	linguistic	_	_	_	_	_	_
13-4	BO053	13	studente	studente	linguistic	_	_	_	_	_	_
13-5	BO053	13	non	non	linguistic	_	_	_	_	_	_
13-6	BO053	13	è:::	è	linguistic	_	End=29.808	0x3	_	_	_
14-0	BO053	14	diciamo	diciamo	linguistic	_	Begin=30.31	_	_	_	_
14-1	BO053	14	non	non	linguistic	_	_	_	_	_	_
14-2	BO053	14	è	è	linguistic	_	_	_	_	_	_
14-3	BO053	14	delle	delle	linguistic	_	_	_	_	_	_
14-4	BO053	14	migliori,	migliori	linguistic	Intonation=weakly_rising	_	_	_	_	_
14-5	BO053	14	però::::	però	linguistic	_	_	3x4	_	_	_
14-6	BO053	14	mi	mi	linguistic	_	_	_	_	_	_
14-7	BO053	14	diverto	diverto	linguistic	_	_	_	_	_	_
14-8	BO053	14	molto	molto	linguistic	_	_	_	_	_	_
14-9	BO053	14	[e::]:::	e	linguistic	_	End=36.337	0x5	_	_	0-1(2)
15-0	BO049	15	[beh]	beh	linguistic	_	Begin=34.938|End=35.39	_	_	_	0-3(2)
16-0	BO053	16	non	non	linguistic	_	Begin=37.027	_	_	_	_
16-1	BO053	16	so	so	linguistic	_	_	_	_	_	_
16-2	BO053	16	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
16-3	BO053	16	cosa::	cosa	linguistic	_	End=38.62	3x2	_	_	_
17-0	BO049	17	tranquillo	tranquillo	linguistic	_	Begin=39.149	_	_	_	_
17-1	BO049	17	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
17-2	BO049	17	e::	e	linguistic	_	_	0x2	_	_	_
17-3	BO049	17	hai	hai	linguistic	_	_	_	_	_	_
17-4	BO049	17	mai	mai	linguistic	_	_	_	_	_	_
17-5	BO049	17	vissuto	vissuto	linguistic	_	_	_	_	_	_
17-6	BO049	17	a	a	linguistic	_	_	_	_	_	_
17-7	BO049	17	bologna?	bologna	linguistic	Intonation=Rising	End=41.63	_	_	_	_
18-0	BO053	18	no	no	linguistic	_	Begin=41.936	_	_	_	_
18-1	BO053	18	non	non	linguistic	_	_	_	_	_	_
18-2	BO053	18	ho	ho	linguistic	_	_	_	_	_	_
18-3	BO053	18	mai	mai	linguistic	_	_	_	_	_	_
18-4	BO053	18	vissuto	vissuto	linguistic	_	_	_	_	_	_
18-5	BO053	18	e::	e	linguistic	_	_	0x2	_	_	_
18-6	BO053	18	faccio	faccio	linguistic	_	_	_	_	_	_
18-7	BO053	18	il	il	linguistic	_	_	_	_	_	_
18-8	BO053	18	pendola::re	pendolare	linguistic	_	_	6x2	_	_	_
18-9	BO053	18	e::	e	linguistic	_	_	0x2	_	_	_
18-10	BO053	18	vivo	vivo	linguistic	_	_	_	_	_	_
18-11	BO053	18	a	a	linguistic	_	_	_	_	_	_
18-12	BO053	18	@nomepaese	@nomepaese	linguistic	_	End=47.569	_	_	_	_
19-0	BO049	19	sì	sì	linguistic	_	Begin=48.308	_	_	_	_
19-1	BO049	19	[sì]	sì	linguistic	_	End=48.636	_	_	_	0-2(3)
20-0	BO053	20	[vivo]	vivo	linguistic	_	Begin=48.469	_	_	_	0-4(3)
20-1	BO053	20	a	a	linguistic	_	_	_	_	_	_
20-2	BO053	20	@nomepaese	@nomepaese	linguistic	_	_	_	_	_	_
20-3	BO053	20	eh::	eh	linguistic	_	_	1x2	_	_	_
20-4	BO053	20	quindi::	quindi	linguistic	_	_	5x2	_	_	_
20-5	BO053	20	prendo::	prendo	linguistic	_	_	5x2	_	_	_
20-6	BO053	20	prendo	prendo	linguistic	_	_	_	_	_	_
20-7	BO053	20	il	il	linguistic	_	_	_	_	_	_
20-8	BO053	20	treno	treno	linguistic	_	_	_	_	_	_
20-9	BO053	20	per	per	linguistic	_	_	_	_	_	_
20-10	BO053	20	andare:	andare	linguistic	_	_	5x1	_	_	_
20-11	BO053	20	a	a	linguistic	_	_	_	_	_	_
20-12	BO053	20	lezione	lezione	linguistic	_	_	_	_	_	_
20-13	BO053	20	e	e	linguistic	_	_	_	_	_	_
20-14	BO053	20	a	a	linguistic	_	_	_	_	_	_
20-15	BO053	20	dare	dare	linguistic	_	_	_	_	_	_
20-16	BO053	20	i	i	linguistic	_	_	_	_	_	_
20-17	BO053	20	pochi	pochi	linguistic	_	_	_	_	_	_
