token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	T0032	0	okay	okay	linguistic	_	Begin=1.38	_	_	_	_
0-1	T0032	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-2	T0032	0	allora	allora	linguistic	_	_	_	_	_	_
0-3	T0032	0	la	la	linguistic	_	_	_	_	_	_
0-4	T0032	0	facciamo	facciamo	linguistic	_	_	_	_	_	_
0-5	T0032	0	veramente	veramente	linguistic	_	_	_	_	_	_
0-6	T0032	0	così	così	linguistic	_	End=3.406	_	_	_	_
1-0	T0032	1	comunque	comunque	linguistic	_	Begin=13.346	_	_	_	_
1-1	T0032	1	non	non	linguistic	_	_	_	_	_	_
1-2	T0032	1	ho	ho	linguistic	_	_	_	_	_	_
1-3	T0032	1	capito	capito	linguistic	_	_	_	_	_	_
1-4	T0032	1	perché	perché	linguistic	_	_	_	_	_	_
1-5	T0032	1	devi	devi	linguistic	_	_	_	_	_	_
1-6	T0032	1	cercare	cercare	linguistic	_	_	_	_	_	_
1-7	T0032	1	di	di	linguistic	_	_	_	_	_	_
1-8	T0032	1	decifrare	decifrare	linguistic	_	_	_	_	_	_
1-9	T0032	1	mia	mia	linguistic	_	_	_	_	_	_
1-10	T0032	1	mio	mio	linguistic	_	_	_	_	_	_
1-11	T0032	1	cugino	cugino	linguistic	_	End=17.04	_	_	_	_
2-0	TO030	2	no	no	linguistic	_	Begin=17.503	_	_	_	_
2-1	TO030	2	niente	niente	linguistic	_	_	_	_	_	_
2-2	TO030	2	non	non	linguistic	_	_	_	_	_	_
2-3	TO030	2	lo	lo	linguistic	_	_	_	_	_	_
2-4	TO030	2	so	so	linguistic	_	_	_	_	_	_
2-5	TO030	2	è	è	linguistic	_	_	_	_	_	_
2-6	TO030	2	un	un	linguistic	_	_	_	_	_	_
2-7	TO030	2	buono	buono	linguistic	_	_	_	_	_	_
2-8	TO030	2	studio	studio	linguistic	_	_	_	_	_	_
2-9	TO030	2	sociale	sociale	linguistic	_	End=20.442	_	_	_	_
3-0	T0032	3	è	è	linguistic	_	Begin=20.442	_	_	_	_
3-1	T0032	3	un	un	linguistic	_	_	_	_	_	_
3-2	T0032	3	buono	buono	linguistic	_	_	_	_	_	_
3-3	T0032	3	studio	studio	linguistic	_	_	_	_	_	_
3-4	T0032	3	sociale	sociale	linguistic	_	_	_	_	_	_
3-5	T0032	3	sì	sì	linguistic	_	_	_	_	_	_
3-6	T0032	3	abbastanza	abbastanza	linguistic	_	End=22.585	_	_	_	_
4-0	TO030	4	comunque	comunque	linguistic	_	Begin=25.439	_	_	_	_
4-1	TO030	4	ieri	ieri	linguistic	_	_	_	_	_	_
4-2	TO030	4	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
4-3	TO030	4	inter	inter	linguistic	_	_	_	_	_	_
4-4	TO030	4	ha	ha	linguistic	_	_	_	_	_	_
4-5	TO030	4	vinto	vinto	linguistic	_	End=26.961	_	_	_	_
5-0	T0032	5	sì?	sì	linguistic	Intonation=Rising	Begin=27.496	_	_	_	_
5-1	T0032	5	quanto?	quanto	linguistic	Intonation=Rising	End=28.44	_	_	_	_
6-0	TO030	6	tre	tre	linguistic	_	Begin=28.585	_	_	_	_
6-1	TO030	6	a	a	linguistic	_	_	_	_	_	_
6-2	TO030	6	uno	uno	linguistic	_	End=29.282	_	_	_	_
7-0	T0032	7	contro?	contro	linguistic	Intonation=Rising	Begin=29.445|End=30.003	_	_	_	_
8-0	TO030	8	la	la	linguistic	_	Begin=30.003	_	_	_	_
8-1	TO030	8	lazio	lazio	linguistic	_	End=30.784	_	_	_	_
9-0	T0032	9	ma	ma	linguistic	_	Begin=32.926	_	_	_	_
9-1	T0032	9	vedi	vedi	linguistic	_	_	_	_	_	_
9-2	T0032	9	questi	questi	linguistic	_	_	_	_	_	_
9-3	T0032	9	cioè	cioè	linguistic	_	End=34.137	_	_	_	_
10-0	TO030	10	ma	ma	linguistic	_	Begin=34.408	_	_	_	_
10-1	TO030	10	a	a	linguistic	_	_	_	_	_	_
10-2	TO030	10	caso	caso	linguistic	_	_	_	_	_	_
10-3	TO030	10	eh	eh	linguistic	_	_	_	_	_	_
10-4	TO030	10	a	a	linguistic	_	_	_	_	_	_
10-5	TO030	10	caso	caso	linguistic	_	_	_	_	_	_
10-6	TO030	10	sono	sono	linguistic	_	_	_	_	_	_
10-7	TO030	10	vittorie	vittorie	linguistic	_	_	_	_	_	_
10-8	TO030	10	completamente	completamente	linguistic	_	_	_	_	_	_
10-9	TO030	10	a	a	linguistic	_	_	_	_	_	_
10-10	TO030	10	caso	caso	linguistic	_	End=37.94	_	_	_	_
11-0	T0032	11	ma	ma	linguistic	_	Begin=38.597	_	_	_	_
11-1	T0032	11	è	è	linguistic	_	_	_	_	_	_
11-2	T0032	11	tutto	tutto	linguistic	_	_	_	_	_	_
11-3	T0032	11	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
11-4	T0032	11	anno	anno	linguistic	_	_	_	_	_	_
11-5	T0032	11	cioè	cioè	linguistic	_	_	_	_	_	_
11-6	T0032	11	dio	dio	linguistic	_	_	_	_	_	_
11-7	T0032	11	bono	bono	linguistic	_	End=40.888	_	_	_	_
12-0	T0032	12	vinci	vinci	linguistic	_	Begin=41.966	_	_	_	_
12-1	T0032	12	contro	contro	linguistic	_	_	_	_	_	_
12-2	T0032	12	la	la	linguistic	_	_	_	_	_	_
12-3	T0032	12	juve,	juve	linguistic	Intonation=weakly_rising	_	_	_	_	_
12-4	T0032	12	perdi	perdi	linguistic	_	_	_	_	_	_
12-5	T0032	12	contro	contro	linguistic	_	_	_	_	_	_
12-6	T0032	12	il	il	linguistic	_	_	_	_	_	_
12-7	T0032	12	sassuolo,	sassuolo	linguistic	Intonation=weakly_rising	_	_	_	_	_
12-8	T0032	12	perdi	perdi	linguistic	_	_	_	_	_	_
12-9	T0032	12	con	con	linguistic	_	_	_	_	_	_
12-10	T0032	12	il	il	linguistic	_	_	_	_	_	_
12-11	T0032	12	genova,	genova	linguistic	Intonation=weakly_rising	_	_	_	_	_
12-12	T0032	12	vinci	vinci	linguistic	_	_	_	_	_	_
12-13	T0032	12	con	con	linguistic	_	_	_	_	_	_
12-14	T0032	12	la	la	linguistic	_	_	_	_	_	_
12-15	T0032	12	lazio	lazio	linguistic	_	End=46.753	_	_	_	_
13-0	T0032	13	e:::h	eh	linguistic	_	Begin=52.209|End=53.286	0x3	_	_	_
14-0	T0032	14	credo	credo	linguistic	_	Begin=68.843	_	_	_	_
14-1	T0032	14	che	che	linguistic	_	_	_	_	_	_
14-2	T0032	14	potremmo	potremmo	linguistic	_	_	_	_	_	_
14-3	T0032	14	aprire	aprire	linguistic	_	_	_	_	_	_
14-4	T0032	14	un	un	linguistic	_	_	_	_	_	_
14-5	T0032	14	nostro	nostro	linguistic	_	_	_	_	_	_
14-6	T0032	14	ristorante	ristorante	linguistic	_	_	_	_	_	_
14-7	T0032	14	x	x	unknown	_	_	_	_	_	_
14-8	T0032	14	xxxx	x	unknown	_	_	_	_	_	_
14-9	T0032	14	comunque	comunque	linguistic	_	End=72.406	_	_	_	_
15-0	TO030	15	ristorante	ristorante	linguistic	_	Begin=72.933|End=73.846	_	_	_	_
16-0	T0032	16	e	e	linguistic	_	Begin=88.718	_	_	_	_
16-1	T0032	16	la	la	linguistic	_	_	_	_	_	_
16-2	T0032	16	svolta,	svolta	linguistic	Intonation=weakly_rising	_	_	_	_	_
16-3	T0032	16	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
16-4	T0032	16	è	è	linguistic	_	_	_	_	_	_
16-5	T0032	16	stata	stata	linguistic	_	_	_	_	_	_
16-6	T0032	16	quando	quando	linguistic	_	_	_	_	_	_
16-7	T0032	16	io,	io	linguistic	Intonation=weakly_rising	_	_	_	_	_
16-8	T0032	16	ho	ho	linguistic	_	_	_	_	_	_
16-9	T0032	16	capito	capito	linguistic	_	_	_	_	_	_
16-10	T0032	16	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
16-11	T0032	16	io	io	linguistic	_	End=92.499	_	_	_	_
17-0	T0032	17	senza	senza	linguistic	_	Begin=93.098	_	_	_	_
17-1	T0032	17	fare	fare	linguistic	_	_	_	_	_	_
17-2	T0032	17	nomi	nomi	linguistic	_	_	_	_	_	_
17-3	T0032	17	io	io	linguistic	_	_	_	_	_	_
17-4	T0032	17	ho	ho	linguistic	_	_	_	_	_	_
17-5	T0032	17	capito	capito	linguistic	_	End=95.353	_	_	_	_
18-0	T0032	18	che	che	linguistic	_	Begin=96.213	_	_	_	_
18-1	T0032	18	si	si	linguistic	_	_	_	_	_	_
18-2	T0032	18	poteva	poteva	linguistic	_	_	_	_	_	_
18-3	T0032	18	non	non	linguistic	_	_	_	_	_	_
18-4	T0032	18	mettere	mettere	linguistic	_	_	_	_	_	_
18-5	T0032	18	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
18-6	T0032	18	olio	olio	linguistic	_	_	_	_	_	_
18-7	T0032	18	nella	nella	linguistic	_	_	_	_	_	_
18-8	T0032	18	padella	padella	linguistic	_	End=98.536	_	_	_	_
19-0	TO030	19	ma	ma	linguistic	_	Begin=100.357	_	_	_	_
19-1	TO030	19	in	in	linguistic	_	_	_	_	_	_
19-2	TO030	19	realtà	realtà	linguistic	_	_	_	_	_	_
19-3	TO030	19	io::	io	linguistic	_	End=101.819	1x2	_	_	_
20-0	T0032	20	lo	lo	linguistic	_	Begin=102.485	_	_	_	_
20-1	T0032	20	sospettavi	sospettavi	linguistic	_	End=103.747	_	_	_	_
21-0	TO030	21	no:::	no	linguistic	_	Begin=103.819	1x3	_	_	_
21-1	TO030	21	perché	perché	linguistic	_	_	_	_	_	_
21-2	TO030	21	io	io	linguistic	_	_	_	_	_	_
21-3	TO030	21	le	le	linguistic	_	_	_	_	_	_
21-4	TO030	21	prime	prime	linguistic	_	_	_	_	_	_
21-5	TO030	21	volte	volte	linguistic	_	_	_	_	_	_
21-6	TO030	21	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
21-7	TO030	21	olio	olio	linguistic	_	_	_	_	_	_
21-8	TO030	21	lo	lo	linguistic	_	_	_	_	_	_
21-9	TO030	21	mettevo	mettevo	linguistic	_	_	_	_	_	_
21-10	TO030	21	cioè	cioè	linguistic	_	_	_	_	_	_
21-11	TO030	21	la	la	linguistic	_	_	_	_	_	_
21-12	TO030	21	carbonara	carbonara	linguistic	_	_	_	_	_	_
21-13	TO030	21	più	più	linguistic	_	_	_	_	_	_
21-14	TO030	21	buona	buona	linguistic	_	_	_	_	_	_
21-15	TO030	21	che	che	linguistic	_	_	_	_	_	_
21-16	TO030	21	ho	ho	linguistic	_	_	_	_	_	_
21-17	TO030	21	mai	mai	linguistic	_	_	_	_	_	_
21-18	TO030	21	fatto	fatto	linguistic	_	_	_	_	_	_
21-19	TO030	21	è	è	linguistic	_	_	_	_	_	_
21-20	TO030	21	la	la	linguistic	_	_	_	_	_	_
21-21	TO030	21	primissima	primissima	linguistic	_	_	_	_	_	_
21-22	TO030	21	che	che	linguistic	_	_	_	_	_	_
21-23	TO030	21	ho	ho	linguistic	_	_	_	_	_	_
21-24	TO030	21	[fatto]	fatto	linguistic	_	End=110.119	_	_	_	0-5(0)
22-0	T0032	22	[ma	ma	linguistic	_	Begin=109.771	_	_	_	0-2(0)
22-1	T0032	22	se]condo	secondo	linguistic	_	_	_	_	_	0-2(0)
22-2	T0032	22	me	me	linguistic	_	_	_	_	_	_
22-3	T0032	22	è	è	linguistic	_	_	_	_	_	_
22-4	T0032	22	un'	un'	linguistic	SpaceAfter=No	_	_	_	_	_
22-5	T0032	22	impressione	impressione	linguistic	_	End=111.46	_	_	_	_
23-0	TO030	23	dici	dici	linguistic	_	Begin=111.845	_	_	_	_
23-1	TO030	23	che	che	linguistic	_	_	_	_	_	_
23-2	TO030	23	è	è	linguistic	_	_	_	_	_	_
23-3	TO030	23	un'	un'	linguistic	SpaceAfter=No	_	_	_	_	_
23-4	TO030	23	impressione?	impressione	linguistic	Intonation=Rising	End=113.145	_	_	_	_
24-0	T0032	24	sì	sì	linguistic	_	Begin=113.145|End=113.674	_	_	_	_
25-0	T0032	25	anch'	anch'	linguistic	SpaceAfter=No	Begin=115.427	_	_	_	_
25-1	T0032	25	io	io	linguistic	_	_	_	_	_	_
25-2	T0032	25	farò	farò	linguistic	_	_	_	_	_	_
25-3	T0032	25	delle	delle	linguistic	_	_	_	_	_	_
25-4	T0032	25	omelettes	omelettes	linguistic	_	_	_	_	_	_
25-5	T0032	25	migliori	migliori	linguistic	_	_	_	_	_	_
25-6	T0032	25	ma	ma	linguistic	_	_	_	_	_	_
25-7	T0032	25	penserò	penserò	linguistic	_	_	_	_	_	_
25-8	T0032	25	sempre	sempre	linguistic	_	_	_	_	_	_
25-9	T0032	25	che	che	linguistic	_	_	_	_	_	_
25-10	T0032	25	la	la	linguistic	_	_	_	_	_	_
25-11	T0032	25	prima	prima	linguistic	_	_	_	_	_	_
25-12	T0032	25	sia	sia	linguistic	_	_	_	_	_	_
25-13	T0032	25	la	la	linguistic	_	_	_	_	_	_
25-14	T0032	25	migliore	migliore	linguistic	_	End=120.519	_	_	_	_
26-0	TO030	26	ma	ma	linguistic	_	Begin=120.59	_	_	_	_
26-1	TO030	26	dici?	dici	linguistic	Intonation=Rising	_	_	_	_	_
26-2	TO030	26	ma	ma	linguistic	_	_	_	_	_	_
26-3	TO030	26	secondo	secondo	linguistic	_	_	_	_	_	_
26-4	TO030	26	me	me	linguistic	_	_	_	_	_	_
26-5	TO030	26	la	la	linguistic	_	_	_	_	_	_
26-6	TO030	26	prima	prima	linguistic	_	_	_	_	_	_
26-7	TO030	26	era	era	linguistic	_	_	_	_	_	_
26-8	TO030	26	venuta	venuta	linguistic	_	_	_	_	_	_
26-9	TO030	26	perfetta	perfetta	linguistic	_	End=123.706	_	_	_	_
27-0	TO030	27	allora	allora	linguistic	_	Begin=127.958	_	_	_	_
27-1	TO030	27	il	il	linguistic	_	_	_	_	_	_
27-2	TO030	27	proble::ma,	problema	linguistic	Intonation=weakly_rising	End=129.056	5x2	_	_	_
28-0	TO030	28	è	è	linguistic	_	Begin=129.473	_	_	_	_
28-1	TO030	28	che	che	linguistic	_	_	_	_	_	_
28-2	TO030	28	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
28-3	TO030	28	uo::vo,	uovo	linguistic	Intonation=weakly_rising	_	1x2	_	_	_
28-4	TO030	28	ecco	ecco	linguistic	_	_	_	_	_	_
28-5	TO030	28	ecco	ecco	linguistic	_	_	_	_	_	_
28-6	TO030	28	è	è	linguistic	_	_	_	_	_	_
