part_of_speech,base_word_italian,english,italian,topics,base_word_english
adjective,blu,blue,blu,[color],blue
adjective,azzurro,light blue,azzurro,[color],light blue
adjective,azzurro,light blue,azzurra,[color],light blue
adjective,rosso,red,rosso,[color],red
adjective,rosso,red,rossa,[color],red
adjective,verde,green,verde,[color],green
adjective,giallo,yellow,giallo,[color],yellow
adjective,giallo,yellow,gialla,[color],yellow
adjective,nero,black,nero,[color],black
adjective,nero,black,nera,[color],black
adjective,bianco,white,bianco,[color],white
adjective,bianco,white,bianca,[color],white
adjective,viola,purple,viola,[color],purple
adjective,rosa,pink,rosa,[color],pink
adjective,arancione,orange,arancione,[color],orange
adjective,grigio,gray,grigio,[color],gray
adjective,grigio,gray,grigia,[color],gray
adjective,marrone,brown,marrone,[color],brown
adjective,economico,cheap,economico,[cost],cheap
adjective,economico,cheap,economica,[cost],cheap
adjective,caro,expensive,caro,[cost],expensive
adjective,caro,expensive,cara,[cost],expensive
adjective,gratuito,free,gratuito,[cost],free
adjective,gratuito,free,gratuita,[cost],free
adjective,conveniente,affordable,conveniente,[cost],affordable
adjective,costoso,costly,costoso,[cost],costly
adjective,costoso,costly,costosa,[cost],costly
adjective,scontato,discounted,scontato,[cost],discounted
adjective,scontato,discounted,scontata,[cost],discounted
adjective,lussuoso,luxurious,lussuoso,[cost],luxurious
adjective,lussuoso,luxurious,lussuosa,[cost],luxurious
adjective,inestimabile,priceless,inestimabile,[cost],priceless
adjective,ragionevole,reasonable,ragionevole,[cost],reasonable
adjective,troppo caro,overpriced,troppo caro,[cost],overpriced
adjective,troppo caro,overpriced,troppo cara,[cost],overpriced
adjective,felice,happy,felice,[emotion],happy
adjective,triste,sad,triste,[emotion],sad
adjective,arrabbiato,angry,arrabbiato,[emotion],angry
adjective,arrabbiato,angry,arrabbiata,[emotion],angry
adjective,eccitato,excited,eccitato,[emotion],excited
adjective,eccitato,excited,eccitata,[emotion],excited
adjective,annoiato,bored,annoiato,[emotion],bored
adjective,annoiato,bored,annoiata,[emotion],bored
adjective,nervoso,nervous,nervoso,[emotion],nervous
adjective,nervoso,nervous,nervosa,[emotion],nervous
adjective,calmo,calm,calmo,[emotion],calm
adjective,calmo,calm,calma,[emotion],calm
adjective,stanco,tired,stanco,[emotion],tired
adjective,stanco,tired,stanca,[emotion],tired
adjective,sorpreso,surprised,sorpreso,[emotion],surprised
adjective,sorpreso,surprised,sorpresa,[emotion],surprised
adjective,buono,good,buono,[general],good
adjective,buono,good,buona,[general],good
adjective,buono,good,buoni,[general],good
adjective,buono,good,buone,[general],good
adjective,cattivo,bad,cattivo,[general],bad
adjective,cattivo,bad,cattiva,[general],bad
adjective,cattivo,bad,cattivi,[general],bad
adjective,cattivo,bad,cattive,[general],bad
adjective,grande,big,grande,[general],big
