category,sub_category,definition_en,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_term,combined_hash,combined_audio_file,english_text,english_hash,english_audio_file,english_voice_name,english_speaking_rate,english_pitch,english_duration_ms,italian_text,italian_hash,italian_audio_file,italian_voice_name,italian_speaking_rate,italian_pitch,italian_duration_ms
adjective,color,Color of clear sky,bloo,,,,1,adjective,,The ocean is blue today.,L'oceano è blu oggi.,"azzurro, celeste",,blu,f0f510329dd4cbaaa45909c714f20802ce249ce0d98786ac39ab4c3f69d069ce,category_data/audio/adjective_color/f0f510329dd4cbaaa45909c714f20802ce249ce0d98786ac39ab4c3f69d069ce.mp3,blue,2916e2cecccb18c137b27e6fb9096c3afb5c4a622e538b87f7d1e8e4e08091d5,data/audio/2916e2cecccb18c137b27e6fb9096c3afb5c4a622e538b87f7d1e8e4e08091d5.mp3,en-US-Wavenet-D,1.0,0,768,blu,bc82cad0c5d879a22aa4c9138163b2803adb229167c40cf05800d055194e2455,data/audio/bc82cad0c5d879a22aa4c9138163b2803adb229167c40cf05800d055194e2455.mp3,it-IT-Wavenet-D,0.75,0,696
adjective,color,Pale blue color,ahd-DZOOR-roh,singular,,masculine,1,adjective,,He bought a light blue shirt.,Ha comprato una camicia azzurra.,"blu, celeste",,azzurro,d64a408e339c9d6e2989a5200b09454a367ab6da2df6213328a81d4bae77a70d,category_data/audio/adjective_color/d64a408e339c9d6e2989a5200b09454a367ab6da2df6213328a81d4bae77a70d.mp3,light blue,e68730fb76cfb9fb23cdf9fc2d6f599ad0b3e20940a3693ee1d02f841784eeed,data/audio/e68730fb76cfb9fb23cdf9fc2d6f599ad0b3e20940a3693ee1d02f841784eeed.mp3,en-US-Wavenet-D,1.0,0,1152,azzurro,eddc7d2eee1900a2735302571579db96d7c8c965a0de99b618b59e4db88f0732,data/audio/eddc7d2eee1900a2735302571579db96d7c8c965a0de99b618b59e4db88f0732.mp3,it-IT-Wavenet-D,0.75,0,1152
adjective,color,Pale blue color,ahd-DZOOR-rah,singular,,feminine,1,adjective,,She has a light blue skirt.,Lei ha una gonna azzurra.,"blu, celeste",,azzurro,55aa7c6e3007923967725875f1a0786b8b5c96c1ba1d3c47953b0f3b8b0fc57d,category_data/audio/adjective_color/55aa7c6e3007923967725875f1a0786b8b5c96c1ba1d3c47953b0f3b8b0fc57d.mp3,light blue,e68730fb76cfb9fb23cdf9fc2d6f599ad0b3e20940a3693ee1d02f841784eeed,data/audio/e68730fb76cfb9fb23cdf9fc2d6f599ad0b3e20940a3693ee1d02f841784eeed.mp3,en-US-Wavenet-D,1.0,0,1152,azzurra,6d4a0ce07ccebd5eb81aed1824b1ccacd2213740c2b0b78234757365f8ceb019,data/audio/6d4a0ce07ccebd5eb81aed1824b1ccacd2213740c2b0b78234757365f8ceb019.mp3,it-IT-Wavenet-D,0.75,0,1128
adjective,color,Color of blood or fire,ROHS-soh,singular,,masculine,1,adjective,,The car is red.,La macchina è rossa.,"scarlatto, cremisi",,rosso,ba0895081527504074906a30283b88dcdf1530561dba2f88bef5423f4b5e77c8,category_data/audio/adjective_color/ba0895081527504074906a30283b88dcdf1530561dba2f88bef5423f4b5e77c8.mp3,red,77d59afda9aeed4a8a3c71f99210c190d7fcf0270b44aadf249f70595eaea78e,data/audio/77d59afda9aeed4a8a3c71f99210c190d7fcf0270b44aadf249f70595eaea78e.mp3,en-US-Wavenet-D,1.0,0,696,rosso,03f0833de9caea17f6347a36fb892a8036e8af588fa540d0d30ca35e2b718f12,data/audio/03f0833de9caea17f6347a36fb892a8036e8af588fa540d0d30ca35e2b718f12.mp3,it-IT-Wavenet-D,0.75,0,1008
adjective,color,Color of blood or fire,ROHS-sah,singular,,feminine,1,adjective,,She wears a red dress.,Lei indossa un vestito rosso.,"scarlatto, cremisi",,rosso,5f7db1c884ce44ae6b8214092bca316e956369bc0fe26f549837d342963e8111,category_data/audio/adjective_color/5f7db1c884ce44ae6b8214092bca316e956369bc0fe26f549837d342963e8111.mp3,red,77d59afda9aeed4a8a3c71f99210c190d7fcf0270b44aadf249f70595eaea78e,data/audio/77d59afda9aeed4a8a3c71f99210c190d7fcf0270b44aadf249f70595eaea78e.mp3,en-US-Wavenet-D,1.0,0,696,rossa,1373c5776f4dad96c4284d706cb84f15faf61d5c2890bbeee223e78cd100cab9,data/audio/1373c5776f4dad96c4284d706cb84f15faf61d5c2890bbeee223e78cd100cab9.mp3,it-IT-Wavenet-D,0.75,0,1008
adjective,color,Color of grass or emeralds,VEHR-deh,singular,,,1,adjective,,The park is very green.,Il parco è molto verde.,"smeraldo, oliva",,verde,d7976f2f0c1f37cff899e5a59c2fdda8f02eb768cc8fb473d3292f1ba05593ae,category_data/audio/adjective_color/d7976f2f0c1f37cff899e5a59c2fdda8f02eb768cc8fb473d3292f1ba05593ae.mp3,green,af6f3de501485bd7e477f141ccd0825e97a4e0e800555b52c527f73f1d309148,data/audio/af6f3de501485bd7e477f141ccd0825e97a4e0e800555b52c527f73f1d309148.mp3,en-US-Wavenet-D,1.0,0,744,verde,2c898766def843b458ba5d4e65c4e2dad002f39b8ff40a781d337500809745f1,data/audio/2c898766def843b458ba5d4e65c4e2dad002f39b8ff40a781d337500809745f1.mp3,it-IT-Wavenet-D,0.75,0,960
adjective,color,Color of the sun or gold,JAH-loh,singular,,masculine,1,adjective,,The taxi is yellow.,Il taxi è giallo.,"dorato, ocra",,giallo,de215568032b1688760d1530ac3cf3c71848a5470056f6d4fb2166cb750ff2b3,category_data/audio/adjective_color/de215568032b1688760d1530ac3cf3c71848a5470056f6d4fb2166cb750ff2b3.mp3,yellow,e8d8c5c7c31ffef67b89bcec7df0623139edc0bd09d45e8ddd4b2cb53ca2294c,data/audio/e8d8c5c7c31ffef67b89bcec7df0623139edc0bd09d45e8ddd4b2cb53ca2294c.mp3,en-US-Wavenet-D,1.0,0,840,giallo,8f7e1d37d7073153e462683c03458118c5f1b565c22a7777e649e510dea7820c,data/audio/8f7e1d37d7073153e462683c03458118c5f1b565c22a7777e649e510dea7820c.mp3,it-IT-Wavenet-D,0.75,0,1032
adjective,color,Color of the sun or gold,JAH-lah,singular,,feminine,1,adjective,,She picked a yellow flower.,Ha raccolto un fiore giallo.,"dorata, ocra",,giallo,22ab6f3aaedfe8d24cd7779b959b238930d354f6b5cb6ace26ee50458a2d9bdb,category_data/audio/adjective_color/22ab6f3aaedfe8d24cd7779b959b238930d354f6b5cb6ace26ee50458a2d9bdb.mp3,yellow,e8d8c5c7c31ffef67b89bcec7df0623139edc0bd09d45e8ddd4b2cb53ca2294c,data/audio/e8d8c5c7c31ffef67b89bcec7df0623139edc0bd09d45e8ddd4b2cb53ca2294c.mp3,en-US-Wavenet-D,1.0,0,840,gialla,929c47f15f8ad91d65d9b0fd58d175988c524b01511d06f9a7c06e26307620be,data/audio/929c47f15f8ad91d65d9b0fd58d175988c524b01511d06f9a7c06e26307620be.mp3,it-IT-Wavenet-D,0.75,0,1008
adjective,color,The darkest color,NEH-roh,singular,,masculine,1,adjective,,His shoes are black.,Le sue scarpe sono nere.,"scuro, carbone",,nero,18eee2f2d3db80c08b6c7d55de18832d6df4d600e3f30f35ff4536db800e7ee3,category_data/audio/adjective_color/18eee2f2d3db80c08b6c7d55de18832d6df4d600e3f30f35ff4536db800e7ee3.mp3,black,52e4e511f092defaa02c1b20ee499c5ff10f335ed7a321627236ed19481c40bd,data/audio/52e4e511f092defaa02c1b20ee499c5ff10f335ed7a321627236ed19481c40bd.mp3,en-US-Wavenet-D,1.0,0,768,nero,dcf5f900653e93f7cddce36d7f5fb2018b625bd837a2f2cd0a7a607663f5988c,data/audio/dcf5f900653e93f7cddce36d7f5fb2018b625bd837a2f2cd0a7a607663f5988c.mp3,it-IT-Wavenet-D,0.75,0,912
adjective,color,The darkest color,NEH-rah,singular,,feminine,1,adjective,,The cat is black.,La gatta è nera.,"scura, carbone",,nero,fe20921d8aee989156422768974c0547b4af0760880b920743193b3aa692f16a,category_data/audio/adjective_color/fe20921d8aee989156422768974c0547b4af0760880b920743193b3aa692f16a.mp3,black,52e4e511f092defaa02c1b20ee499c5ff10f335ed7a321627236ed19481c40bd,data/audio/52e4e511f092defaa02c1b20ee499c5ff10f335ed7a321627236ed19481c40bd.mp3,en-US-Wavenet-D,1.0,0,768,nera,77e03a38207e4173db53c138a77e0af8603ad2d2592d72da75e61925b28ca95a,data/audio/77e03a38207e4173db53c138a77e0af8603ad2d2592d72da75e61925b28ca95a.mp3,it-IT-Wavenet-D,0.75,0,888
