english,italian
to the right,a destra
to the left,a sinistra
turn to the right,gira a destra
turn to the left,gira a sinistra
ahead,avanti
straight ahead,dritto / sempre dritto
the corner,l'angolo
around the corner,dietro l'angolo
the street,la strada
the side,il lato / il fianco
the other side,l'altro lato
the other side of the street,l'altro lato della strada
the end of the street,la fine della strada
to the end of the street,alla fine della strada
to the bank,alla banca
here,qui / qua
there,là / lì
over there / down there,laggiù
near,vicino / vicina
near the corner,vicino all'angolo
far,lontano / lontana
far from here,lontano da qui
this address,questo indirizzo
next to,vicino a
as far as,fino a
as far as the bank,fino alla banca
as far as the corner,fino all'angolo
