english,italian,english_base_term,is_base

### Verbs ###
to want,voglere,want,true
I want,io voglio,want,false
you want (familiar),tu vuoi,want,false
you want (polite),Lei vuole,want,false
we want,noi vogliamo,want,false
you all want,voi volete,want,false
they want,loro vogliono,want,false
I wanted,io volevo,want,false
you wanted (familiar),tu volevi,want,false
you wanted (polite),Lei voleva,want,false
we wanted,noi volevamo,want,false
you all wanted,voi volevate,want,false
they wanted,loro volevano,want,false

I would like,io vorrei,would like,true
you would like (familiar),tu vorresti,would like,false
you would like (polite),Lei vorrebbe,would like,false
we would like,noi vorremmo,would like,false
you all would like,voi vorreste,would like,false
they would like,loro vorrebbero,would like,false

to smoke,fumare,smoke,true
I smoke,io fumo,smoke,false
you smoke (familiar),tu fumi,smoke,false
you smoke (polite),Lei fuma,smoke,false
we smoke,noi fumiamo,smoke,false
you all smoke,voi fumate,smoke,false
they smoke,loro fumano,smoke,false
I smoked,io fumavo,smoke,false
you smoked (familiar),tu fumavi,smoke,false
you smoked (polite),Lei fumava,smoke,false
we smoked,noi fumavamo,smoke,false
you all smoked,voi fumavate,smoke,false
they smoked,loro fumavano,smoke,false

### Nouns ###
Rome,Roma,Rome,true
Naples,Napoli,Naples,true
Venice,Venice,Venezia,true
Milan,Milano,Milan,true
Florence,Firenze,Florence,true

first class,prima classe,first class,true
second class,seconda classe,second class,true

### Adjectives ###
first (masculine),primo,first,true
first (feminine),prima,first,false

second (masculine),secondo,second,true
second (feminine),seconda,second,false

### Phrases ###
a one way ticket,un biglietto di andata,a one way ticket,true
a round trip ticket,un biglietto di andata e ritorno,round trip ticket,true
no smoking,vietato fumare,no smoking,true
seat number five,posto numero cinque,seat number,true
the first train,il primo treno,the first train,true
the second train,il secondo treno,the second train,true
the next train,il prossimo treno,the next train,true
the last train,l'ultimo treno,the last train,true

### Adjectives ###
prohibited,vietato,prohibited,true

### Noun ###
smoker,fumatore,smoker,true
non-smoker,non fumatore,non-smoker,true

place / spot,posto,place / spot,true
a place / a spot,un posto,place / spot,true
the place / the spot,il posto,place / spot,false
the places / the spots,i posti,place / spot,false

time table / schedule,orario,time table / schedule,true
a time table / a schedule,un orario,time table / schedule,false
the time table / the schedule,l'orario,time table / schedule,false
the time tables / the schedules,gli orari,time table / schedule,false

### Questions ###
which,quale,which,true
