token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO999	0	okay	okay	linguistic	_	Begin=2.464	_	_	_	_
0-1	TO999	0	allora,	allora	linguistic	Intonation=weakly_rising	End=3.795	_	_	_	_
1-0	TO999	1	e::h	eh	linguistic	_	Begin=4.75	0x2	_	_	_
1-1	TO999	1	livia,	livia	linguistic	Intonation=weakly_rising	_	_	_	_	_
1-2	TO999	1	tu	tu	linguistic	_	_	_	_	_	_
1-3	TO999	1	sei	sei	linguistic	_	_	_	_	_	_
1-4	TO999	1	di?	di	linguistic	Intonation=Rising	End=7.1	_	_	_	_
2-0	BO014	2	@nomepaese,	@nomepaese	linguistic	Intonation=weakly_rising	Begin=7.237|End=7.92	_	_	_	_
3-0	TO999	3	sei	sei	linguistic	_	Begin=8.032	_	_	_	_
3-1	TO999	3	di	di	linguistic	_	_	_	_	_	_
3-2	TO999	3	@nomepaese,	@nomepaese	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-3	TO999	3	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
3-4	TO999	3	e	e	linguistic	_	_	_	_	_	_
3-5	TO999	3	vivi	vivi	linguistic	_	_	_	_	_	_
3-6	TO999	3	a	a	linguistic	_	_	_	_	_	_
3-7	TO999	3	@nomepaese,	@nomepaese	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-8	TO999	3	o	o	linguistic	_	_	_	_	_	_
3-9	TO999	3	vi[vi	vivi	linguistic	_	_	_	_	_	2-4(0)
3-10	TO999	3	a	a	linguistic	_	_	_	_	_	0-1(0)
3-11	TO999	3	bologna]?	bologna	linguistic	Intonation=Rising	End=11.389	_	_	_	0-7(0)
4-0	BO014	4	[sì],	sì	linguistic	Intonation=weakly_rising	Begin=10.6	_	_	_	0-2(0)
4-1	BO014	4	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
4-2	BO014	4	vivo	vivo	linguistic	_	_	_	_	_	_
4-3	BO014	4	a	a	linguistic	_	_	_	_	_	_
4-4	BO014	4	@nomepaese	@nomepaese	linguistic	_	End=11.96	_	_	_	_
5-0	TO999	5	vivi	vivi	linguistic	_	Begin=12.217	_	_	_	_
5-1	TO999	5	a	a	linguistic	_	_	_	_	_	_
5-2	TO999	5	@nomepaese,	@nomepaese	linguistic	Intonation=weakly_rising	_	_	_	_	_
5-3	TO999	5	okay	okay	linguistic	_	_	_	_	_	_
5-4	TO999	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-5	TO999	5	e:::	e	linguistic	_	_	0x3	_	_	_
5-6	TO999	5	dove	dove	linguistic	_	_	_	_	_	_
5-7	TO999	5	vivi,	vivi	linguistic	Intonation=weakly_rising	_	_	_	_	_
5-8	TO999	5	con	con	linguistic	_	_	_	_	_	_
5-9	TO999	5	chi?	chi	linguistic	Intonation=Rising	End=15.863	_	_	_	_
6-0	BO014	6	vivo	vivo	linguistic	_	Begin=15.891	_	_	_	_
6-1	BO014	6	a	a	linguistic	_	_	_	_	_	_
6-2	BO014	6	casa	casa	linguistic	_	_	_	_	_	_
6-3	BO014	6	con	con	linguistic	_	_	_	_	_	_
6-4	BO014	6	i	i	linguistic	_	_	_	_	_	_
6-5	BO014	6	miei.	miei	linguistic	Intonation=Falling	End=17.43	_	_	_	_
7-0	TO999	7	vi~	vi~	linguistic	Interrupted=Yes	Begin=17.436	_	_	_	_
7-1	TO999	7	vivi	vivi	linguistic	_	_	_	_	_	_
7-2	TO999	7	a	a	linguistic	_	_	_	_	_	_
7-3	TO999	7	casa	casa	linguistic	_	_	_	_	_	_
7-4	TO999	7	con	con	linguistic	_	_	_	_	_	_
7-5	TO999	7	tuoi,	tuoi	linguistic	Intonation=weakly_rising	_	_	_	_	_
7-6	TO999	7	okay	okay	linguistic	_	_	_	_	_	_
7-7	TO999	7	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
