token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO026	0	°prego.°	prego	linguistic	Intonation=Falling|Volume=Low	Begin=4.696|End=5.034	_	_	_	_
1-0	BO035	1	°sì.°	sì	linguistic	Intonation=Falling|Volume=Low	Begin=5.253|End=5.513	_	_	_	_
2-0	BO035	2	e:h	eh	linguistic	ProsodicLink=Yes	Begin=8.458	0x1	_	_	_
2-1	BO035	2	mh	mh	linguistic	_	End=9.186	_	_	_	_
3-0	BO035	3	io	io	linguistic	_	Begin=9.261	_	_	_	_
3-1	BO035	3	ero	ero	linguistic	_	_	_	_	_	_
3-2	BO035	3	venuta	venuta	linguistic	_	_	_	_	_	_
3-3	BO035	3	pe::r	per	linguistic	_	End=10.97	1x2	_	_	_
4-0	BO035	4	per	per	linguistic	_	Begin=11.776	_	_	_	_
4-1	BO035	4	i~	i~	linguistic	Interrupted=Yes	_	_	_	_	_
4-2	BO035	4	per	per	linguistic	_	_	_	_	_	_
4-3	BO035	4	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
4-4	BO035	4	esame	esame	linguistic	_	_	_	_	_	_
4-5	BO035	4	di	di	linguistic	_	_	_	_	_	_
4-6	BO035	4	didattica:	didattica	linguistic	_	_	8x1	_	_	_
4-7	BO035	4	delle	delle	linguistic	_	_	_	_	_	_
4-8	BO035	4	lingue	lingue	linguistic	_	_	_	_	_	_
4-9	BO035	4	italiano	italiano	linguistic	_	_	_	_	_	_
4-10	BO035	4	elle	elle	linguistic	_	_	_	_	_	_
4-11	BO035	4	due.	due	linguistic	Intonation=Falling	End=15.118	_	_	_	_
5-0	BO026	5	mh	mh	linguistic	_	Begin=15.118	_	_	_	_
5-1	BO026	5	mh.	mh	linguistic	Intonation=Falling	End=15.38	_	_	_	_
6-0	BO035	6	che	che	linguistic	_	Begin=15.38	_	_	_	_
6-1	BO035	6	sono	sono	linguistic	_	_	_	_	_	_
6-2	BO035	6	della	della	linguistic	_	_	_	_	_	_
6-3	BO035	6	magistrale,	magistrale	linguistic	Intonation=weakly_rising	End=16.808	_	_	_	_
7-0	BO035	7	e::h	eh	linguistic	_	Begin=17.17	0x2	_	_	_
7-1	BO035	7	ero	ero	linguistic	_	_	_	_	_	_
7-2	BO035	7	già	già	linguistic	_	_	_	_	_	_
7-3	BO035	7	venuta	venuta	linguistic	_	_	_	_	_	_
7-4	BO035	7	a	a	linguistic	_	_	_	_	_	_
7-5	BO035	7	un	un	linguistic	_	_	_	_	_	_
7-6	BO035	7	suo	suo	linguistic	_	_	_	_	_	_
7-7	BO035	7	ricevimento:::	ricevimento	linguistic	_	End=20.353	10x3	_	_	_
8-0	BO035	8	un	un	linguistic	_	Begin=20.471	_	_	_	_
8-1	BO035	8	mesetto	mesetto	linguistic	_	_	_	_	_	_
8-2	BO035	8	fa,	fa	linguistic	Intonation=weakly_rising	End=21.41	_	_	_	_
9-0	BO035	9	e:h	eh	linguistic	_	Begin=21.665	0x1	_	_	_
9-1	BO035	9	perché	perché	linguistic	_	_	_	_	_	_
9-2	BO035	9	io	io	linguistic	_	_	_	_	_	_
9-3	BO035	9	ho	ho	linguistic	_	_	_	_	_	_
9-4	BO035	9	già	già	linguistic	_	_	_	_	_	_
9-5	BO035	9	fatto	fatto	linguistic	_	_	_	_	_	_
9-6	BO035	9	un	un	linguistic	_	_	_	_	_	_
9-7	BO035	9	esame	esame	linguistic	_	_	_	_	_	_
9-8	BO035	9	di	di	linguistic	_	_	_	_	_	_
9-9	BO035	9	didattica	didattica	linguistic	_	_	_	_	_	_
9-10	BO035	9	della	della	linguistic	_	_	_	_	_	_
9-11	BO035	9	lingua	lingua	linguistic	_	_	_	_	_	_
9-12	BO035	9	italiana	italiana	linguistic	_	_	_	_	_	_
9-13	BO035	9	con	con	linguistic	_	_	_	_	_	_
9-14	BO035	9	le:i,	lei	linguistic	Intonation=weakly_rising	End=25.482	1x1	_	_	_
10-0	BO035	10	nel	nel	linguistic	_	Begin=25.685	_	_	_	_
10-1	BO035	10	duemilaquattordic[i].	duemilaquattordici	linguistic	Intonation=Falling	End=27.371	_	_	_	17-18(0)
11-0	BO026	11	[m]h	mh	linguistic	_	Begin=27.28	_	_	_	0-1(0)
11-1	BO026	11	mh.	mh	linguistic	Intonation=Falling	End=27.645	_	_	_	_
12-0	BO026	12	[e	e	linguistic	_	Begin=28.14	_	_	_	0-1(2)
12-1	BO026	12	lei]	lei	linguistic	_	_	_	_	_	0-3(2)
12-2	BO026	12	ha	ha	linguistic	_	_	_	_	_	_
12-3	BO026	12	fatto	fatto	linguistic	_	_	_	_	_	_
12-4	BO026	12	la	la	linguistic	_	_	_	_	_	_
12-5	BO026	12	prova	prova	linguistic	_	_	_	_	_	_
12-6	BO026	12	scritta	scritta	linguistic	_	_	_	_	_	_
12-7	BO026	12	av[eva	aveva	linguistic	_	_	_	_	_	2-5(3)
12-8	BO026	12	la]	la	linguistic	_	_	_	_	_	0-2(3)
12-9	BO026	12	prova	prova	linguistic	_	_	_	_	_	_
12-10	BO026	12	dell'	dell'	linguistic	SpaceAfter=No	_	_	_	_	_
12-11	BO026	12	analisi	analisi	linguistic	_	_	_	_	_	_
12-12	BO026	12	d[ell'	dell'	linguistic	SpaceAfter=No	_	_	_	_	1-5(4)
12-13	BO026	12	inte]rlin[gua::]	interlingua	linguistic	_	End=32.6	10x2	_	_	0-4(4),8-11(1)
13-0	BO035	13	[avevo],	avevo	linguistic	Intonation=weakly_rising	Begin=28.141|End=28.455	_	_	_	0-5(2)
14-0	BO035	14	[ssì].	ssì	linguistic	Intonation=Falling	Begin=29.79|End=30.165	_	_	_	0-3(3)
15-0	BO035	15	[sì].	sì	linguistic	Intonation=Falling	Begin=31.335|End=31.713	_	_	_	0-2(4)
16-0	BO035	16	[esatto	esatto	linguistic	_	Begin=32.061	_	_	_	0-6(1)
16-1	BO035	16	s]critto	scritto	linguistic	_	_	_	_	_	0-1(1)
16-2	BO035	16	quello	quello	linguistic	_	_	_	_	_	_
16-3	BO035	16	e	e	linguistic	_	_	_	_	_	_
16-4	BO035	16	poi	poi	linguistic	_	_	_	_	_	_
16-5	BO035	16	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
16-6	BO035	16	orale	orale	linguistic	_	_	_	_	_	_
16-7	BO035	16	con	con	linguistic	_	_	_	_	_	_
16-8	BO035	16	l[ei],	lei	linguistic	Intonation=weakly_rising	End=34.571	_	_	_	1-3(5)
17-0	BO026	17	[s]ì.	sì	linguistic	Intonation=Falling	Begin=34.356|End=34.7	_	_	_	0-1(5)
18-0	BO035	18	e:::h	eh	linguistic	_	Begin=35.213	0x3	_	_	_
18-1	BO035	18	dato	dato	linguistic	_	_	_	_	_	_
18-2	BO035	18	che	che	linguistic	_	_	_	_	_	_
18-3	BO035	18	ho	ho	linguistic	_	_	_	_	_	_
18-4	BO035	18	visto	visto	linguistic	_	_	_	_	_	_
18-5	BO035	18	sul	sul	linguistic	_	_	_	_	_	_
18-6	BO035	18	suo	suo	linguistic	_	_	_	_	_	_
18-7	BO035	18	sito	sito	linguistic	_	_	_	_	_	_
18-8	BO035	18	ch[e::]	che	linguistic	_	End=38.503	2x2	_	_	2-3(6)
19-0	BO026	19	[sì]	sì	linguistic	_	Begin=38.261	_	_	_	0-2(6)
19-1	BO026	19	bisogna	bisogna	linguistic	_	_	_	_	_	_
19-2	BO026	19	sostiuire	sostiuire	linguistic	_	_	_	_	_	_
19-3	BO026	19	la	la	linguistic	_	_	_	_	_	_
19-4	BO026	19	prima	prima	linguistic	_	_	_	_	_	_
19-5	BO026	19	parte.	parte	linguistic	Intonation=Falling	_	_	_	_	_
19-6	BO026	19	[mh].	mh	linguistic	Intonation=Falling	End=40.91	_	_	_	0-2(7)
20-0	BO035	20	[esatto].	esatto	linguistic	Intonation=Falling	Begin=40.281|End=40.895	_	_	_	0-6(7)
