token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO071	0	bon	bon	linguistic	_	Begin=0.81	_	_	_	_
0-1	TO071	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-2	TO071	0	perfetto	perfetto	linguistic	_	_	_	_	_	_
0-3	TO071	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-4	TO071	0	ci	ci	linguistic	_	_	_	_	_	_
0-5	TO071	0	siamo.	siamo	linguistic	Intonation=Falling	End=2.283	_	_	_	_
1-0	TO071	1	x	x	unknown	_	Begin=4.038|End=4.14	_	_	_	_
2-0	TO071	2	grazie	grazie	linguistic	_	Begin=4.651	_	_	_	_
2-1	TO071	2	a	a	linguistic	_	_	_	_	_	_
2-2	TO071	2	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
2-3	TO071	2	lavinia	lavinia	linguistic	_	_	_	_	_	_
2-4	TO071	2	così	così	linguistic	_	_	_	_	_	_
2-5	TO071	2	poi	poi	linguistic	_	_	_	_	_	_
2-6	TO071	2	mi	mi	linguistic	_	_	_	_	_	_
2-7	TO071	2	risento	risento	linguistic	_	_	_	_	_	_
2-8	TO071	2	e	e	linguistic	_	_	_	_	_	_
2-9	TO071	2	e	e	linguistic	_	_	_	_	_	_
2-10	TO071	2	so	so	linguistic	_	_	_	_	_	_
2-11	TO071	2	chi	chi	linguistic	_	_	_	_	_	_
2-12	TO071	2	parla	parla	linguistic	_	_	_	_	_	_
2-13	TO071	2	e	e	linguistic	_	_	_	_	_	_
2-14	TO071	2	nadia	nadia	linguistic	_	_	_	_	_	_
2-15	TO071	2	per	per	linguistic	_	_	_	_	_	_
2-16	TO071	2	aver	aver	linguistic	_	_	_	_	_	_
2-17	TO071	2	partecipato,	partecipato	linguistic	Intonation=weakly_rising	End=8.969	_	_	_	_
3-0	TO071	3	grazie	grazie	linguistic	_	Begin=9.165	_	_	_	_
3-1	TO071	3	mille.	mille	linguistic	Intonation=Falling	End=9.646	_	_	_	_
4-0	TO071	4	ehm::	ehm	linguistic	_	Begin=10.894|End=11.59	2x2	_	_	_
5-0	TO071	5	io	io	linguistic	_	Begin=12.722	_	_	_	_
5-1	TO071	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-2	TO071	5	quello	quello	linguistic	_	_	_	_	_	_
5-3	TO071	5	che	che	linguistic	_	_	_	_	_	_
5-4	TO071	5	vi	vi	linguistic	_	_	_	_	_	_
5-5	TO071	5	chiedo	chiedo	linguistic	_	_	_	_	_	_
5-6	TO071	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-7	TO071	5	è	è	linguistic	_	_	_	_	_	_
5-8	TO071	5	semplicemente	semplicemente	linguistic	_	_	_	_	_	_
5-9	TO071	5	di	di	linguistic	_	_	_	_	_	_
5-10	TO071	5	parlare	parlare	linguistic	_	_	_	_	_	_
5-11	TO071	5	della	della	linguistic	_	_	_	_	_	_
5-12	TO071	5	casa.	casa	linguistic	Intonation=Falling	End=16.125	_	_	_	_
6-0	TO071	6	okay?	okay	linguistic	Intonation=Rising	Begin=16.648|End=16.882	_	_	_	_
7-0	TO071	7	della	della	linguistic	_	Begin=17.333	_	_	_	_
7-1	TO071	7	casa	casa	linguistic	_	_	_	_	_	_
7-2	TO071	7	e	e	linguistic	_	_	_	_	_	_
7-3	TO071	7	del	del	linguistic	_	_	_	_	_	_
