english,italian,base_term,is_base,topic,part_of_speech
of / from,di,of / from,True,foundational_words,preposition
to / at,a,to / at,True,foundational_words,preposition
from / by,da,from / by,True,foundational_words,preposition
in,in,in,True,foundational_words,preposition
on / about,su,on / about,True,foundational_words,preposition
for,per,for,True,foundational_words,preposition
with,con,with,True,foundational_words,preposition
without,senza,without,True,foundational_words,preposition
between,tra / fra,between,True,foundational_words,preposition
above,sopra,above,True,foundational_words,preposition
under,sotto,under,True,foundational_words,preposition
in front of,davanti,in front of,True,foundational_words,preposition
behind,dietro,behind,True,foundational_words,preposition
and,e,and,True,foundational_words,conjunction
or,o,or,True,foundational_words,conjunction
but,ma,but,True,foundational_words,conjunction
however / but,però,however / but,True,foundational_words,conjunction
if,se,if,True,foundational_words,conjunction
while,mentre,while,True,foundational_words,conjunction
because,perché,because,True,foundational_words,conjunction
therefore,quindi,therefore,True,foundational_words,conjunction
also,anche,also,True,foundational_words,conjunction
not even,neanche,not even,True,foundational_words,conjunction
or / otherwise,oppure,or / otherwise,True,foundational_words,conjunction
to be,essere,to be,True,foundational_words,verb
I am,io sono,to be,False,foundational_words,verb
you are (informal),tu sei,to be,False,foundational_words,verb
you are (formal),Lei è,to be,False,foundational_words,verb
he is,lui è,to be,False,foundational_words,verb
she is,lei è,to be,False,foundational_words,verb
we are,noi siamo,to be,False,foundational_words,verb
you are (plural),voi siete,to be,False,foundational_words,verb
I was,io ero,to be,False,foundational_words,verb
you were (informal),tu eri,to be,False,foundational_words,verb
you were (formal),Lei era,to be,False,foundational_words,verb
he was,lui era,to be,False,foundational_words,verb
she was,lei era,to be,False,foundational_words,verb
we were,noi eravamo,to be,False,foundational_words,verb
you were (plural),voi eravate,to be,False,foundational_words,verb
to have,avere,to have,True,foundational_words,verb
I have,io ho,to have,False,foundational_words,verb
you have (informal),tu hai,to have,False,foundational_words,verb
you have (formal),Lei ha,to have,False,foundational_words,verb
he has,lui ha,to have,False,foundational_words,verb
she has,lei ha,to have,False,foundational_words,verb
we have,noi abbiamo,to have,False,foundational_words,verb
you have (plural),voi avete,to have,False,foundational_words,verb
I had,io avevo,to have,False,foundational_words,verb
you had (informal),tu avevi,to have,False,foundational_words,verb
you had (formal),Lei aveva,to have,False,foundational_words,verb
he had,lui aveva,to have,False,foundational_words,verb
she had,lei aveva,to have,False,foundational_words,verb
we had,noi avevamo,to have,False,foundational_words,verb
you had (plural),voi avevate,to have,False,foundational_words,verb
to do / to make,fare,to do / to make,True,foundational_words,verb
I do / I make,io faccio,to do / to make,False,foundational_words,verb
you do / you make (informal),tu fai,to do / to make,False,foundational_words,verb
you do / you make (formal),Lei fa,to do / to make,False,foundational_words,verb
he does / he makes,lui fa,to do / to make,False,foundational_words,verb
she does / she makes,lei fa,to do / to make,False,foundational_words,verb
we do / we make,noi facciamo,to do / to make,False,foundational_words,verb
you do / you make (plural),voi fate,to do / to make,False,foundational_words,verb
I did / I made,io feci,to do / to make,False,foundational_words,verb
you did / you made (informal),tu facesti,to do / to make,False,foundational_words,verb
you did / you made (formal),Lei fece,to do / to make,False,foundational_words,verb
he did / he made,lui fece,to do / to make,False,foundational_words,verb
she did / she made,lei fece,to do / to make,False,foundational_words,verb
we did / we made,noi facemmo,to do / to make,False,foundational_words,verb
you did / you made (plural),voi faceste,to do / to make,False,foundational_words,verb
to go,andare,to go,True,foundational_words,verb
I go,io vado,to go,False,foundational_words,verb
you go (informal),tu vai,to go,False,foundational_words,verb
you go (formal),Lei va,to go,False,foundational_words,verb
he goes,lui va,to go,False,foundational_words,verb
she goes,lei va,to go,False,foundational_words,verb
we go,noi andiamo,to go,False,foundational_words,verb
you go (plural),voi andate,to go,False,foundational_words,verb
I went,io andai,to go,False,foundational_words,verb
you went (informal),tu andasti,to go,False,foundational_words,verb
you went (formal),Lei andò,to go,False,foundational_words,verb
he went,lui andò,to go,False,foundational_words,verb
she went,lei andò,to go,False,foundational_words,verb
we went,noi andammo,to go,False,foundational_words,verb
