english,italian,is_base,topic,part_of_speech,topics,base_term_english,base_term_italian
of / from,di,True,foundational_words,preposition,[foundational_words],of / from,di
to / at,a,True,foundational_words,preposition,[foundational_words],to / at,a
from / by,da,True,foundational_words,preposition,[foundational_words],from / by,da
in,in,True,foundational_words,preposition,[foundational_words],in,in
on / about,su,True,foundational_words,preposition,[foundational_words],on / about,su
for,per,True,foundational_words,preposition,[foundational_words],for,per
with,con,True,foundational_words,preposition,[foundational_words],with,con
without,senza,True,foundational_words,preposition,[foundational_words],without,senza
between,tra / fra,True,foundational_words,preposition,[foundational_words],between,tra / fra
above,sopra,True,foundational_words,preposition,[foundational_words],above,sopra
under,sotto,True,foundational_words,preposition,[foundational_words],under,sotto
in front of,davanti,True,foundational_words,preposition,[foundational_words],in front of,davanti
behind,dietro,True,foundational_words,preposition,[foundational_words],behind,dietro
and,e,True,foundational_words,conjunction,[foundational_words],and,e
or,o,True,foundational_words,conjunction,[foundational_words],or,o
but,ma,True,foundational_words,conjunction,[foundational_words],but,ma
however / but,però,True,foundational_words,conjunction,[foundational_words],however / but,però
if,se,True,foundational_words,conjunction,[foundational_words],if,se
while,mentre,True,foundational_words,conjunction,[foundational_words],while,mentre
because,perché,True,foundational_words,conjunction,[foundational_words],because,perché
therefore,quindi,True,foundational_words,conjunction,[foundational_words],therefore,quindi
also,anche,True,foundational_words,conjunction,[foundational_words],also,anche
not even,neanche,True,foundational_words,conjunction,[foundational_words],not even,neanche
or / otherwise,oppure,True,foundational_words,conjunction,[foundational_words],or / otherwise,oppure
to be,essere,True,foundational_words,verb,[foundational_words],to be,essere
I am,io sono,False,foundational_words,verb,[foundational_words],to be,io sono
you are (informal),tu sei,False,foundational_words,verb,[foundational_words],to be,tu sei
you are (formal),Lei è,False,foundational_words,verb,[foundational_words],to be,Lei è
he is,lui è,False,foundational_words,verb,[foundational_words],to be,lui è
she is,lei è,False,foundational_words,verb,[foundational_words],to be,lei è
we are,noi siamo,False,foundational_words,verb,[foundational_words],to be,noi siamo
you are (plural),voi siete,False,foundational_words,verb,[foundational_words],to be,voi siete
I was,io ero,False,foundational_words,verb,[foundational_words],to be,io ero
you were (informal),tu eri,False,foundational_words,verb,[foundational_words],to be,tu eri
you were (formal),Lei era,False,foundational_words,verb,[foundational_words],to be,Lei era
