english,italian
who,chi
who is it,chi è
what,che / che cosa
what is it,che cos'è
what is this,che cos'è questo
what is that,che cos'è quello
what is that over there,che cos'è quello laggiù
what did you say,che cosa hai detto
when,quando
when does the train leave,quando parte il treno
where, dove
where is the subway,dove la metropolitana
which,quale
which is the bus for venice,quale l'autobus per venezia
why,perché
why not,perché no
how,come
how are you (familiar),come stai
how much,quanto
how many,quanti
how many kilometers,quanti chilometri
how far is it,quanto lontano / quanto dista
do you want (polite),vuole
do you want (familiar),vuoi
do you want (plural),volete
