english,italian
I want,voglio
I do not want,non voglio
I would like,vorrei
I would not like,non vorrei
I have,ho
I do not have,non ho
it is,è
it is not,non è
you have (polite),ha
yo don't have (polite),non ha
I know,so
I don't know,non so
I understand,capisco
I don't understand,non capisco
I speak english,parlo inglese
I don't speak italian,non parlo italiano
I like / to me it is pleasing,mi piace
I don't like / to me it is not pleasing,non mi piace
there is,c'è
there isn't,non c'è
there are,ci sono
there are not,non ci sono
