gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('quanto_quanto_DET', 'tempo_tempo_NOUN', 'è_essere_AUX')	7	quanto tempo è	quanto	tempo	è	quanto	tempo	essere	DET	NOUN	AUX	how long is it
"(""l'_lo_PRON"", 'hai_avere_AUX', 'mai_mai_ADV')"	7	l'hai mai	l'	hai	mai	lo	avere	mai	PRON	AUX	ADV	have you ever it
('sarà_essere_AUX', 'impegnato_impegnare_VERB', 'domani_domani_ADV')	7	sarà impegnato domani	sarà	impegnato	domani	essere	impegnare	domani	AUX	VERB	ADV	will be busy tomorrow
('la_il_DET', 'famiglia_famiglia_NOUN', 'di_di_ADP')	7	la famiglia di	la	famiglia	di	il	famiglia	di	DET	NOUN	ADP	the family of
('ha_avere_VERB', 'molti_molto_DET', 'amici_amico_NOUN')	7	ha molti amici	ha	molti	amici	avere	molto	amico	VERB	DET	NOUN	he/she has many friends
('voglio_volere_AUX', 'essere_essere_AUX', 'un_uno_DET')	7	voglio essere un	voglio	essere	un	volere	essere	uno	AUX	AUX	DET	I want to be a
('a_a_ADP', 'trovare_trovare_VERB', 'la_il_DET')	7	a trovare la	a	trovare	la	a	trovare	il	ADP	VERB	DET	to find the (feminine)
('non_non_ADV', 'è_essere_AUX', 'mio_mio_DET')	7	non è mio	non	è	mio	non	essere	mio	ADV	AUX	DET	it is not mine (masculine)
('sembra_sembrare_VERB', 'che_che_SCONJ', 'voi_voi_PRON')	7	sembra che voi	sembra	che	voi	sembrare	che	voi	VERB	SCONJ	PRON	it seems that you (plural)
('che_che_SCONJ', 'voi_voi_PRON', 'non_non_ADV')	7	che voi non	che	voi	non	che	voi	non	SCONJ	PRON	ADV	that you (plural) do not
('a_a_ADP', 'prendere_prendere_VERB', 'qualcosa_qualcosa_PRON')	7	andare a prendere qualcosa	a	prendere	qualcosa	a	prendere	qualcosa	ADP	VERB	PRON	to get something
('il_il_DET', 'primo_primo_ADJ', 'premio_premio_NOUN')	7	il primo premio	il	primo	premio	il	primo	premio	DET	ADJ	NOUN	the first prize
('comprare_comprare_VERB', 'una_uno_DET', 'macchina_macchina_NOUN')	7	comprare una macchina	comprare	una	macchina	comprare	uno	macchina	VERB	DET	NOUN	to buy a car
('ammesso_ammettere_VERB', 'che_che_SCONJ', 'non_non_ADV')	7	ammesso che non	ammesso	che	non	ammettere	che	non	VERB	SCONJ	ADV	assuming that not
('è_essere_AUX', 'una_uno_DET', 'specie_specie_NOUN')	7	è una specie	è	una	specie	essere	uno	specie	AUX	DET	NOUN	it is a kind
('non_non_ADV', 'ti_ti_PRON', 'preoccupare_preoccupare_VERB')	7	non ti preoccupare	non	ti	preoccupare	non	ti	preoccupare	ADV	PRON	VERB	do not worry
('nessuno_nessuno_PRON', 'mi_mi_PRON', 'ha_avere_AUX')	7	nessuno mi ha	nessuno	mi	ha	nessuno	mi	avere	PRON	PRON	AUX	no one has me
('alla_a_ADP', 'nostra_nostro_DET', 'festa_festa_NOUN')	7	alla nostra festa	alla	nostra	festa	a	nostro	festa	ADP	DET	NOUN	to our (feminine) party
('ha_avere_AUX', 'messo_mettere_VERB', 'la_il_DET')	7	ha messo la	ha	messo	la	avere	mettere	il	AUX	VERB	DET	he/she put the (feminine)
('fatto_fare_VERB', 'del_di_ADP', 'male_male_NOUN')	7	fatto del male	fatto	del	male	fare	di	male	VERB	ADP	NOUN	done harm
('gioca_giocare_VERB', 'a_a_ADP', 'golf_golf_NOUN')	7	gioca a golf	gioca	a	golf	giocare	a	golf	VERB	ADP	NOUN	plays golf
('cosa_cosa_PRON', 'le_le_PRON', 'è_essere_AUX')	7	cosa le è	cosa	le	è	cosa	le	essere	PRON	PRON	AUX	what has happened to her
"(""po'_poco_PRON"", 'di_di_ADP', 'aspirina_aspirina_NOUN')"	7	po' di aspirina	po'	di	aspirina	poco	di	aspirina	PRON	ADP	NOUN	a bit of aspirin
('molto_molto_ADV', 'brava_bravo_ADJ', 'a_a_ADP')	7	molto bra	molto	brava	a	molto	bravo	a	ADV	ADJ	ADP	very good (feminine) at
('che_che_SCONJ', 'vi_vi_PRON', 'piacerà_piacere_VERB')	7	che vi piacerà	che	vi	piacerà	che	vi	piacere	SCONJ	PRON	VERB	that you (plural) will like
('di_di_ADP', 'non_non_ADV', 'sapere_sapere_VERB')	7	di non sapere	di	non	sapere	di	non	sapere	ADP	ADV	VERB	of not knowing
('ha_avere_VERB', 'una_uno_DET', 'moglie_moglie_NOUN')	7	ha una moglie	ha	una	moglie	avere	uno	moglie	VERB	DET	NOUN	he has a wife
