gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('controllare_controllare_VERB', 'la_il_DET', 'sua_suo_DET')	6	controllare la sua	controllare	la	sua	controllare	il	suo	VERB	DET	DET	control his/her (feminine)
('comprato_comprare_VERB', 'una_uno_DET', 'nuova_nuovo_ADJ')	6	comprato una nuova	comprato	una	nuova	comprare	uno	nuovo	VERB	DET	ADJ	bought a new (feminine)
('in_in_ADP', 'prestito_prestito_NOUN', 'del_di_ADP')	6	in prestito del	in	prestito	del	in	prestito	di	ADP	NOUN	ADP	on loan from the (masculine)
('prestito_prestito_NOUN', 'del_di_ADP', 'denaro_denaro_NOUN')	6	prestito del denaro	prestito	del	denaro	prestito	di	denaro	NOUN	ADP	NOUN	loan of money
"('essere_essere_AUX', 'un_uno_DET', ""po'_poco_ADV"")"	6	essere un po'	essere	un	po'	essere	uno	poco	AUX	DET	ADV	be a little
('era_essere_AUX', 'un_uno_DET', 'insegnante_insegnante_NOUN')	6	era un insegnante	era	un	insegnante	essere	uno	insegnante	AUX	DET	NOUN	was a teacher
('che_che_SCONJ', 'lo_lo_PRON', 'fa_fare_VERB')	6	che lo fa	che	lo	fa	che	lo	fare	SCONJ	PRON	VERB	that does it
('ho_avere_AUX', 'dato_dare_VERB', 'loro_loro_PRON')	6	ho dato loro	ho	dato	loro	avere	dare	loro	AUX	VERB	PRON	I gave them
('qui_qui_ADV', 'fino_fino_ADV', 'a_a_ADP')	6		qui	fino	a	qui	fino	a	ADV	ADV	ADP	up to here
('mi_mi_PRON', 'sta_stare_AUX', 'aspettando_aspettare_VERB')	6	mi sta aspettando	mi	sta	aspettando	mi	stare	aspettare	PRON	AUX	VERB	is waiting for me
('compagni_compagno_NOUN', 'di_di_ADP', 'classe_classe_NOUN')	6	compagni di classe	compagni	di	classe	compagno	di	classe	NOUN	ADP	NOUN	classmates
('io_io_PRON', 'vedo_vedere_VERB', 'la_il_DET')	6	io vedo la	io	vedo	la	io	vedere	il	PRON	VERB	DET	I see the (feminine)
('è_essere_AUX', 'pronta_pronto_ADJ', 'per_per_ADP')	6	è pronta per	è	pronta	per	essere	pronto	per	AUX	ADJ	ADP	is ready for
('la_il_DET', 'biblioteca_biblioteca_NOUN', 'è_essere_AUX')	6	la biblioteca è	la	biblioteca	è	il	biblioteca	essere	DET	NOUN	AUX	the library is
('piace_piacere_VERB', 'parlare_parlare_VERB', 'in_in_ADP')	6	piace parlare in	piace	parlare	in	piacere	parlare	in	VERB	VERB	ADP	likes to speak in
('cercò_cercare_VERB', 'di_di_ADP', 'nascondere_nascondere_VERB')	6	cercò di nascondere	cercò	di	nascondere	cercare	di	nascondere	VERB	ADP	VERB	he/she tried to hide
('si_si_PRON', 'ricordi_ricordare_VERB', 'di_di_ADP')	6	si ricordi	si	ricordi	di	si	ricordare	di	PRON	VERB	ADP	remember (formal)
