gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('non_non_ADV', 'posso_potere_AUX', 'più_più_ADV')	6	non posso più	non	posso	più	non	potere	più	ADV	AUX	ADV	
('da_da_ADP', 'un_uno_DET', 'serpente_serpente_NOUN')	6	da un serpente	da	un	serpente	da	uno	serpente	ADP	DET	NOUN	
('mantenuto_mantenere_VERB', 'la_il_DET', 'sua_suo_DET')	6	mantenuto la sua	mantenuto	la	sua	mantenere	il	suo	VERB	DET	DET	
('tu_tu_PRON', 'lo_lo_PRON', 'sai_sapere_VERB')	6	tu lo sai	tu	lo	sai	tu	lo	sapere	PRON	PRON	VERB	
('può_potere_AUX', 'andare_andare_VERB', 'a_a_ADP')	6	può a	può	andare	a	potere	andare	a	AUX	VERB	ADP	
('posso_potere_AUX', 'avere_avere_VERB', 'il_il_DET')	6	posso avere il	posso	avere	il	potere	avere	il	AUX	VERB	DET	
('di_di_ADP', 'tempo_tempo_NOUN', 'a_a_ADP')	6		di	tempo	a	di	tempo	a	ADP	NOUN	ADP	
('non_non_ADV', 'ha_avere_AUX', 'mangiato_mangiare_VERB')	6	non ha mangiato	non	ha	mangiato	non	avere	mangiare	ADV	AUX	VERB	
('che_che_SCONJ', 'vuole_volere_AUX', 'essere_essere_AUX')	6	che vuole essere	che	vuole	essere	che	volere	essere	SCONJ	AUX	AUX	
('si_si_PRON', 'sono_essere_AUX', 'sposati_sposare_VERB')	6	si sono sposati	si	sono	sposati	si	essere	sposare	PRON	AUX	VERB	
('in_in_ADP', 'berbero_berbero_NOUN', 'con_con_ADP')	6	in berbero con	in	berbero	con	in	berbero	con	ADP	NOUN	ADP	
('i_il_DET', 'tuoi_tuo_DET', 'sogni_sogno_NOUN')	6	i tuoi sogni	i	tuoi	sogni	il	tuo	sogno	DET	DET	NOUN	
('e_e_CCONJ', 'i_il_DET', 'suoi_suo_DET')	6	e i suoi	e	i	suoi	e	il	suo	CCONJ	DET	DET	
('è_essere_VERB', 'qualcuno_qualcuno_PRON', 'che_che_PRON')	6	è qualcuno che	è	qualcuno	che	essere	qualcuno	che	VERB	PRON	PRON	
('che_che_PRON', 'vive_vivere_VERB', 'a_a_ADP')	6		che	vive	a	che	vivere	a	PRON	VERB	ADP	
('non_non_ADV', 'mi_mi_PRON', 'disse_dire_VERB')	6	non mi disse	non	mi	disse	non	mi	dire	ADV	PRON	VERB	
('il_il_DET', 'segreto_segreto_NOUN', 'di_di_ADP')	6	il segreto di	il	segreto	di	il	segreto	di	DET	NOUN	ADP	
('ha_avere_AUX', 'fatto_fare_VERB', 'quello_quello_PRON')	6	ha fatto quello	ha	fatto	quello	avere	fare	quello	AUX	VERB	PRON	
"(""com'_come_ADV"", 'è_essere_AUX', 'stata_essere_AUX')"	6	com'è stata	com'	è	stata	come	essere	essere	ADV	AUX	AUX	
('essere_essere_AUX', 'con_con_ADP', 'lei_lei_PRON')	6	essere con lei	essere	con	lei	essere	con	lei	AUX	ADP	PRON	
('valga_valere_VERB', 'la_il_DET', 'pena_pena_NOUN')	6	valga la pena	valga	la	pena	valere	il	pena	VERB	DET	NOUN	
('disse_dire_VERB', 'che_che_SCONJ', 'suo_suo_DET')	6	disse che suo	disse	che	suo	dire	che	suo	VERB	SCONJ	DET	
"(""l'_il_DET"", 'albero_albero_NOUN', 'di_di_ADP')"	6	l'albero di	l'	albero	di	il	albero	di	DET	NOUN	ADP	
('io_io_PRON', 'sto_stare_VERB', 'per_per_ADP')	6	io sto per	io	sto	per	io	stare	per	PRON	VERB	ADP	
('grato_grato_ADJ', 'per_per_ADP', 'la_il_DET')	6	grato per la	grato	per	la	grato	per	il	ADJ	ADP	DET	
('hai_avere_AUX', 'comprato_comprare_VERB', 'qualcosa_qualcosa_PRON')	6	hai comprato qualcosa	hai	comprato	qualcosa	avere	comprare	qualcosa	AUX	VERB	PRON	
('lei_in_ADP', 'gioca_giocare_VERB', 'a_a_ADP')	6	lei gioca	lei	gioca	a	in	giocare	a	ADP	VERB	ADP	
('la_il_DET', 'sua_suo_DET', 'canzone_canzone_NOUN')	6	la sua canzone	la	sua	canzone	il	suo	canzone	DET	DET	NOUN	
