gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('è_essere_AUX', 'difficile_difficile_ADJ', 'parlare_parlare_VERB')	5	è difficile parlare	è	difficile	parlare	essere	difficile	parlare	AUX	ADJ	VERB	it is difficult to speak
('il_il_DET', 'mio_mio_DET', 'invito_invito_NOUN')	5	il mio invito	il	mio	invito	il	mio	invito	DET	DET	NOUN	my (masculine) invitation
('indossare_indossare_VERB', 'un_uno_DET', 'cappello_cappello_NOUN')	5	indossare un cappello	indossare	un	cappello	indossare	uno	cappello	VERB	DET	NOUN	to wear a hat
('parlo_parlare_VERB', 'in_in_ADP', 'berbero_berbero_NOUN')	5	parlo in berbero	parlo	in	berbero	parlare	in	berbero	VERB	ADP	NOUN	i speak in berber
('il_il_DET', 'nostro_nostro_DET', 'cane_cane_NOUN')	5	il nostro cane	il	nostro	cane	il	nostro	cane	DET	DET	NOUN	our (masculine) dog
('tutti_tutto_DET', 'i_il_DET', 'soldi_soldo_NOUN')	5	tutti i soldi	tutti	i	soldi	tutto	il	soldo	DET	DET	NOUN	all the money
('io_io_PRON', 'sia_essere_AUX', 'troppo_troppo_ADV')	5	io sia troppo	io	sia	troppo	io	essere	troppo	PRON	AUX	ADV	that i am too
('molto_molto_ADV', 'bravo_bravo_ADJ', 'in_in_ADP')	5	molto bravo in	molto	bravo	in	molto	bravo	in	ADV	ADJ	ADP	very good at
('che_che_SCONJ', 'siete_essere_AUX', 'molto_molto_ADV')	5	che siete molto	che	siete	molto	che	essere	molto	SCONJ	AUX	ADV	that you (plural) are very
('il_il_DET', 'mio_mio_DET', 'successo_successo_NOUN')	5	il mio successo	il	mio	successo	il	mio	successo	DET	DET	NOUN	my (masculine) success
('provato_provare_VERB', 'ad_a_ADP', 'aiutare_aiutare_VERB')	5	provato ad aiutare	provato	ad	aiutare	provare	a	aiutare	VERB	ADP	VERB	tried to help
('parlo_parlare_VERB', 'il_il_DET', 'francese_francese_NOUN')	5	parlo il francese	parlo	il	francese	parlare	il	francese	VERB	DET	NOUN	i speak french
('alla_a_ADP', 'riunione_riunione_NOUN', 'di_di_ADP')	5	alla riunione di	alla	riunione	di	a	riunione	di	ADP	NOUN	ADP	at the meeting of
('molti_molto_DET', 'libri_libro_NOUN', 'in_in_ADP')	5	molti libri in	molti	libri	in	molto	libro	in	DET	NOUN	ADP	many books in
('la_il_DET', 'mia_mio_DET', 'scrivania_scrivania_NOUN')	5	la mia scrivania	la	mia	scrivania	il	mio	scrivania	DET	DET	NOUN	my (feminine) desk
('fai_fare_VERB', 'quello_quello_PRON', 'che_che_PRON')	5	fai quello che	fai	quello	che	fare	quello	che	VERB	PRON	PRON	do what
('mela_mela_NOUN', 'per_per_ADP', 'lui_lui_PRON')	5	mela per lui	mela	per	lui	mela	per	lui	NOUN	ADP	PRON	apple for him
('che_che_SCONJ', 'ti_ti_PRON', 'piaccia_piacere_VERB')	5	che ti piaccia	che	ti	piaccia	che	ti	piacere	SCONJ	PRON	VERB	that you like it
('mi_mi_PRON', 'dica_dire_VERB', 'cosa_cosa_PRON')	5	mi dica cosa	mi	dica	cosa	mi	dire	cosa	PRON	VERB	PRON	tell me what
('detto_dire_VERB', 'a_a_ADP', 'lei_lei_PRON')	5	detto a lei	detto	a	lei	dire	a	lei	VERB	ADP	PRON	told her
