english,italian
my suitcase,la mia valigia
my suitcases,le mie valigie
your suitcase (familiar),la tua valigia
your suitcases (familiar),le tue valigie
your suitcase (polite),la Sua valigia
your suitcases (polite),le Sue valigie
his suitcase / her suitcase,la sua valigia
his suitcases / her suitcases,le sue valigie
our suitcase,la nostra valigia
our suitcases,le nostre valigie
your suitcase (plural),la vostra valigia
your suitcases (plural),le vostre valigie
their suitcase,la loro valigia
their suitcases,le loro valigie
my gift,il mio regalo
my gifts,i miei regali
your gift (familiar),il tuo regalo
your gifts (familiar),i tuoi regali
your gift (polite),il Suo regalo
your gifts (polite),i Suoi regali
his gift / her gift,il suo regalo
his gifts / her gifts,i suoi regali
our gift,il nostro regalo
our gifts,i nostri regali
your gift (plural),il vostro regalo
your gifts (plural),i vostri regali
their gift,il loro regalo
their gifts,i loro regali
your name (polite),il Suo nome
my male friend,il mio amico
my female friend,la mia amica
our sister,nostra sorella
our brother,nostro fratello
our wives,le nostre mogli
our husbands,i nostri mariti
his car / her car,la sua macchina
your car (familiar),la tua macchina
their car,la loro macchina
your car (plural),la vostra macchina
my father,mio padre
my mother,mia madre
