text	pronunciation	translation_en
f	EHF-feh	letter f
fabbri	FAHB-bree	blacksmiths; metalworkers
fabbrica	FAB-bree-kah	factory; plant
fabbricazione	fab-bree-kah-TSYOH-neh	manufacture; production
fabbriche	FAB-bree-keh	factories; plants
fabbro	FAHB-broh	blacksmith; metalworker
faccenda	fah-CHEN-dah	matter; affair; chore
faccende	fah-CHEN-deh	matters; affairs; chores
facchini	fahk-KEE-nee	porters
fachiro	fah-KEE-roh	fakir
facilità	fah-chee-lee-TAH	ease; facility
facilmenti	fah-cheel-MEN-tee	easily
facocero	fah-KOH-cheh-roh	warthog
fagiani	fah-JAH-nee	pheasants
fagiano	fah-JAH-noh	pheasant
fagioli	fah-JOH-lee	beans
faglia	FAHL-yah	fault line; geological fault
fagotto	fah-GOHT-toh	bassoon
faida	FIE-dah	feud; vendetta
falafel	fah-lah-FEHL	falafel
falco	FAHL-koh	falcon; hawk
falde	FAHL-deh	slopes; foothills
falegname	fah-leh-NYAH-meh	carpenter
falegnami	fah-leh-NYAH-mee	carpenters
fall	FAHL	fall; autumn (loanword)
falla	FAHL-lah	leak; flaw
fallimenti	fahl-lee-MEN-tee	bankruptcies; failures
fallimento	fahl-lee-MEN-toh	bankruptcy; failure
fallo	FAHL-loh	phallus; penis
falsa	FAHL-sah	falsehood; fake (feminine)
falsari	fal-SAH-ree	forgers; counterfeiters
falsità	fahl-see-TAH	falsehood; falseness
falso	FAHL-soh	falsehood; fake (masculine)
falò	fah-LOH	bonfire
fama	FAH-mah	fame; reputation
familiare	fah-mee-LYAH-reh	family member; relative
familiarità	fah-mee-lyah-ree-TAH	familiarity; intimacy
fan	FAHN	fan
fanatici	fah-NAH-tee-chee	fanatics
fanatico	fah-NAH-tee-koh	fanatic
fanboy	FAHN-boi	fanboy
fanciulla	fahn-CHOOL-lah	girl; maiden
fanciulle	fahn-CHOOL-leh	girls; maidens
fangirl	FAHN-gehrl	fangirl
fango	FAHN-goh	mud
fanne	FAHN-neh	make some (imperative)
fantascienza	fahn-tah-SHYEN-tsah	science fiction
fantasia	fahn-tah-SEE-ah	imagination; fantasy
fantasma	fahn-TAHZ-mah	ghost; phantom
fantasmi	fahn-TAHZ-mee	ghosts; phantoms
fanteria	fahn-teh-REE-ah	infantry
farfalla	far-FAHL-lah	butterfly
farfalle	far-FAHL-leh	butterflies
fari	FAH-ree	lighthouses; headlights
farina	fah-REE-nah	flour
farle	FAR-leh	do to her
farlo	FAR-loh	do it
farmacia	far-mah-CHEE-ah	pharmacy
farmacista	far-mah-CHEES-tah	pharmacist
farmaco	FAR-mah-koh	drug; medication
faro	FAH-roh	lighthouse; headlight
farsa	FAR-sah	farce
fasciatura	fah-shah-TOO-rah	bandage; dressing
fasciature	fah-shah-TOO-reh	bandages; dressings
fascino	FAH-shee-noh	charm; allure
fasciola	fah-SHYO-lah	liver fluke
fascismo	fah-SHEEZ-moh	fascism
fascista	fah-SHEES-tah	fascist
fase	FAH-zeh	phase; stage
fasi	FAH-zee	phases; stages
fast	FAHST	fast (loanword)
fastidio	fah-STEE-dyoh	annoyance; nuisance
fastidiosi	fah-stee-DYOH-zee	annoying ones
fatalità	fah-tah-lee-TAH	fatality; misfortune
fate	FAH-teh	fairies
fatica	fah-TEE-kah	effort; toil
fatiche	fah-TEE-keh	efforts; labors
fato	FAH-toh	fate; destiny
fatta	FAHT-tah	kind; sort
fatti	FAHT-tee	deeds; actions
fattore	faht-TOH-reh	factor
fattori	faht-TOH-ree	factors
fattoria	faht-toh-REE-ah	farm
fattorie	faht-toh-REE-eh	farms
