term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pasta,True,pasta,noun,pasta,"food,dining",,,feminine,singular,,,False,False,False,none,,,,base lemma,Cucino pasta spesso.,I cook pasta often.
una pasta,False,pasta,noun,a pastry,"food,dining",,,feminine,singular,,,False,False,False,indefinite,una,una,,as a pastry in cafés; for quantity use della,Prendo una pasta alla crema.,I'll have a cream pastry.
la pasta,False,pasta,noun,the pasta,"food,dining",,,feminine,singular,,,False,False,False,definite,la,la,,,La pasta è al dente.,The pasta is al dente.
paste,False,pasta,noun,pastas,"food,dining",,,feminine,plural,,,False,False,False,none,,,,plural form,Paste fresche oggi.,Fresh pastas today.
le paste,False,pasta,noun,the pastas,"food,dining",,,feminine,plural,,,False,False,False,definite,le,le,,,Le paste sono fatte in casa.,The pastas are homemade.
delle paste,False,pasta,noun,some pastas,"food,dining",,,feminine,plural,,,False,False,False,articulated_preposition,le,delle,di,,Assaggio delle paste ripiene.,I taste some stuffed pastas.
della pasta,False,pasta,noun,of the pasta,"food,dining",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,,Mangio della pasta.,I eat some pasta.
alla pasta,False,pasta,noun,to the pasta,"food,dining",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,,Aggiungo salsa alla pasta.,I add sauce to the pasta.
alle paste,False,pasta,noun,to the pastas,"food,dining",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,,Do forma alle paste.,I shape the pastas.
dalla pasta,False,pasta,noun,from the pasta,"food,dining",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,,Il profumo viene dalla pasta.,The smell comes from the pasta.
dalle paste,False,pasta,noun,from the pastas,"food,dining",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,,Sugo cola dalle paste.,Sauce drips from the pastas.
nella pasta,False,pasta,noun,in the pasta,"food,dining",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,,C'è pepe nella pasta.,There is pepper in the pasta.
nelle paste,False,pasta,noun,in the pastas,"food,dining",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,,Erbe nelle paste fresche.,Herbs in the fresh pastas.
sulla pasta,False,pasta,noun,on the pasta,"food,dining",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,,Metto formaggio sulla pasta.,I put cheese on the pasta.
sulle paste,False,pasta,noun,on the pastas,"food,dining",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,,Sughi diversi sulle paste.,Different sauces on the pastas.
con la pasta,False,pasta,noun,with the pasta,"food,dining",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,,Servo vino con la pasta.,I serve wine with the pasta.
con le paste,False,pasta,noun,with the pastas,"food,dining",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,,Lavoro con le paste fresche.,I work with fresh pastas.
