term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
bar,True,bar,noun,bar,"travel,cafe",,,masculine,singular,,,False,False,False,none,,,,base lemma,Vedo un bar vicino.,I see a nearby bar.
un bar,False,bar,noun,a bar,"travel,cafe",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Entriamo in un bar.,We're going into a bar.
il bar,False,bar,noun,the bar,"travel,cafe",,,masculine,singular,,,False,False,False,definite,il,il,,,Il bar apre presto.,The bar opens early.
bar,False,bar,noun,bars,"travel,cafe",,,masculine,plural,,,False,False,False,none,,,,invariable plural,Bar affollati stasera.,Bars are crowded tonight.
i bar,False,bar,noun,the bars,"travel,cafe",,,masculine,plural,,,False,False,False,definite,i,i,,invariable plural,I bar sono pieni.,The bars are full.
dei bar,False,bar,noun,some bars,"travel,cafe",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,invariable plural,Visito dei bar nuovi.,I visit some new bars.
del bar,False,bar,noun,of the bar,"travel,cafe",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,,Il bancone del bar è lungo.,The bar's counter is long.
al bar,False,bar,noun,to the bar,"travel,cafe",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,,Andiamo al bar.,We're going to the bar.
ai bar,False,bar,noun,to the bars,"travel,cafe",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,invariable plural,Lavoro ai bar del porto.,I work at the harbor's bars.
dal bar,False,bar,noun,from the bar,"travel,cafe",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,,Esco dal bar.,I leave the bar.
dai bar,False,bar,noun,from the bars,"travel,cafe",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,invariable plural,Rumori dai bar vicini.,Noises from nearby bars.
nel bar,False,bar,noun,in the bar,"travel,cafe",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,,Lavoro nel bar.,I work in the bar.
nei bar,False,bar,noun,in the bars,"travel,cafe",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,invariable plural,Musica nei bar del centro.,Music in downtown bars.
sul bar,False,bar,noun,on the bar,"travel,cafe",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,,Metto il giornale sul bar.,I put the newspaper on the bar.
sui bar,False,bar,noun,on the bars,"travel,cafe",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,invariable plural,Regole sui bar notturni.,Rules about night bars.
col bar,False,bar,noun,with the bar,"travel,cafe",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Parlo col bar di quartiere.,I talk with the neighborhood bar.
coi bar,False,bar,noun,with the bars,"travel,cafe",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi bar locali.,We work with local bars.
