term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
negozio,True,negozio,noun,shop,"shopping,places",,,masculine,singular,,,False,False,False,none,,,,base lemma,Apro negozio nuovo.,I'm opening a new shop.
un negozio,False,negozio,noun,a shop,"shopping,places",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Cerco un negozio economico.,I'm looking for an inexpensive shop.
il negozio,False,negozio,noun,the shop,"shopping,places",,,masculine,singular,,,False,False,False,definite,il,il,,,Il negozio apre alle nove.,The shop opens at nine.
negozi,False,negozio,noun,shops,"shopping,places",,,masculine,plural,,,False,False,False,none,,,,plural form,Negozi piccoli qui.,Small shops here.
i negozi,False,negozio,noun,the shops,"shopping,places",,,masculine,plural,,,False,False,False,definite,i,i,,,I negozi sono chiusi.,The shops are closed.
dei negozi,False,negozio,noun,some shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,,Visito dei negozi locali.,I visit some local shops.
del negozio,False,negozio,noun,of the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,,Il nome del negozio è noto.,The shop's name is well-known.
al negozio,False,negozio,noun,to the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,,Vado al negozio ora.,I'm going to the shop now.
ai negozi,False,negozio,noun,to the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,,Sconti ai negozi affiliati.,Discounts at affiliated shops.
dal negozio,False,negozio,noun,from the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,,Torno dal negozio.,I return from the shop.
dai negozi,False,negozio,noun,from the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,,Merci dai negozi vicini.,Goods from nearby shops.
nel negozio,False,negozio,noun,in the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,,Lavoro nel negozio.,I work in the shop.
nei negozi,False,negozio,noun,in the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,,Prezzi nei negozi centrali.,Prices in downtown shops.
sul negozio,False,negozio,noun,on the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,,Cartello sul negozio.,A sign on the shop.
sui negozi,False,negozio,noun,on the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,,Regole sui negozi.,Rules about shops.
col negozio,False,negozio,noun,with the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Parlo col negozio online.,I speak with the online shop.
coi negozi,False,negozio,noun,with the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Collaboro coi negozi locali.,I collaborate with local shops.
