term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pane,True,pane,noun,bread,"food,basics",,,masculine,singular,,,False,False,False,none,,,,base lemma,Mangio pane caldo.,I eat warm bread.
un pane,False,pane,noun,a bread,"food,basics",,,masculine,singular,,,False,False,False,indefinite,un,un,,used for a loaf,Compro un pane integrale.,I buy a wholemeal loaf.
il pane,False,pane,noun,the bread,"food,basics",,,masculine,singular,,,False,False,False,definite,il,il,,,Il pane è fresco.,The bread is fresh.
pani,False,pane,noun,breads,"food,basics",,,masculine,plural,,,False,False,False,none,,,,plural form,Pani diversi sono in vetrina.,Different breads are on display.
i pani,False,pane,noun,the breads,"food,basics",,,masculine,plural,,,False,False,False,definite,i,i,,,I pani sono artigianali.,The breads are artisanal.
dei pani,False,pane,noun,some breads,"food,basics",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,,Assaggio dei pani tipici.,I taste some typical breads.
del pane,False,pane,noun,of the bread,"food,basics",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,,Mangio del pane.,I eat some bread.
al pane,False,pane,noun,to the bread,"food,basics",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,,Aggiungo olio al pane.,I add oil to the bread.
ai pani,False,pane,noun,to the breads,"food,basics",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,,Metto etichette ai pani.,I put labels on the breads.
dal pane,False,pane,noun,from the bread,"food,basics",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,,Il profumo viene dal pane.,The aroma comes from the bread.
dai pani,False,pane,noun,from the breads,"food,basics",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,,Le briciole cadono dai pani.,Crumbs fall from the breads.
nel pane,False,pane,noun,in the bread,"food,basics",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,,C'è noci nel pane.,There are nuts in the bread.
nei pani,False,pane,noun,in the breads,"food,basics",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,,Semi nei pani integrali.,Seeds in the whole-grain breads.
sul pane,False,pane,noun,on the bread,"food,basics",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,,Metto miele sul pane.,I put honey on the bread.
sui pani,False,pane,noun,on the breads,"food,basics",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,,Scritte sui pani.,Writings on the breads.
col pane,False,pane,noun,with the bread,"food,basics",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Servo formaggio col pane.,I serve cheese with the bread.
coi pani,False,pane,noun,with the breads,"food,basics",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoro coi pani del forno.,I work with the bakery's breads.
